FECHA,REGION,LIMITE_VELOCIDAD,VELOCIDAD_DETECTADA
20200101,LIMA,35,59
20200101,LIMA,35,41
20200101,LIMA,35,48
20200101,LIMA,35,45
20200101,LIMA,35,43
20200101,LIMA,35,43
20200101,LIMA,35,52
20200101,LIMA,35,44
20200101,LIMA,35,78
20200101,LIMA,35,42
20200101,LIMA,35,42
20200101,LIMA,35,57
20200101,LIMA,35,43
20200101,LIMA,35,64
20200101,LIMA,35,62
20200101,LIMA,35,48
20200101,LIMA,35,51
20200101,LIMA,35,69
20200101,LIMA,35,43
20200101,LIMA,35,49
20200101,LIMA,35,55
20200101,LIMA,35,45
20200101,LIMA,35,49
20200101,LIMA,35,56
20200101,LIMA,35,63
20200101,LIMA,35,48
20200101,LIMA,35,44
20200101,LIMA,35,76
20200101,LIMA,35,48
20200101,LIMA,35,47
20200101,LIMA,35,53
20200101,LIMA,35,55
20200101,LIMA,35,53
20200101,LIMA,35,55
20200101,LIMA,35,47
20200101,LIMA,35,45
20200101,LIMA,35,56
20200101,LIMA,35,82
20200101,LIMA,35,63
20200101,LIMA,35,67
20200101,LIMA,35,53
20200101,LIMA,35,57
20200101,LIMA,35,78
20200101,LIMA,35,70
20200101,LIMA,35,58
20200101,LIMA,35,62
20200101,LIMA,35,57
20200101,LIMA,35,60
20200101,LIMA,35,58
20200101,LIMA,35,49
20200101,LIMA,35,42
20200101,LIMA,35,72
20200101,LIMA,35,66
20200101,LIMA,35,58
20200101,LIMA,35,71
20200101,LIMA,35,72
20200101,LIMA,100,119
20200101,LIMA,100,123
20200101,LIMA,100,113
20200101,LIMA,100,125
20200101,LIMA,100,113
20200101,LIMA,100,113
20200101,LIMA,100,132
20200101,LIMA,100,115
20200101,LIMA,100,126
20200101,LIMA,100,118
20200101,LIMA,100,111
20200101,LIMA,100,132
20200101,LIMA,100,120
20200101,AREQUIPA,35,87
20200101,AREQUIPA,35,82
20200101,LIMA,45,66
20200101,LIMA,45,60
20200101,LIMA,45,76
20200101,LIMA,45,54
20200101,LIMA,45,73
20200101,LIMA,45,75
20200101,LIMA,45,61
20200101,LIMA,45,69
20200101,LIMA,45,71
20200101,LIMA,45,64
20200101,LIMA,45,85
20200101,LIMA,45,76
20200101,LIMA,45,89
20200101,LIMA,45,79
20200101,LIMA,45,76
20200101,LIMA,45,91
20200101,LIMA,45,83
20200101,LIMA,45,55
20200101,LIMA,45,62
20200101,LIMA,45,108
20200101,LIMA,45,97
20200101,LIMA,45,77
20200101,LIMA,45,72
20200101,LIMA,45,75
20200101,LIMA,45,59
20200101,LIMA,45,59
20200101,LIMA,45,76
20200101,LIMA,45,86
20200101,LIMA,45,68
20200101,LIMA,45,80
20200101,LIMA,45,76
20200101,LIMA,45,66
20200101,LIMA,45,60
20200101,LIMA,45,56
20200101,LIMA,45,53
20200101,LIMA,45,53
20200101,LIMA,45,54
20200101,LIMA,45,74
20200101,LIMA,45,81
20200101,LIMA,45,84
20200101,LIMA,45,74
20200101,LIMA,45,83
20200101,LIMA,45,80
20200101,LIMA,45,79
20200101,LIMA,45,77
20200101,LIMA,45,107
20200101,LIMA,45,79
20200101,LIMA,45,76
20200101,LIMA,45,75
20200101,LIMA,45,53
20200101,LIMA,45,63
20200101,LIMA,45,52
20200101,LIMA,45,69
20200101,LIMA,45,62
20200101,LIMA,45,86
20200101,LIMA,45,63
20200101,LIMA,45,60
20200101,LIMA,45,58
20200101,LIMA,45,60
20200101,LIMA,45,66
20200101,LIMA,45,63
20200101,LIMA,45,66
20200101,LIMA,45,97
20200101,LIMA,45,64
20200101,LIMA,45,60
20200101,LIMA,45,71
20200101,LIMA,45,73
20200101,LIMA,45,54
20200101,LIMA,45,77
20200101,LIMA,45,67
20200101,LIMA,45,65
20200101,LIMA,45,68
20200101,LIMA,45,56
20200101,LIMA,45,78
20200101,LIMA,45,85
20200101,LIMA,45,77
20200101,LIMA,45,66
20200101,LIMA,45,70
20200101,LIMA,45,68
20200101,LIMA,45,73
20200101,LIMA,45,74
20200101,LIMA,45,62
20200101,LIMA,45,76
20200101,LIMA,45,56
20200101,LIMA,45,65
20200101,LIMA,45,56
20200101,LIMA,45,70
20200101,LIMA,35,44
20200101,LIMA,35,42
20200101,LIMA,35,54
20200101,JUNIN,35,54
20200101,JUNIN,35,43
20200101,JUNIN,35,43
20200101,JUNIN,35,43
20200101,JUNIN,35,70
20200101,JUNIN,35,47
20200101,JUNIN,35,52
20200101,JUNIN,35,49
20200101,JUNIN,35,47
20200101,JUNIN,35,59
20200101,JUNIN,35,111
20200101,JUNIN,35,54
20200101,JUNIN,35,57
20200101,JUNIN,35,50
20200101,JUNIN,35,81
20200101,JUNIN,35,72
20200101,JUNIN,35,71
20200101,JUNIN,35,55
20200101,JUNIN,35,72
20200101,JUNIN,35,96
20200101,JUNIN,35,82
20200101,JUNIN,35,101
20200101,JUNIN,35,51
20200101,JUNIN,35,72
20200101,JUNIN,35,47
20200101,JUNIN,35,71
20200101,JUNIN,35,68
20200101,JUNIN,35,76
20200101,JUNIN,35,46
20200101,JUNIN,35,54
20200101,JUNIN,35,67
20200101,JUNIN,35,59
20200101,JUNIN,35,42
20200101,JUNIN,35,58
20200101,JUNIN,35,66
20200101,JUNIN,35,43
20200101,JUNIN,35,72
20200101,JUNIN,35,56
20200101,JUNIN,35,49
20200101,JUNIN,35,52
20200101,JUNIN,35,73
20200101,JUNIN,35,47
20200101,JUNIN,35,42
20200101,JUNIN,35,66
20200101,JUNIN,35,46
20200101,JUNIN,35,62
20200101,JUNIN,35,61
20200101,JUNIN,35,62
20200101,JUNIN,35,79
20200101,JUNIN,35,46
20200101,LA LIBERTAD,60,91
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,85
20200101,LA LIBERTAD,60,69
20200101,LA LIBERTAD,60,70
20200101,LA LIBERTAD,60,95
20200101,LA LIBERTAD,60,98
20200101,LA LIBERTAD,60,87
20200101,LA LIBERTAD,60,71
20200101,LA LIBERTAD,60,66
20200101,JUNIN,35,67
20200101,JUNIN,35,72
20200101,JUNIN,35,75
20200101,JUNIN,35,56
20200101,JUNIN,35,60
20200101,JUNIN,35,47
20200101,JUNIN,35,53
20200101,JUNIN,35,65
20200101,JUNIN,35,85
20200101,JUNIN,35,82
20200101,LA LIBERTAD,60,66
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,105
20200101,LA LIBERTAD,60,99
20200101,LA LIBERTAD,60,111
20200101,LA LIBERTAD,60,106
20200101,LA LIBERTAD,60,68
20200101,LA LIBERTAD,60,88
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,96
20200101,LA LIBERTAD,60,67
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,108
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,70
20200101,JUNIN,35,68
20200101,JUNIN,35,58
20200101,JUNIN,35,62
20200101,JUNIN,35,45
20200101,JUNIN,35,83
20200101,JUNIN,35,52
20200101,JUNIN,35,54
20200101,JUNIN,35,48
20200101,JUNIN,35,44
20200101,JUNIN,35,44
20200101,LA LIBERTAD,60,85
20200101,LA LIBERTAD,60,103
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,67
20200101,LA LIBERTAD,60,90
20200101,LA LIBERTAD,60,66
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,80
20200101,LA LIBERTAD,60,101
20200101,LA LIBERTAD,60,93
20200101,JUNIN,35,45
20200101,JUNIN,35,79
20200101,JUNIN,35,67
20200101,JUNIN,35,63
20200101,JUNIN,35,76
20200101,JUNIN,35,61
20200101,JUNIN,35,48
20200101,JUNIN,35,71
20200101,JUNIN,35,70
20200101,JUNIN,35,57
20200101,LA LIBERTAD,60,124
20200101,LA LIBERTAD,60,124
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,82
20200101,LA LIBERTAD,60,115
20200101,LA LIBERTAD,60,116
20200101,LA LIBERTAD,60,119
20200101,LA LIBERTAD,60,76
20200101,LA LIBERTAD,60,73
20200101,JUNIN,35,58
20200101,JUNIN,35,64
20200101,JUNIN,35,65
20200101,JUNIN,35,44
20200101,JUNIN,35,41
20200101,JUNIN,35,59
20200101,JUNIN,35,73
20200101,JUNIN,35,87
20200101,JUNIN,35,48
20200101,JUNIN,35,49
20200101,JUNIN,35,83
20200101,JUNIN,35,41
20200101,JUNIN,35,76
20200101,JUNIN,35,58
20200101,JUNIN,35,71
20200101,JUNIN,35,55
20200101,JUNIN,35,52
20200101,JUNIN,35,70
20200101,JUNIN,35,69
20200101,JUNIN,35,82
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,77
20200101,LA LIBERTAD,60,96
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,80
20200101,LA LIBERTAD,60,92
20200101,LA LIBERTAD,60,78
20200101,LA LIBERTAD,60,100
20200101,LA LIBERTAD,60,100
20200101,JUNIN,35,53
20200101,JUNIN,35,48
20200101,JUNIN,35,73
20200101,JUNIN,35,75
20200101,JUNIN,35,90
20200101,JUNIN,35,92
20200101,JUNIN,35,63
20200101,JUNIN,35,57
20200101,JUNIN,35,77
20200101,JUNIN,35,63
20200101,JUNIN,35,76
20200101,LA LIBERTAD,60,105
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,98
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,100
20200101,LA LIBERTAD,60,85
20200101,LA LIBERTAD,60,96
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,124
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,100
20200101,LA LIBERTAD,60,109
20200101,LA LIBERTAD,60,117
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,116
20200101,LA LIBERTAD,60,78
20200101,LA LIBERTAD,60,66
20200101,LA LIBERTAD,60,98
20200101,LA LIBERTAD,60,112
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,98
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,128
20200101,LA LIBERTAD,60,96
20200101,LA LIBERTAD,60,88
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,98
20200101,LA LIBERTAD,60,109
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,104
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,78
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,86
20200101,LA LIBERTAD,60,79
20200101,LA LIBERTAD,60,99
20200101,LA LIBERTAD,60,94
20200101,LA LIBERTAD,60,96
20200101,LA LIBERTAD,60,105
20200101,LA LIBERTAD,60,92
20200101,LA LIBERTAD,60,66
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,105
20200101,LA LIBERTAD,60,71
20200101,LA LIBERTAD,60,82
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,90
20200101,LA LIBERTAD,60,78
20200101,LA LIBERTAD,60,107
20200101,LA LIBERTAD,60,85
20200101,LA LIBERTAD,60,92
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,94
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,80
20200101,LA LIBERTAD,60,77
20200101,LA LIBERTAD,60,68
20200101,LA LIBERTAD,60,82
20200101,LA LIBERTAD,60,91
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,72
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,108
20200101,LA LIBERTAD,60,76
20200101,LA LIBERTAD,60,99
20200101,LA LIBERTAD,60,66
20200101,LA LIBERTAD,60,94
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,99
20200101,LA LIBERTAD,60,70
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,107
20200101,LA LIBERTAD,60,102
20200101,LA LIBERTAD,60,87
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,101
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,70
20200101,LA LIBERTAD,60,69
20200101,LA LIBERTAD,60,72
20200101,LA LIBERTAD,60,69
20200101,LA LIBERTAD,60,77
20200101,LA LIBERTAD,60,104
20200101,LA LIBERTAD,60,79
20200101,LA LIBERTAD,60,70
20200101,LA LIBERTAD,60,92
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,77
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,67
20200101,LA LIBERTAD,60,72
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,69
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,103
20200101,LA LIBERTAD,60,80
20200101,LA LIBERTAD,60,77
20200101,LA LIBERTAD,60,79
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,82
20200101,LA LIBERTAD,60,111
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,73
20200101,LA LIBERTAD,60,83
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,95
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,79
20200101,LA LIBERTAD,60,74
20200101,LA LIBERTAD,60,76
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,79
20200101,LA LIBERTAD,60,68
20200101,LA LIBERTAD,60,92
20200101,LA LIBERTAD,60,91
20200101,LA LIBERTAD,60,97
20200101,LA LIBERTAD,60,100
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,87
20200101,LA LIBERTAD,60,84
20200101,LA LIBERTAD,60,72
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,71
20200101,LA LIBERTAD,60,80
20200101,LA LIBERTAD,60,89
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,75
20200101,LA LIBERTAD,60,72
20200101,LA LIBERTAD,60,93
20200101,LA LIBERTAD,60,81
20200101,LA LIBERTAD,60,105
20200101,LA LIBERTAD,60,76
