"Marca temporal","Edad (años)","Sexo","Carrera","¿Qué tipo de dispositivo usas con mayor  frecuencia?","¿Cuánto tiempo, en promedio, usas tu celular al día? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto dura, en promedio, la batería de tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿A qué edad usaste tu primer celular? En años (Ejemplo: 18)","Después de que se descarga tu celular, ¿por cuánto tiempo, en promedio, lo dejas cargando? En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo, en promedio, le dedicas a las redes sociales al día? En minutos  (Recordar: 1 hora = 60 minutos)","¿Por cuánto tiempo, en promedio, dejas de usar tu celular al día? En minutos.  ","Nivel de angustia sin celular: 1 nada angustiado y 5 muy angustiado.","¿Qué tan angustiado te sientes al ver tu celular con baja bateria?  1 Nada angustiado y 5 Muy angustiado.","¿Qué nivel de importancia tiene usar tu celular para tus estudios?  1 Nada importante y 5 Muy importante.","¿Con qué frecuencia juegas videojuegos? 1 Nada frecuente y 5 Muy frecuente.","¿En qué lugar usas mayormente tu celular?","¿Cuántos minutos esperas para volver a usar tu celular luego de dejarlo cargando? (en minutos)","¿Cuánto tiempo usaste tu celular desde la última carga, segun tu celular? (en minutos)","¿Cuánto tiempo de duración tiene tu batería desde tu ultima carga, segun tu celular?  En minutos (Recordar: 1 hora = 60 minutos)","¿Cuánto tiempo no usas tu celular en el día, segun tu celular? (en minutos)",""
"2022/11/06 11:50:32 p. m. GMT-5","23","Masculino","Bioingeniería","Celular","720","1080","18","120","120","480","2","1","3","2","","60","60","300","40","Casa;Pasillos de UTEC"
"2022/11/08 8:58:37 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Celular","360","1600","18","480","60","960","2","1","4","1","Sala de estudios","72","547","2274","912",""
"2022/11/11 5:49:00 p. m. GMT-5"," 34","Femenino","Ciencia de la Computación","Celular","640","360","14","90","300","540","3","1","1","1","Sala de estudios","200","245","146","60",""
"2022/11/11 5:57:10 p. m. GMT-5","27","Masculino","Bioingeniería","Celular","640","700","16","90","100","270","4","2","5","2","Baños","90","120","240","30",""
"2022/11/11 6:01:51 p. m. GMT-5","18","Femenino","Administración y Negocios Digitales","Tablet","400","200","11","100","300","300","3","3","3","3","Pasillos de UTEC","70","110","200","60",""
"2022/11/11 6:04:35 p. m. GMT-5","21","Masculino","Ciencia de Datos","Laptop","190","480","15","300","500","600","1","1","1","1","Casa","180","30","240","250",""
"2022/11/11 6:15:34 p. m. GMT-5","33","Femenino","Ingeniería Industrial","Celular","450","360","10","90","300","250","4","4","3","4","Salón de clase","30","60","120","60",""
"2022/11/11 6:48:53 p. m. GMT-5","26","Femenino","Ciencia de la Computación","Pc","260","1000","13","120","50","250","4","3","4","4","Pasillos de UTEC","60","200","190","180",""
"2022/11/11 6:59:23 p. m. GMT-5","24","Femenino","Ingeniería Civil","Celular","290","1000","8","150","25","280","4","4","4","4","Laboratorios","60","36","400","150",""
"2022/11/11 7:13:57 p. m. GMT-5","27","Masculino","Ciencia de la Computación","Laptop","300","1000","7","190","20","300","3","4","3","4","Salón de clase","15","60","200","180",""
"2022/11/11 7:19:32 p. m. GMT-5","30","Masculino","Ciencia de la Computación","Celular","500","1080","5","360","240","1200","5","5","5","5","Salón de clase","240","360","360","300",""
"2022/11/11 7:24:02 p. m. GMT-5","26","Masculino","Ciencia de Datos","Tablet","240","900","5","100","20","240","1","1","1","1","Casa","1","20","180","120",""
"2022/11/11 7:30:01 p. m. GMT-5","19","Femenino","Ciencia de la Computación","Reloj inteligente","250","900","13","100","100","300","3","3","4","2","Casa","60","100","50","800",""
"2022/11/11 7:33:41 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Celular","200","180","14","100","50","250","5","3","4","4","Casa","60","90","200","420",""
"2022/11/12 11:18:43 a. m. GMT-5","17","Femenino","Ingeniería Mecánica","Celular","450","950","14","180","200","350","5","4","4","2","Sala de estudios","15","100","200","240",""
"2022/11/12 11:33:09 a. m. GMT-5","18","Masculino","Administración y Negocios Digitales","Celular","480","800","12","220","150","250","5","5","5","4","Sala de estudios","30","90","195","245",""
"2022/11/12 11:59:43 a. m. GMT-5","19","Femenino","Bioingeniería","Celular","360","930","12","200","180","260","5","5","5","4","Sala de estudios","40","95","270","225",""
"2022/11/12 12:17:50 p. m. GMT-5","20","Femenino","Bioingeniería","Laptop","240","1020","13","300","30","270","1","1","2","5","En los medios de transporte","60","42","345","275",""
"2022/11/12 12:32:32 p. m. GMT-5","19","Masculino","Ingeniería Ambiental","Laptop","240","1080","15","360","20","300","1","1","1","3","Casa","60","20","360","300",""
"2022/11/12 12:56:39 p. m. GMT-5","19","Masculino","Ingeniería de la Energía","Celular","500","900","5","100","240","240","5","5","5","1","Sala de estudios","5","240","180","120",""
"2022/11/12 2:36:35 p. m. GMT-5","19","Masculino","Ingeniería Electrónica","Celular","420","960","7","120","180","250","5","4","5","2","Salón de clase","15","220","200","127",""
"2022/11/12 4:07:17 p. m. GMT-5","19","Masculino","Ingeniería Mecatrónica","Laptop","250","1070","11","110","35","290","2","1","2","3","Casa","55","26","352","283",""
"2022/11/12 4:21:38 p. m. GMT-5","20","Masculino","Ingeniería Química","Celular","430","950","10","290","180","170","5","5","5","2","Sala de estudios","10","223","197","134",""
"2022/11/12 4:36:50 p. m. GMT-5","26","Masculino","Ingeniería Electrónica","Celular","300","1000","13","120","100","300","2","2","3","2","Casa","40","140","280","140",""
"2022/11/12 4:48:50 p. m. GMT-5","21","Masculino","Ciencia de la Computación","Laptop","240","950","12","120","45","190","3","3","3","3","Salón de clase","50","120","200","150",""
"2022/11/12 4:49:16 p. m. GMT-5","21","Masculino","Ciencia de Datos","Laptop","325","1010","12","190","95","230","1","1","2","5","Ambientes del piso 6","32","128","262","207",""
"2022/11/12 4:51:33 p. m. GMT-5","22","Femenino","Ingeniería Industrial","Celular","480","1000","14","130","50","200","4","4","4","4","Casa","34","60","210","150",""
"2022/11/12 4:53:47 p. m. GMT-5","19","Femenino","Administración y Negocios Digitales","Tablet","250","960","16","170","49","200","3","3","3","3","Cubículo","35","40","300","156",""
"2022/11/12 4:57:16 p. m. GMT-5","20","Masculino","Ciencia de la Computación","Celular","360","960","13","120","50","186","3","4","3","4","Casa","33","45","189","160",""
"2022/11/12 5:00:29 p. m. GMT-5","26","Femenino","Ingeniería Mecatrónica","Celular","400","950","8","120","180","90","2","2","1","2","En los medios de transporte","60","200","190","120",""
"2022/11/12 5:13:32 p. m. GMT-5","22","Femenino","Bioingeniería","Celular","500","190","10","260","60","500","2","3","2","3","Casa","45","200","400","150",""
"2022/11/12 5:19:06 p. m. GMT-5","18","Femenino","Ingeniería Química","Celular","440","940","9","300","190","160","5","4","5","1","Sala de estudios","50","181","234","175",""
"2022/11/12 5:27:43 p. m. GMT-5","20","Femenino","Ingeniería de la Energía","Celular","300","1000","7","200","240","400","4","4","3","4","Casa","45","180","400","180",""
"2022/11/12 5:35:29 p. m. GMT-5","16","Femenino","Ingeniería Industrial","Tablet","500","980","8","180","80","186","3","2","3","4","Casa","45","200","400","120",""
"2022/11/12 5:41:20 p. m. GMT-5","19","Femenino","Ingeniería Mecatrónica","Celular","450","930","11","310","200","150","5","4","4","2","Sala de estudios","18","186","229","160",""
"2022/11/12 5:42:34 p. m. GMT-5","20","Femenino","Ingeniería Química","Celular","450","1000","16","180","250","500","1","2","2","2","Pasillos de UTEC","45","130","150","270",""
"2022/11/12 5:47:35 p. m. GMT-5","22","Masculino","Ingeniería Mecatrónica","Laptop","250","980","13","135","55","230","4","5","4","5","Sala de estudios","65","70","225","140",""
"2022/11/12 5:51:29 p. m. GMT-5","19","Femenino","Bioingeniería","Tablet","252","965","15","125","42","235","4","5","4","5","Ambientes del piso 6","67","78","235","160",""
"2022/11/12 5:55:13 p. m. GMT-5","17","Masculino","Ingeniería Mecánica","Tablet","245","995","16","126","48","267","3","4","3","4","Cubículo","43","139","195","250",""
"2022/11/12 6:00:50 p. m. GMT-5","21","Femenino","Ingeniería Ambiental","Celular","460","920","13","320","210","140","5","4","5","1","Sala de estudios","17","198","215","154",""
"2022/11/12 6:02:04 p. m. GMT-5","18","Masculino","Ingeniería Ambiental","Tablet","255","988","14","169","51","500","3","4","3","4","Salón de clase","37","128","215","252",""
"2022/11/12 6:11:07 p. m. GMT-5","24","Masculino","Ingeniería Civil","Celular","245","978","14","169","51","503","3","4","3","4","Cubículo","39","141","221","237",""
"2022/11/12 6:16:11 p. m. GMT-5","22","Femenino","Ingeniería Ambiental","Tablet","243","962","12","153","47","504","3","4","3","4","Casa","41","142","223","239",""
"2022/11/12 6:18:04 p. m. GMT-5","20","Masculino","Ingeniería Industrial","Celular","241","952","16","157","49","505","3","4","3","4","Salón de clase","37","143","224","241",""
"2022/11/12 6:21:42 p. m. GMT-5","20","Femenino","Ingeniería Industrial","Celular","241","952","16","157","49","505","3","4","3","4","Salón de clase","37","143","224","248",""
"2022/11/12 6:23:08 p. m. GMT-5","21","Femenino","Ingeniería de la Energía","Pc","242","953","14","158","50","506","3","4","3","4","Salón de clase","38","144","225","249",""
"2022/11/12 6:24:27 p. m. GMT-5","21","Femenino","Ingeniería Civil","Celular","470","910","14","330","220","130","5","3","5","1","Cubículo","15","201","200","149",""
"2022/11/12 6:26:29 p. m. GMT-5","26","Femenino","Ingeniería Electrónica","Celular","450","980","6","180","80","300","4","3","3","4","Casa","40","200","300","250",""
"2022/11/12 6:28:58 p. m. GMT-5","21","Femenino","Ingeniería Mecatrónica","Pc","244","955","16","159","51","507","2","3","2","3","Cubículo","39","145","226","250",""
"2022/11/12 6:33:16 p. m. GMT-5","23","Masculino","Ciencia de Datos","Laptop","245","956","17","160","52","508","2","3","2","3","Salón de clase","40","146","227","251",""
"2022/11/12 6:35:07 p. m. GMT-5","19","Femenino","Ingeniería Civil","Tablet","246","957","12","161","53","509","3","4","3","4","Salón de clase","41","147","228","252",""
"2022/11/12 6:35:59 p. m. GMT-5","19","Masculino","Ingeniería Electrónica","Celular","246","957","13","169","54","510","3","4","3","4","Salón de clase","44","148","228","253",""
"2022/11/12 6:39:23 p. m. GMT-5","20","Femenino","Ingeniería Ambiental","Pc","247","958","14","170","57","511","3","4","3","4","Salón de clase","45","149","229","254",""
"2022/11/12 6:41:58 p. m. GMT-5","21","Masculino","Ingeniería Electrónica","Tablet","248","959","13","171","58","512","3","4","3","4","Salón de clase","46","150","230","255",""
"2022/11/12 6:47:34 p. m. GMT-5","22","Masculino","Ingeniería Industrial","Celular","350","980","5","200","240","180","1","2","3","2","Casa","45","220","250","270",""
"2022/11/12 6:54:14 p. m. GMT-5","22","Femenino","Ciencia de Datos","Laptop","249","960","14","172","59","513","3","4","3","4","Salón de clase","47","151","231","256",""
"2022/11/12 6:55:13 p. m. GMT-5","18","Masculino","Bioingeniería","Tablet","250","961","15","173","60","514","3","4","3","4","Salón de clase","48","152","232","257",""
"2022/11/12 6:58:04 p. m. GMT-5","18","Femenino","Ingeniería Ambiental","Celular","251","962","13","174","61","515","3","4","3","4","Salón de clase","49","153","233","258",""
