ITEM,ACTIVIDAD,ENCARGADO,INICIO,FIN
1,Reunión - Elección del tema,P0 Entrega 0,2022.03.21,2022.03.25
2,Reunión 1- Entrega 0,P0 Entrega 0,2022.03.27,2022.03.31
3,Reunión 2- Entrega 0,P0 Entrega 0,2022.04.01,2022.04.03
4,Reunión 3- Entrega 0,P0 Entrega 0,2022.04.05,2022.04.07
5,Presentación 0 - Informe 1,P0 Entrega 0,2022.04.07,2022.04.08
6,Entrega 1 - Descriptores numéricos y gráficos,P1 Entrega 1,2022.04.10,2022.04.17
7,Entrega 1 - Variables aleatorías y patrones,P1 Entrega 1,2022.04.19,2022.04.26
8,Entrega 1 - Informe y correción del feedback,P1 Entrega 1,2022.04.28,2022.05.05
9,Presentación 1 - Informe 2,P1 Entrega 1,2022.05.06,2022.05.07
10,Reunión 1- Decisión de parámetros de estudio,P2 Entrega 2,2022.05.10,2022.05.22
11,Reunión 2  Modelos de regresión lineal,P2 Entrega 2,2022.05.25,2022.06.13
12,Reunión 3- Pruebas de hipótesis y respuestas a las preguntas iniciales,P2 Entrega 2,2022.06.16,2022.07.04
13,Presentación 2 - Informe 3,P2 Entrega 2,2022.07.05,2022.07.06
