"","Universidad","Genero","Edad","Num_dispositivos","Horas","Vcalificaion","Plataforma","Medios","Concentracion","Acceso","Aplicaciones","Resultados","Frecuencia","Curso_linea","Efectividad","Ponderado","Cursos_avanzados","Participacion","Reconocimiento","Presentaciones","Practicas","Actividades","Mejoramiento","Motivacion","Ciclo","Nota_max","Nota_min"
"1","UTEC","Masculino",19,3,4,8,"Repositorios virtuales, Canvas","Aveces","No","Si","Siempre","De acuerdo","A veces","Si","Si",15.75,"No","Aveces","No","No","No","No",8,8,4,20,5
"2","UTEC","Femenino",19,1,9,5,"Aula virtual, Biblioteca virtual, Canvas","Casi siempre","Si","Si","A veces","De acuerdo","Casi siempre","Si","No",15,"No","Aveces","Si","No","No","No",8,8,2,20,9
"3","UTEC","Femenino",20,2,7,5,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","Siempre","De acuerdo","Casi nunca","Si","Si",14,"Si","Nunca","No","No","No","No",7,8,2,18,11
"4","UTEC","Masculino",18,2,6,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Casi siempre","No","Si","A veces","Ni de acuerdo ni en desacuerdo","Casi nunca","Si","Si",14.2,"No","Casi nunca","No","Si","No","Si",9,10,4,20,0
"5","UTEC","Femenino",18,4,8,10,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","No","Si","A veces","De acuerdo","A veces","No","Si",15,"No","Aveces","Si","Si","No","No",8,8,2,20,10
"6","UTEC","Masculino",18,2,6,6,"Aula virtual, Biblioteca virtual","Siempre","No","Si","A veces","Totalmente de acuerdo","Casi siempre","Si","Si",17.5,"No","Aveces","Si","No","No","No",7,7,2,18,14
"7","UTEC","Masculino",18,2,10,10,"Canvas","Siempre","Si","Si","Siempre","Totalmente de acuerdo","Siempre","Si","No",13,"No","Casi nunca","No","No","No","No",10,10,3,20,10
"8","UTEC","Masculino",19,2,4,7,"Aula virtual, Repositorios virtuales, Biblioteca virtual, Canvas","Siempre","Si","Si","Siempre","Totalmente de acuerdo","Siempre","Si","Si",13.3,"No","Casi nunca","No","No","No","No",8,7,2,20,2
"9","UTEC","Femenino",18,2,7,5,"Aula virtual, Biblioteca virtual","Casi siempre","Si","Si","A veces","De acuerdo","Casi siempre","Si","Si",15,"Si","Aveces","No","No","No","No",4,8,1,20,4
"10","UTEC","Masculino",19,2,2,8,"Biblioteca virtual, Canvas","Casi siempre","No","Si","A veces","En desacuerdo","Nunca","No","Si",17.1,"No","Nunca","No","No","No","No",9,9,2,20,4
