genero,edad,universidad,carrera,Ciclo,plataforma,idioma,horas_libres,horas_al_curso,gasto,utilidad,tema_interes,tema_desinteres,promedio,llamativo,cantidad,sincronia,trimestre,dispositivo
Mujer,21,NA,Ingenieria,5,Youtube,Español,2,2,0,Si,Ciencia,Cocina,14.4,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,20,NA,Ingenieria,5,Crehana,Español,3,NA,300,Si,Ciencia,Cocina,14.78,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,23,NA,Ingenieria,3,Udemy,Español,2,2,90,Si,Programacion,Marketing Digital,16.4,Apreciación de los usuarios,Personalizado,Sincronas,1er,Laptop
Mujer,18,NA,Ingenieria,3,Youtube,Español,3,2,200,Si,Idiomas,Marketing Digital,16,Apreciación de los usuarios,Grupal,Sincronas,1er,Laptop
Mujer,18,NA,Ingenieria,3,Youtube,Español,3,2,200,Si,Idiomas,Marketing Digital,16,Acreditación(Peso del curso online),Grupal,Sincronas,1er,Laptop
Hombre,18,NA,Social,1,Khan Academy,Español,5,4,500,Si,Idiomas,Marketing Digital,17,Acreditación(Peso del curso online),Personalizado,Sincronas,4to,Laptop
Hombre,19,NA,Ingenieria,3,Coursera,Español,2,1,0,Si,Idiomas,Programacion,15,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,21,NA,Ingenieria,3,Youtube,Español,2,NA,75,Si,Idiomas,Desarrollo personal,12,Acreditación(Peso del curso online),Grupal,Sincronas,1er,Laptop
Mujer,27,NA,Social,1,Youtube,Español,2,1,10,Si,Ciencia,Programacion,17,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,20,NA,Ingenieria,3,Youtube,Ingles,4,NA,1000,Si,Programacion,Marketing Digital,13,Acreditación(Peso del curso online),Grupal,Asincronas,2do,Laptop
Mujer,18,NA,Social,2,EDTeam,Español,2,2,200,Si,Ciencia,Cocina,16,Contenido,Grupal,Sincronas,1er,Laptop
Mujer,21,NA,Ciencia,3,Khan Academy,Español,1,1,0,Si,Marketing Digital,Cocina,18,Acreditación(Peso del curso online),Grupal,Asincronas,1er,Laptop
Mujer,21,NA,Ingenieria,3,Khan Academy,Portugues,2,NA,200,Si,Marketing Digital,Cocina,14,Contenido,Grupal,Sincronas,1er,Laptop
Hombre,20,NA,Ingenieria,3,Platzi,Español,5,2,271.74,Si,Programacion,Marketing Digital,14,Contenido,Personalizado,Sincronas,1er,Laptop
Hombre,19,Universidad Peruana de Ciencias A Aplicadas,Ingenieria,4,Udemy,Español,4,NA,10,Si,Programacion,Ciencia,18,Acreditación(Peso del curso online),Grupal,Sincronas,2do,PC
Hombre,20,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Youtube,Ingles,4,2,0,Si,Programacion,Idiomas,13.129999999999999,Contenido,Grupal,Asincronas,1er,PC
Hombre,18,Universidad de Ingenieria y Tecnologia,Ingenieria,4,Udemy,Español,6,2,25.5,Si,Programacion,Cocina,16.759999999999998,Número de estudiantes,Personalizado,Asincronas,1er,Laptop
Hombre,18,Universidad Peruana Cayetano Heredia,Ingenieria,4,Youtube,Español,3,3,0,Si,Desarrollo personal,Programacion,14,Contenido,Personalizado,Asincronas,3er,Laptop
Mujer,18,Universidad Privada del Norte,Social,4,Coursera,Español,9,4,20,Si,Desarrollo personal,Idiomas,18,Apreciación de los usuarios,Grupal,Asincronas,2do,Laptop
Hombre,18,Universidad ESAN,Ciencia,4,Udemy,Español,5,1,10,Si,Marketing Digital,Cocina,17,Contenido,Personalizado,Asincronas,1er,PC
Mujer,NA,Universidad Nacional Mayor de San Marcos,Social,10 a más,Coursera,Ingles,2,2,25,Si,Programacion,Desarrollo personal,18,Acreditación(Peso del curso online),Personalizado,Sincronas,3er,Laptop
Hombre,19,Universidad Peruana de Ciencias Aplicadas,Ingenieria,4,Youtube,Español,4,3,0,Si,Programacion,Cocina,NA,Contenido,Grupal,Asincronas,1er,Laptop
Hombre,18,Universidad del Pacífico,Ciencia,4,Crehana,Español,4,2,175,Si,Marketing Digital,Ciencia,15.4,Profesores,Personalizado,Sincronas,4to,Laptop
Hombre,29,Universidad ESAN,Ingenieria,10 a más,Platzi,Español,10,2,10,Si,Programacion,Cocina,13,Contenido,Personalizado,Sincronas,1er,Laptop
Mujer,18,Universidad de Ingenieria y Tecnologia,Ingenieria,4,EdX,Ingles,3,2,200,Si,Ciencia,Cocina,17.35,Contenido,Personalizado,Asincronas,1er,Laptop
