ciclo,n_cursos,carrera,sexo,promedio,horas_sueno_dia,horas_deporte_dia,horas_videojuegos_dia,dias_desayuna,dias_almuerza,dias_cena,toma_apuntes_ciencias,toma_apuntes_humanidades,tecnica_preferida_ciencias,horas_tecnica_preferida_ciencias,tecnica_preferida_humanidades,horas_tecnica_preferida_humanidades,horas_estudio_dia,utiliza_repeticion_espaciada,utiliza_recuperacion_activa,considera_curso_ayuda
2,7,Ingeniería Industrial,NA,16.1,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,2,Resaltar,1,2,TRUE,FALSE,NA
2,6,Ciencia de la Computación,NA,15,8,NA,NA,NA,NA,NA,TRUE,TRUE,Reescribir,1,Resaltar,1,3,FALSE,TRUE,NA
6,7,Bioingeniería,NA,15.42,6,NA,NA,NA,NA,NA,FALSE,TRUE,Problemas,3,Leer,1,4,TRUE,FALSE,NA
4,4,Ingeniería Mecatrónica,NA,15.4,4,NA,NA,NA,NA,NA,TRUE,TRUE,Reescribir,4,Reescribir,2,6,FALSE,FALSE,NA
7,6,Ingeniería Civil,NA,13,8,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,1,NA,1,2,FALSE,FALSE,NA
2,7,Bioingeniería,NA,16.95,5,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,4,Resaltar,3,7,TRUE,FALSE,NA
9,5,Bioingeniería,NA,14,6,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,4,Resaltar,2,5,FALSE,TRUE,NA
2,7,Ingeniería Civil,NA,15.05,8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,4,Flashcards,4,4,TRUE,FALSE,NA
10,3,Bioingeniería,NA,16.85,8,NA,NA,NA,NA,NA,FALSE,FALSE,Problemas,1,NA,0,1,TRUE,FALSE,NA
2,7,Ingeniería Química,NA,15,7,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,4,Resaltar,2,4,FALSE,TRUE,NA
2,6,Ingeniería Civil,NA,16,7,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,6,Reescribir,2,6,TRUE,FALSE,NA
5,4,Ingeniería Mecatrónica,NA,13.94,6,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,3,Reescribir,3,6,FALSE,FALSE,NA
3,6,Ingeniería Civil,NA,16.02,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,2,Resaltar,1,3,FALSE,FALSE,NA
2,7,Ingeniería Industrial,NA,16.76,5,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,3,Reescribir,2,5,TRUE,TRUE,NA
7,4,Ingeniería Mecatrónica,NA,13,6,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,3,Leer,4,5,FALSE,TRUE,NA
10,4,Bioingeniería,NA,18.03,8,NA,NA,NA,NA,NA,FALSE,FALSE,Problemas,2,Reescribir,2,3,FALSE,TRUE,NA
9,6,Ingeniería Mecatrónica,NA,16.06,8,NA,NA,NA,NA,NA,FALSE,FALSE,Leer,1.5,NA,0.5,2,FALSE,TRUE,NA
2,7,Ciencia de la Computación,NA,14.2,7,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,4,Resaltar,2,5,TRUE,FALSE,NA
4,4,Ingeniería Química,NA,12,6,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,2,Resaltar,1,4,FALSE,FALSE,NA
1,6,Ingeniería Mecatrónica,NA,17,6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,2,Leer,2,4,FALSE,TRUE,NA
2,6,Ingeniería Civil,NA,14,8,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,2,Leer,1,3,FALSE,TRUE,NA
7,9,Bioingeniería,NA,13.92,8,NA,NA,NA,NA,NA,TRUE,FALSE,Flashcards,6,Ninguna,0,0,TRUE,TRUE,NA
3,6,Ingeniería Mecatrónica,NA,14.86,6,NA,NA,NA,NA,NA,TRUE,FALSE,Reescribir,3,Leer,1,4,FALSE,FALSE,NA
2,6,Ciencia de la Computación,NA,16,4,NA,NA,NA,NA,NA,TRUE,FALSE,Problemas,8,Resaltar,4,17,FALSE,FALSE,NA
2,7,Ingeniería Civil,NA,16.55,6,NA,NA,NA,NA,NA,TRUE,TRUE,Problemas,1,Grupo,1,4,FALSE,TRUE,NA
