temp,Edad,Carrera,cumplio_exp,Promedio,Ciclo,Estres,lid_estres,Agua,Tiene horario,Horas sueno,si deporte,Horas deporte,Tiempo de viaje,Medita,Cafe,cantidad cursos,tareas a tiempo,Asesorias,Metodos_estudio,Material,horas estudio,Lugar de estudio,Desvelado,Dormir,Musica,Videojuegos,Salir_Amigos,Caminar,Otros,Pomodoro,Feynman,Subrayar,Resumen_Mapa,Spaced_repetition,Método_de_Cornell,Mnemotecnias,SQ3R,Ninguno,Material_Profesor,Libros,Material_audiovisual,Recursos_Linea,Apuntes,Material_Asesoria,Material_Mentorias
28/04/2023 22:13:07,17,Ing. Industrial,5,18.75,2,1,"Dormir / Tomarse un descanso, Salir / Llamar a amigos o familiares",1000,FALSE,7,TRUE,5,10,TRUE,7,NA,entregaba todas a tiempo,FALSE,"Pomodoro, Subrayar, Resumir y/o Mapa conceptual","Material entregado por el profesor, Material audiovisial, Recursos en línea",2,Casa,ninguna,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
28/04/2023 22:18:15,18,Ing. Mecatrónica,4,13.23,3,3,"Escuchar música, Salir / Llamar a amigos o familiares",250,TRUE,NA,TRUE,2,60,TRUE,2,NA,solía entregarlas a tiempo,FALSE,Ningún método en particular,Material audiovisial,12,Universidad,de 4 a 7 veces,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28/04/2023 22:21:18,19,Ing. Industrial,4,17.1,2,1,Escuchar música,2000,FALSE,4,TRUE,1,1,FALSE,2,NA,solía entregarlas a tiempo,FALSE,Subrayar,Libros adicionales,1,Universidad,de 1 a 3 veces,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28/04/2023 22:21:29,18,Ing. Mecatrónica,4,16,3,1,"Escuchar música, Jugar videojuegos",4000,TRUE,7,TRUE,15,5,FALSE,6,NA,entregaba todas a tiempo,TRUE,Resumir y/o Mapa conceptual,"Material entregado por el profesor, Libros adicionales, Material audiovisial, Recursos en línea, Material de las asesorías, Material de mentorías",16,Casa,de 1 a 3 veces,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
28/04/2023 22:27:15,18,Bioingeniería,3,17.62,3,3,"Escuchar música, Jugar videojuegos, Salir a caminar",2500,TRUE,6.5,TRUE,3,10,FALSE,4,NA,entregaba todas a tiempo,TRUE,"Pomodoro, Subrayar, Mnemotecnias","Material entregado por el profesor, Recursos en línea, Material de las asesorías, Material de mentorías",7,Casa,más de 12 veces,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
28/04/2023 22:29:21,20,Ing. Química,2,15.68,2,3,"Escuchar música, Dormir / Tomarse un descanso, Otros",1500,TRUE,7,FALSE,0,60,TRUE,2,NA,entregaba todas a tiempo,TRUE,"Subrayar, Spaced repetition, Mnemotecnias","Material entregado por el profesor, Libros adicionales, Material audiovisial, Material de las asesorías, Material de mentorías",5,Casa,de 8 a 11 veces,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
28/04/2023 22:31:30,18,Bioingeniería,4,18.43,3,2,Dormir / Tomarse un descanso,2000,TRUE,8,TRUE,9,10,FALSE,5,NA,entregaba todas a tiempo,TRUE,Ningún método en particular,"Material entregado por el profesor, Material audiovisial, Recursos en línea, Material de las asesorías",7,Casa,ninguna,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
28/04/2023 22:32:23,19,Ing. Mecatrónica,4,16.35,2,3,"Dormir / Tomarse un descanso, Jugar videojuegos, Salir / Llamar a amigos o familiares",500,FALSE,6,FALSE,0,10,FALSE,4,NA,entregaba todas a tiempo,TRUE,Ningún método en particular,"Material entregado por el profesor, Recursos en línea, Material de las asesorías, Material de mentorías",7,Casa,de 4 a 7 veces,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
28/04/2023 22:35:15,18,Bioingeniería,3,15.7,3,3,"Escuchar música, Dormir / Tomarse un descanso",500,TRUE,7.5,TRUE,6,60,FALSE,0,NA,entregaba todas a tiempo,TRUE,Ningún método en particular,"Material audiovisial, Recursos en línea, Material de las asesorías, Material de mentorías",8,Casa,de 4 a 7 veces,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
28/04/2023 22:44:35,19,Ing. Industrial,1,14.03,2,1,"Escuchar música, Dormir / Tomarse un descanso",1000,TRUE,6,TRUE,3.5,10,TRUE,0,7,solía entregarlas a tiempo,TRUE,"Pomodoro, Feynman","Material entregado por el profesor, Material de las asesorías",5,Casa,de 4 a 7 veces,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
