Marca temporal,Género,Edad,Ciclo,Carrera,Promedio ponderado,Veces que tomaste un mismo curso en 2 oportunidades,Veces que tomaste un mismo curso en 3 oportunidades,Cantidad de cursos matriculados este ciclo,Grado de dificultad promedio de los cursos de este ciclo,¿En qué escala de pago te encuentras?,¿Te parece alto el valor por crédito en tu escala?,¿Cuentas con algún tipo de Beca?,¿Cuánto has gastado en asesorías adicionales para tus cursos este ciclo?,¿Cuántas son tus horas de sueño promedio?,Cantidad de veces que comes al día,¿Qué tan satisfecho(a) te encuentras con tu rutina diaria actual?,Selecciona las frases que te identifican esta semana,"¿Con qué sentimientos te identificas antes de dar un examen, PC, o test semanal?",¿Con qué sentimientos te identificas en la época de parciales?,Frecuencia de sentimientos positivos la última semana [¿Cuánto te reíste?],Frecuencia de sentimientos positivos la última semana [¿Qué tanto disfrutaste?],Frecuencia de sentimientos positivos la última semana [¿Qué tan feliz te sentiste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan enojado?],Frecuencia de sentimientos negativos la última semana [¿Qué tan triste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan preocupado?],¿Considerarías dejar la universidad?,"Si la respuesta anterior es sí, ¿Por qué motivos?"
5/01/2022 17:44,Mujer,22,3,Ingeniería Química,14.25,1,0,5,8,E,Si,Si,0,8,1,3,2,2,4,3,3,2,4,5,3,Tal vez,Cansancio 
5/01/2022 17:46,Mujer,18,3,Ingeniería Mecatrónica,16,0,0,4,5,E,Si,No,0,9,3,3,2,1,2,4,4,4,1,1,3,Tal vez,Altos costos
5/01/2022 17:46,Mujer,18,3,Bioingeniería,15.5,0,0,6,8,B,Si,Si,0,6,3,2,4,4,4,3,2,3,3,4,2,Tal vez,Desgaste emocional
5/01/2022 17:47,Mujer,18,3,Bioingeniería,15.9,0,0,5,9,D,Si,Si,50,6,3,2,3,3,3,4,3,3,2,4,5,Tal vez,Desgaste emocional
5/01/2022 17:48,Hombre,30,3,Ingeniería Química,16,0,0,6,7,E,No,Si,75,7,3,4,1,0,1,4,4,4,2,1,2,No,No
5/01/2022 17:56,Hombre,22,3,Ingeniería Electrónica,15.3,0,0,5,7,E,Si,No,0,4.5,2,2,3,1,2,3,2,3,1,3,4,No,Altos costos
5/01/2022 18:10,Mujer,26,5,Bioingeniería,13,3,3,3,9,C,Si,No,110,5,5,3,4,4,4,3,2,3,3,3,3,Tal vez,Desgaste emocional
5/01/2022 18:12,Hombre,19,3,Bioingeniería,13,2,1,5,7,E,No,No,250,6,3,4,1,2,2,3,3,3,3,1,4,Sí,Circunstancias familiares
5/01/2022 18:14,Hombre,18,3,Ingeniería Electrónica,12.87,2,0,5,9,B,Si,No,0,5,2,2,3,1,3,3,2,2,1,4,4,No,No
5/01/2022 18:15,Hombre,18,3,Ingeniería Mecatrónica,15.23,0,0,6,9,C,Si,Si,0,5,3,3,3,4,4,3,3,2,3,3,3,Tal vez,Todo
