"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Age of Empires","1997",NA,190262.81,156839.89,255,96
"Age of Empires II","1999",NA,2008941.78,619582.87,1392,1031
"Age of Empires III","2005",NA,68613.85,41500,108,77
"Age of Empires Online","2011",NA,4853.56,775,20,13
"Age of Mythology","2002",NA,52360,52000,22,6
"Among Us","2018",NA,86000,0,14,8
"Auto Chess","2019",NA,1136720.28,1035522.28,112,11
"Brawl Stars","2018",NA,1557950,336250,212,30
"Chess.com","2007",NA,1378538.94,0,705,247
"chess24","2014",NA,2305625.43,0,77,17
"Clash of Clans","2012",NA,2720852.87,1127101.87,191,40
"Clash Royale","2016",NA,3363348.27,3149638.98,290,51
"Command & Conquer 3","2007",NA,53086.67,53086.67,9,8
"Company of Heroes 2","2013",NA,8561.22,7956.22,11,6
"ComPet","2016",NA,2000,0,50,1
"Dead By Daylight","2016",NA,60000,0,35,9
"Dota Underlords","2019",NA,26024.18,0,62,36
"Endgods","2015",NA,0,0,0,0
"Farming Simulator 19","2018",NA,386311.88,119445.81,104,19
"Grey Goo","2015",NA,36400,30400,18,5
"Heroes of Might and Magic III","1999",NA,0,0,0,0
"Identity V","2018",NA,31911.1,31911.1,6,1
"Internet Chess Club","1995",NA,10000,0,6,1
"Iron Harvest","2020",NA,0,0,0,0
"Lichess","2010",NA,1198361.93,0,325,119
"Men of War: Assault Squad 2","2014",NA,0,0,0,0
"Multigaming","2000",NA,409551.61,409551.61,24,6
"osu!","2007",NA,85081,200,1307,34
"Playchess.com","2002",NA,32866.58,0,116,9
"Pok<U+00E9>mon VGC","2017",NA,211602,211500,173,25
"Prophecy","2020",NA,13000,0,27,4
"Rise of Nations: Rise of Legends","2006",NA,69600,69600,8,1
"Sea of Thieves","2016",NA,1e+05,0,67,4
"Star Wars: Squadrons","2020",NA,800,0,4,1
"StarCraft II","2010",NA,35558579.78,29342874.73,2103,6189
"StarCraft: Brood War","1998",NA,8502810.61,8075539.32,683,682
"Super Mario Party","2018",NA,220,220,4,1
"Supreme Commander","2007",NA,4901.26,4901.26,0,1
"Supreme Commander: Forged Alliance","2007",NA,1290.01,1290.01,0,1
"Teamfight Tactics","2019",NA,1069313.65,235250,181,16
"TEPPEN","2019",NA,456721.47,456721.47,12,1
"UNO","2016",NA,20000,0,16,2
"WarCraft III","2002",NA,5811479.73,5038870.86,558,1335
"WarCraft III: Reforged","2020",NA,800078.52,295883.84,91,126
"Warhammer 40,000: Dawn of War","2005",NA,79816.5,79816.5,7,3
"Warhammer 40,000: Dawn of War II","2009",NA,0,0,0,0
"Warparty","2019",NA,1175,0,6,2
"Windjammers","1994",NA,5401.47,4912.16,35,15
