Game,Total Money Earned,Total Money Earned Percentage,Team
Apex Legends,"$70,244.00",0.19%,Team Liquid
Arena FPS,"$548,961.00",1.46%,Team Liquid
Arena of Valor,$0.00,0.00%,Team Liquid
Artifact,"$12,704.82",0.03%,Team Liquid
Call of Duty,"$26,250.00",0.07%,Team Liquid
Clash Royale,"$285,649.77",0.76%,Team Liquid
Counter-Strike,"$4,994,175.35",13.31%,Team Liquid
Dota 2,"$23,031,431.10",61.40%,Team Liquid
FIFA,$840.00,0.00%,Team Liquid
Fortnite,"$1,351,625.00",3.60%,Team Liquid
Free Fire,"$10,335.82",0.03%,Team Liquid
Halo,"$335,900.00",0.90%,Team Liquid
Hearthstone,"$454,266.89",1.21%,Team Liquid
Heroes of the Storm,"$433,315.75",1.16%,Team Liquid
League of Legends,"$1,054,963.50",2.81%,Team Liquid
League of Legends (TL Academy),"$45,500.00",0.12%,Team Liquid
Magic: The Gathering,"$96,500.00",0.26%,Team Liquid
Overwatch,"$36,216.00",0.10%,Team Liquid
PUBG,"$1,038,562.58",2.77%,Team Liquid
Rainbow Six,"$1,031,349.62",2.75%,Team Liquid
Rocket League,"$29,300.00",0.08%,Team Liquid
StarCraft,"$1,576,364.84",4.20%,Team Liquid
Street Fighter,"$328,350.28",0.88%,Team Liquid
Super Smash Bros.,"$500,444.26",1.33%,Team Liquid
Teamfight Tactics,"$31,525.00",0.08%,Team Liquid
Tekken,"$22,080.86",0.06%,Team Liquid
Valorant,"$162,621.08",0.43%,Team Liquid
CS:GO,"$626,750.00",1.81%,OG
Dota 2,"$33,864,526.13",98.01%,OG
Dota 2 (Seed),"$52,600.00",0.15%,OG
Super Smash Bros,"$6,847.46",0.02%,OG
VALORANT,$0.00,0.00%,OG
Artifact,"$2,025.00",0.01%,Evil Geniuses
Call of Duty,"$917,740.10",3.72%,Evil Geniuses
Call of Duty 4,"$28,050.01",0.11%,Evil Geniuses
Counter-Strike,"$220,686.74",0.89%,Evil Geniuses
CS:GO,"$978,950.00",3.97%,Evil Geniuses
CS:Source,"$13,500.00",0.05%,Evil Geniuses
DotA,"$3,040.24",0.01%,Evil Geniuses
Dota 2,"$20,246,670.62",82.08%,Evil Geniuses
Duel FPS,"$73,002.13",0.30%,Evil Geniuses
Fighting Games,"$355,202.28",1.44%,Evil Geniuses
Fortnite,$800.00,0.00%,Evil Geniuses
Gwent,"$9,439.98",0.04%,Evil Geniuses
Halo,"$317,500.00",1.29%,Evil Geniuses
Heroes of Newerth,"$3,000.00",0.01%,Evil Geniuses
League of Legends,"$55,900.00",0.23%,Evil Geniuses
League of Legends (EG Academy),"$26,000.00",0.11%,Evil Geniuses
League of Legends (EG Prodigies),"$10,500.00",0.04%,Evil Geniuses
Overwatch,$0.00,0.00%,Evil Geniuses
PUBG,"$2,000.00",0.01%,Evil Geniuses
Rainbow Six  Siege,"$370,892.86",1.50%,Evil Geniuses
Rocket League,"$105,012.50",0.43%,Evil Geniuses
StarCraft / StarCraft 2,"$785,480.90",3.18%,Evil Geniuses
Team Fortress 2,$0.00,0.00%,Evil Geniuses
VALORANT,$750.00,0.00%,Evil Geniuses
WarCraft 3,"$80,795.13",0.33%,Evil Geniuses
World of WarCraft,"$61,400.00",0.25%,Evil Geniuses
Apex Legends,"$27,975.00",0.17%,Fnatic
Battlefield 4,"$93,092.44",0.57%,Fnatic
Call of Duty,"$114,024.94",0.70%,Fnatic
Clash Royale,"$25,000.00",0.15%,Fnatic
Counter-Strike,"$906,191.61",5.58%,Fnatic
Counter-Strike (FNC Ladies),"$15,500.00",0.10%,Fnatic
CS: Source,"$30,742.01",0.19%,Fnatic
CS:GO,"$4,590,237.80",28.24%,Fnatic
CS:GO (Rising),"$132,904.57",0.82%,Fnatic
DotA,"$4,794.79",0.03%,Fnatic
Dota 2,"$4,147,469.64",25.52%,Fnatic
Dota 2 (Fnatic NA),"$2,000.00",0.01%,Fnatic
FIFA,"$153,705.56",0.95%,Fnatic
FIFA (Fnatic Roma),"$112,146.85",0.69%,Fnatic
Fighting Games,"$33,118.31",0.20%,Fnatic
Fortnite,"$161,630.00",0.99%,Fnatic
Halo,"$40,600.00",0.25%,Fnatic
Hearthstone,"$2,112.34",0.01%,Fnatic
Heroes of Newerth,"$160,897.13",0.99%,Fnatic
Heroes of the Storm,"$931,148.76",5.73%,Fnatic
League of Legends,"$2,816,087.84",17.33%,Fnatic
League of Legends (FNC Academy),"$14,049.75",0.09%,Fnatic
League of Legends (FNC Beta),"$1,282.25",0.01%,Fnatic
