edad,sexo,carrera,ciclo,tocan_instrumentos
18,HOMBRE,Ciencia de la computación,3,No
18,HOMBRE,Ciencia de la computación,3,Sí
23,MUJER,Ingeniería electrónica,7,No
18,HOMBRE,Ciencia de la computación,3,Sí
22,HOMBRE,Ciencia de datos,3,No
19,HOMBRE,Ciencia de la computación,4,No
18,HOMBRE,Ingeniería mecatrónica,3,No
18,HOMBRE,Ciencia de la computación,2,Sí
18,HOMBRE,Ciencia de la computación,3,Sí
19,HOMBRE,Ciencia de la computación,3,Sí
21,HOMBRE,Ciencia de la computación,5,Sí
18,HOMBRE,Ciencia de datos,3,Sí
18,MUJER,Ingeniería mecatrónica,1,No
22,MUJER,Bioingeniería,4,No
18,HOMBRE,Ingeniería mecatrónica,3,Sí
18,HOMBRE,Ingeniería mecatrónica,3,Sí
18,HOMBRE,Ingeniería mecatrónica,3,No
18,HOMBRE,Ingeniería mecatrónica,4,No
18,HOMBRE,Ciencia de datos,1,Sí
17,MUJER,Bioingeniería,1,Sí
17,MUJER,Bioingeniería,1,Sí
18,MUJER,Ingeniería mecatrónica,3,Sí
22,MUJER,Bioingeniería,6,Sí
18,HOMBRE,Ciencia de datos,3,Sí
20,HOMBRE,Ingeniería mecatrónica,5,Sí
17,HOMBRE,Ingeniería química,1,No
19,MUJER,Ingeniería ambiental,3,Sí
19,HOMBRE,Ciencia de la computación,4,No
20,HOMBRE,Ingeniería civil,5,No
20,HOMBRE,Ingeniería mecánica,5,No
19,MUJER,Bioingeniería,5,No
18,MUJER,Administración y negocios digitales,3,No
21,HOMBRE,Ingeniería mecatrónica,5,No
22,MUJER,Ingeniería industrial,7,Sí
18,MUJER,Bioingeniería,4,No
20,HOMBRE,Ingeniería mecánica,4,No
18,HOMBRE,Ciencia de la computación,3,Sí
19,HOMBRE,Ingeniería civil,4,No
19,MUJER,Ingeniería ambiental,8,No
18,MUJER,Ingeniería civil,2,Sí
22,HOMBRE,Ingeniería civil,4,Sí
19,HOMBRE,Ingeniería civil,4,No
20,HOMBRE,Ingeniería industrial,2,No
19,HOMBRE,Ingeniería mecatrónica,3,Sí
17,HOMBRE,Ingeniería mecatrónica,1,Sí
22,MUJER,Ingeniería industrial,1,No
20,HOMBRE,Ingeniería civil,3,No
17,HOMBRE,Ciencia de la computación,1,Sí
20,MUJER,Ingeniería química,3,No
18,HOMBRE,Ingeniería mecatrónica,5,Sí
17,HOMBRE,Administración y negocios digitales,3,No
18,MUJER,Ingeniería química,3,No
20,HOMBRE,Bioingeniería,3,No
17,MUJER,Ingeniería industrial,2,No
19,HOMBRE,Bioingeniería,1,Sí
20,HOMBRE,Ingeniería mecatrónica,6,Sí
16,HOMBRE,Ingeniería de la energía,1,Sí
19,MUJER,Ingeniería civil,4,No
18,HOMBRE,Ciencia de la computación,3,Sí
18,HOMBRE,Ciencia de datos,3,Sí
17,HOMBRE,Ingeniería ambiental,1,No
20,HOMBRE,Ingeniería industrial,8,Sí
20,HOMBRE,Ingeniería industrial,8,No
18,MUJER,Ingeniería ambiental,3,No
19,HOMBRE,Ciencia de la computación,4,Sí
21,HOMBRE,Ingeniería mecatrónica,7,No
20,HOMBRE,Ciencia de la computación,4,Sí
19,HOMBRE,Bioingeniería,6,Sí
20,HOMBRE,Ciencia de la computación,6,Sí
22,HOMBRE,Ingeniería civil,4,Sí
18,HOMBRE,Ingeniería civil,5,Sí
20,HOMBRE,Ingeniería civil,4,No
20,MUJER,Ingeniería civil,4,No
21,HOMBRE,Ingeniería civil,4,Sí
18,HOMBRE,Ciencia de la computación,3,No
19,HOMBRE,Ciencia de la computación,4,No
18,HOMBRE,Ciencia de la computación,3,No
20,HOMBRE,Ciencia de la computación,5,No
19,HOMBRE,Ciencia de la computación,3,No
18,HOMBRE,Ciencia de datos,3,Sí
18,HOMBRE,Ciencia de la computación,3,No
19,MUJER,Ingeniería civil,4,No
19,MUJER,Ingeniería civil,6,No
21,MUJER,Ingeniería electrónica,1,No
19,HOMBRE,Ingeniería civil,4,No
24,HOMBRE,Ingeniería mecatrónica,4,No
21,HOMBRE,Ingeniería civil,8,No
21,HOMBRE,Ingeniería civil,8,Sí
