Item,Actividad,Elemento del Proyecto,Inicio,Fin,Color
1,Conociendo al equipo,P0,2022.03.21,2022.03.29,red
2,Definir temas con el equipo,P0,2022.04.03,2022.04.06,red
3,Redaccion P0,P0,2022.04.06,2022.04.08,red
4,Esperando FeedBack,P0,2022.04.09,2022.04.21,red
5,Reunion para el tema del proy.,Tema de Inv.,2022.04.21,2022.04.25,blue
6,Propuestas para el proy.,Tema de Inv.,2022.04.25,2022.04.26,blue
7,Selección de propuestas,Tema de Inv.,2022.04.26,2022.04.28,blue
8,Reunion con el profesor,Param. Del exp.,2022.04.28,2022.05.01,green
9,Reunion para coordinar,Param. Del exp.,2022.05.01,2022.05.04,green
10,Aplicando experimento,Desarrollo del Exp.,2022.05.04,2022.05.07,yellow
11,Filtracion de data en R,P1,2022.05.07,2022.05.08,purple
12,Desarrollo Informe,P1,2022.05.08,2022.05.09,purple
13,Desarrollo Presentacion Oral,P1,2022.05.09,2022.05.10,purple
14,Entrega de Informe y Presentacion,P1,2022.05.10,2022.05.14,purple
15,Reunion con el grupo,P2,2022.05.18,2022.05.28,wheat
16,Mejorando el proyecto,P2,2022.05.28,2022.06.10,wheat
17,Modelos probabilisticos,P2,2022.06.16,2022.06.19,wheat
18,Ultimos detalles,P2,2022.06.19,2022.06.23,wheat
19,Entra informe y presentacion,P2,2022.06.23,2022.06.28,wheat
