Género,¿Cuántos años tienes?,¿Cuál es tu nivel socioeconómico?,¿Cuántos productos en cosméticos compras al mes?,¿Cuántos productos de cuidado personal compras al mes?,Gasto promedio mensual en productos de cuidado personal,Gasto promedio mensual en productos cosméticos,"Entre las marcas de cuidado personal mencionadas a continuación, ¿cuál usas más?","Entre las marcas de cosmética mencionadas a continuación, ¿cuál usas más?",¿En qué provincia te encuentras? ,¿En que distrito resides?,¿En que distrito resides?,¿En que distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿La calidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La popularidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La recomendación influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La cantidad del producto influye en tu elección de compra de productos de higiene personal y cosméticos?,¿El precio influye en tu elección de compra de productos de higiene personal y cosméticos?,¿ Qué sea cruelty free  influye en tu elección de compra de productos de higiene personal y cosméticos?,¿Cuanto te cuidas del 1 al 10? ( siendo 1 nada y 10 bastante),"Al mes, ¿cuántas veces has visto alguna publicidad sobre el maltrato animal que implique a una marca de  productos de cuidado personal o cosméticos?","En base a la pregunta anterior, a partir de la publicidad contra el maltrato animal, ¿dejaste de comprar productos que testean en animales o continuaste usándolos?","Si en la pregunta anterior mascaste que Sí,  ¿cuántos productos, aproximadamente, que aún testean en animales dejaste de comprar (mensualmente)?",¿ Cuantas marcas cruelty free que aparecen en la imagen conoces?        ,¿ Cuantas marcas que aún hacen pruebas con animales que aparecen en la imagen conoces?         
Masculino,23,B - Ingreso mensual promedio de S/. 7 230,0,2,30,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,San Juan de Miraflores,,,,,,,,,Sí,No,Sí,No,Sí,No,6,6,"No, continué usándolos",,3,9
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,0,4,60,0,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,No,9,6,"No, continué usándolos",,2,3
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,1,5,50,50,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Puente piedra,,,,,,,,,Sí,Sí,Sí,Sí,Sí,No,5,3,"No, continué usándolos",,2,4
Femenino,20,E - Ingreso mensual promedio de S/. 1 977,0,1,50,10,Pantene,Cyzone,Lima,Los olivos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,9,5,"Sí, deje de comprar productos que aún testean en animales",,1,4
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,1,5,100,10,Dove,Natura,Lima,San Juan de Miraflores,,,,,,,,,Sí,No,No,Sí,Sí,No,7,3,"Sí, deje de comprar productos que aún testean en animales",2,8,6
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,0,2,0,25,Pantene,Ninguna (No uso cosméticos),Lima,Ate,,,,,,,,,Sí,No,Sí,Sí,Sí,No,5,0,"No, continué usándolos",,1,5
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,3,5,100,120,Ninguna (No uso estas marcas de cuidado personal),Cyzone,Camana,Camaná,,,,,,,,Camaná,Sí,No,Sí,Sí,Sí,Sí,7,1,"Sí, deje de comprar productos que aún testean en animales",2,5,9
Masculino,18,E - Ingreso mensual promedio de S/. 1 977,0,2,20,0,Dove,Ninguna (No uso cosméticos),Trujillo,Trujillo,,,,,,Trujillo,,,Sí,No,No,Sí,Sí,No,6,2,"No, continué usándolos",,2,4
Masculino,22,B - Ingreso mensual promedio de S/. 7 230,1,5,40,15,Gillette,AVON,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,9,2,"No, continué usándolos",,0,2
Femenino,20,D - Ingreso mensual promedio de S/. 2 760,1,4,100,40,Dove,Uso otras marcas,Lima,Lima,,,,,,,,,Sí,No,No,Sí,Sí,Sí,8,8,"Sí, deje de comprar productos que aún testean en animales",1,14,10
