Género,AFísica,FrecuenciaA,Dieta,TAgua,Emocional,Episodios,Capacidad,Habilidades,Vivir,Matemáticas,Ciencias,Letras,Hora_Estudio,Asesorias,Servicios,Estudia,Productivo,Motivación,Economía,Financia,TEducación
Masculino,1,aeróbico (cardio),si,si,Sí,1,Sí,Sí,Sí,16,18,17,4.5,1.5,4,En grupo,Noche,Alto,media,beca,Estatal
Femenino,0,no realizo,si,si,Sí,0,No,Sí,Sí,15,15,17,4.5,3.5,4,En grupo,Tarde,Medio,media,beca,Privada
Masculino,2,anaeróbico (de fuerza),si,si,No,5,Sí,No,Sí,14.5,13.8,16,4.5,2.5,2,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,2,ambos,no,si,Sí,3,No,No,Sí,14.6,13,17.5,4.5,0.5,2,Solo,Noche,Medio,media,beca,Estatal
Masculino,6,ambos,no,si,Sí,5,Sí,No,Sí,13,13,16,18,3.5,5,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Femenino,1,no realizo,si,si,No,5,No,No,Solo con 1 de ellos,16,16,15,18,2.5,3,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,0,no realizo,no,no,No,5,No,No,Solo con 1 de ellos,11,11,18,4.5,0.5,2,En grupo,Tarde,Medio,baja,beca,Privada
Femenino,1,aeróbico (cardio),no,si,Sí,4,Sí,No,Sí,19,15,18,4.5,2.5,3,En grupo,Noche,Medio,media,beca,Estatal
Masculino,6,aeróbico (cardio),si,si,Sí,0,Sí,Sí,Sí,17,17,16,18,1.5,3,En grupo,Noche,Alto,baja,mis padres me apoyan,Privada
Femenino,2,aeróbico (cardio),no,si,No,5,No,No,Solo con 1 de ellos,15,14,18,18,2.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,3,aeróbico (cardio),si,si,Sí,1,Sí,Sí,Sí,19,17,17,4.5,0.5,4,En grupo,Noche,Medio,media,beca,Estatal
Masculino,2,ambos,no,si,No,2,No,Sí,Sí,14,14,14,9,1.5,2,En grupo,Tarde,Medio,media,beca,Estatal
Femenino,0,no realizo,no,si,Sí,5,No,No,Sí,12,16,16,24,0.5,4,Solo,Tarde,Medio,media,beca,Estatal
Femenino,4,aeróbico (cardio),si,no,No,5,No,Sí,Sí,17,15,15,9,3.5,3,En grupo,Tarde,Alto,media,mis padres me apoyan,Privada
Masculino,6,ambos,no,si,Sí,0,Sí,Sí,Sí,15,11,17,4.5,0.5,3,En grupo,Tarde,Medio,media,mis padres me apoyan,Privada
Masculino,1,anaeróbico (de fuerza),no,si,Sí,3,Sí,Sí,Sí,14,15,18,4.5,1.5,3,Solo,Madrugada/día,Bajo,media,beca,Estatal
Femenino,2,aeróbico (cardio),si,si,No,5,No,No,Solo con 1 de ellos,11.67,14,18,4.5,2.5,3,En grupo,Tarde,Medio,baja,beca,Estatal
Femenino,2,ambos,si,si,No,5,No,No,Sí,16,15,18,1.5,1.5,4,En grupo,Noche,Medio,media,beca,Estatal
Masculino,3,ambos,si,si,Sí,3,Sí,Sí,Sí,15,18,17,4.5,4,4,En grupo,Madrugada/día,Alto,media,beca,Estatal
Femenino,0,no realizo,no,no,Sí,3,Sí,Sí,Sí,11,13,13,1.5,0.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,3,aeróbico (cardio),no,si,Sí,3,No,Sí,Sí,13,15,13,4.5,0.5,0,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,2,aeróbico (cardio),no,no,Sí,0,Sí,No,Solo con 1 de ellos,13,12,16,4.5,1.5,3,Solo,Madrugada/día,Medio,media,beca,Privada
Masculino,2,aeróbico (cardio),no,si,No,5,No,No,Con ninguno,13,12,16,1.5,0.5,2,Solo,Tarde,Medio,baja,beca,Estatal
Masculino,2,anaeróbico (de fuerza),no,si,Sí,1,Sí,Sí,Sí,16.45,19,15,1.5,0.5,2,Solo,Madrugada/día,Alto,media,beca,Privada
Femenino,0,no realizo,no,no,Sí,0,Sí,Sí,Sí,6,11,17,1.5,0.5,2,Solo,Tarde,Medio,baja,beca,Privada
Masculino,3,aeróbico (cardio),si,si,Sí,3,No,No,Solo con 1 de ellos,16,16,15,9,1.5,4,Solo,Madrugada/día,Medio,media,ayuda financiera,Privada
Femenino,3,aeróbico (cardio),si,si,Sí,3,No,Sí,Sí,14,15.5,16.7,9,1.5,2,En grupo,Madrugada/día,Medio,alta,mis padres me apoyan,Privada
