Variable,Tipo,Subtipo,Descripción,Límites
Escala,Categórica,Ordinal,Escala del estudiante,"A,B,C,D,E"
Ranking,Categórica,Ordinal,Ranking de mérito del estudiante,"Décimo, Quinto, Tercio, Otro"
Correo,Categórica,Nominal,Correo electrónico del estudiante [único],Formato de correo electrónico
Sexo,Categórica,Nominal,Sexo del estudiante,"Masculino, Femenino"
Departamento,Categórica,Nominal,Departamento en el que reside el estudiante,"Amazonas, Ancash, Apurimas..."
Carrera,Categórica,Nominal,Carrera que estudia el estudiante,"Ingeniería Ambiental, Ciencia de la Computación..."
Becado,Categórica,Nominal,Si el estudiante es becado o no,"Sí, No"
Trabajador,Categórica,Nominal,Si el estudiante trabaja o no,"Sí, No"
Deporte,Categórica,Nominal,Si el estudiante practica deporte con frecuencia,"Sí, No"
Videojuegos,Categórica,Nominal,Si el estudiante juega videojuegos con frecuencia,"Sí, No"
RF1,Categórica,Nominal,Nombre de la primera red social favorita del estudiante,"Facebook, WhatsApp, Twitter, etc"
RF2,Categórica,Nominal,Nombre de la segunda red social favorita del estudiante,"Facebook, WhatsApp, Twitter, etc"
Edad,Numérica,Discreta,Edad del estudiante en años,"{15, 16, 17, 18, ... }"
Inicio,Numérica,Discreta,Edad en años a la que el estudiante comenzó a utilizar redes sociales,"{0, 1, 2, 3, ... }"
Personas,Numérica,Discreta,Número de personas con las que convive el estudiante,"{0, 1, 2, 3, ... }"
Cursos,Numérica,Discreta,Número de cursos que llevó el estudiante,"{0, 1, 2, 3, ... }"
Jalados,Numérica,Discreta,Número de cursos que jaló el estudiante,"{0, 1, 2, 3, ... }"
SeguidoresRF1,Numérica,Discreta,Número de seguidores que tiene el estudiante en primera red social favorita,"{0, 1, 2, 3, ... }"
SeguidoresRF2,Numérica,Discreta,Número de seguidores que tiene el estudiante en segunda red social favorita,"{0, 1, 2, 3, ... }"
Promedio,Numérica,Continua,Promedio ponderado del estudiante,[0;20]
HorasEstudio,Numérica,Continua,Horas diarias que dedica el estudiante a estudiar,>= 0
HorasRF1,Numérica,Continua,Horas diarias que dedica el estudiante a su primera red social favorita,>= 0
HorasRF2,Numérica,Continua,Horas diarias que dedica el estudiante a su segunda red social favorita,>= 0
GeneranSatisfaccion,Numérica,Continua,"Indicador de ""Usar redes sociales le genera satisfacción"" obtenido mediante encuesta",[0; 1]
GeneranProblemas,Numérica,Continua,"Indicador de ""Usar redes sociales le genera problemas"" obtenido mediante encuesta",[0; 1]
ObsesionInformado,Numérica,Continua,"Indicador de ""Está obsesionado por estar informado"" obtenido mediante encuesta",[0; 1]
ObsesionConectado,Numérica,Continua,"Indicador de ""Está obsesionado por estar conectado"" obtenido mediante encuesta",[0; 1]
