"Tipo_Colegio","Region","Año_egreso","Tiempo_estudio_semanal","Promedio_egreso","Nivelación_preU","Preparacion_universidad","PreU_colegio.Mat","PreU_colegio.Física","PreU_colegio.Letras","PreU_colegio.Química","Puntaje_admision","Rendimiento_academico"
"Privada","Ayacucho","2016",4.1,17.5,"Si",26,2,3,4,3,20,"Bueno"
"Pública","Ayacucho","2019",4,20,"Si",4,2,2,2,2,11,"Regular"
"Pública","Lima","2021",3,18.8,"Si",3,5,5,5,5,11,"Bueno"
"Pública","Lima","2018",4.5,19,"No",0,5,5,5,5,11,"Bueno"
"Privada","Lima","2021",6.5,18,"No",0,5,4,5,5,11,"Bueno"
"Pública","Tacna","2021",3,17,"Si",6,4,2,4,2,11,"Bueno"
"Privada","Lima","2021",0.5,13,"Si",8,2,2,4,3,11,"Bueno"
"Privada","Lima","2021",15,19.5,"Si",3,4,4,5,3,11,"Regular"
"Pública","Lima","2020",1,19,"No",0,4,1,5,3,11,"Por mejorar"
"Privada","Lima","2020",2,16,"Si",12,4,4,5,4,11,"Regular"
"Privada","Lima","2021",0,15,"No",0,3,3,3,3,11,"Por mejorar"
"Pública","Ayacucho","2017",4,18,"Si",14,4,4,4,4,13,"Bueno"
"Pública","Junin","2021",3,18,"Si",3,3,4,3,4,14,"Bueno"
"Pública","Junin","2021",4,17,"Si",6,2,1,2,2,14,"Regular"
"Pública","Lima","2021",2,18,"Si",6,4,3,4,3,11,"Bueno"
"Pública","Ayacucho","2020",2,17,"Si",3,3,1,3,1,15,"Regular"
"Pública","Ica","2020",3.5,15,"Si",6,3,3,3,3,11,"Regular"
"Pública","Lima","2019",5,17.5,"Si",15,2,2,2,2,15,"Bueno"
"Pública","La Libertad","2020",1,17,"Si",12,2,2,2,2,11,"Regular"
"Privada","Lima","2020",3,15,"Si",18,4,5,3,4,15,"Regular"
"Pública","Apurímac","2020",3,16,"Si",6,2,1,3,1,11,"Por mejorar"
"Privada","Lima","2020",4,18,"No",0,4,2,5,5,11,"Bueno"
"Pública","Lambayeque","2020",0,18,"No",0,3,3,3,3,13,"Bueno"
"Pública","Lima","2018",3,18.78,"Si",12,3,3,3,3,15,"Bueno"
"Pública","Huanuco","2019",3,17,"Si",6,3,3,4,1,11,"Regular"
"Pública","Lima","2017",4,15,"Si",18,2,2,2,2,17,"Bueno"
"Privada","Ayacucho","2019",4,18,"Si",2,2,2,3,2,11,"Bueno"
"Pública","Lima","2017",2,17,"Si",12,1,1,2,1,11,"Por mejorar"
"Pública","Lambayeque","2020",1,18.75,"No",0,2,1,3,1,9,"Bueno"
"Privada","Lima","2018",4,18,"Si",14,3,3,3,3,15,"Bueno"
"Pública","Pasco","2020",1.1,15,"No",0,3,1,2,2,12,"Bueno"
"Pública","Junin","2019",1,16,"Si",4,3,1,1,1,13,"Regular"
"Pública","Apurímac","2018",4,18,"No",0,4,2,4,2,14,"Regular"
"Pública","Lima","2019",12,15.56,"No",0,5,3,5,5,11,"Bueno"
"Privada","Lima","2021",1,16.5,"Si",1,3,2,4,2,11,"Bueno"
"Privada","Lima","2021",1.5,18,"Si",4,3,3,4,4,11,"Regular"
"Pública","Ancash","2021",4,18,"Si",2,2,1,4,1,15,"Regular"
"Pública","Cajamarca","2020",1,17,"Si",2,2,2,2,2,11,"Bueno"
"Pública","Apurímac","2018",5,18,"Si",12,1,1,1,1,20,"Regular"
"Privada","Ancash","2019",7.5,17,"Si",5,5,4,5,5,11,"Bueno"
"Privada","Lima","2021",2,18.67,"No",0,5,5,4,5,11,"Bueno"
"Privada","Lima","2021",1,15,"No",0,4,4,3,3,11,"Bueno"
"Pública","Ayacucho","2016",4.1,17,"No",0,5,4,2,4,11,"Regular"
"Privada","Huancavelica","2020",1,18,"No",0,5,5,4,4,16.5,"Bueno"
"Pública","Junin","2019",4,17,"Si",7,4,3,3,2,11,"Regular"
"Pública","Cusco","2020",4.5,17,"Si",8,4,2,4,4,11,"Por mejorar"
"Pública","Puno","2021",4,19,"Si",3,3,1,4,3,18,"Bueno"
"Privada","Lima","2022",3.5,16.8,"Si",3,3,4,4,1,11,"Por mejorar"
"Pública","Huanuco","2016",5,15,"Si",12,4,4,4,4,15,"Por mejorar"
"Privada","Lima","2020",0,14,"No",0,4,4,3,3,11,"Regular"
"Privada","Lima","2021",4.5,19.5,"No",0,4,4,3,4,11,"Excelente"
"Pública","Lima","2018",2,18,"Si",15,1,1,1,1,16,"Por mejorar"
"Pública","Puno","2019",6,18,"Si",8,4,3,4,4,16,"Bueno"
"Pública","Lima","2018",4,13,"Si",24,4,3,2,4,16,"Bueno"
"Privada","Lima","2021",1,18,"No",0,3,1,5,1,11,"Bueno"
"Pública","Apurímac","2022",0,15.3,"Si",2.5,3,2,3,3,11,"Regular"
"Privada","Piura","2021",0.98,11.69,"No",0,3,1,2,2,0,"Regular"
"Pública","Ayacucho","2019",10,18,"Si",3,4,4,4,4,11,"Regular"
"Pública","Apurímac","2019",2,18,"Si",4,4,4,4,4,16,"Bueno"
"Pública","Lima","2009",4,16,"No",0,2,1,2,1,14,"Regular"
"Pública","Puno","2019",2,17,"Si",12,2,1,1,1,15.3,"Excelente"
"Pública","Lima","2019",2,17,"No",0,2,2,2,2,11,"Regular"
"Pública","Lima","2020",2,18,"No",0,2,1,3,2,11,"Bueno"
"Pública","Lima","2017",3,18,"Si",15,3,2,2,2,11,"Bueno"
"Privada","Lima","2020",1,16.9,"No",0,1,2,2,1,0,"Bueno"
