¿Cuántos años tienes?,Carrera Universitaria.  Escoja su carrera,Seleccione su sexo.,¿En qué zona de lima reside usted?,"Personalidad. Respecto a estas 2 opciones,   
¿ cuál consideras que es tu personalidad ?",Numero de cursos. ¿ Cuántos cursos estas llevando ?,Ciclo académico. ¿En que ciclo te encuentras ahora?,"De la escala del 1 al 5, ¿ qué tan dificiles consideras los cursos que te encuentras llevando  durante este ciclo ?","Escala de la matricula. ¿ Cual es tu escala asignada ?

Nota:
-  Recuerda que esta encuesta es 100% anónima, por lo que no deberías de preocuparte en brindarnos estos tipos de datos.
","Horas de sueño. ¿ Cuántas horas sueles dormir al día en una semana de clases ?

Nota:  
-  2.5 horas  =  2 hora y 30 minutos
-  3.5 horas  =  3 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de ocio.  ¿ Cuántas  horas al día  realizas otras cosas externas al estudio y relacionadas al entretenimiento ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de estudio fuera de clases.  ¿ Cuanto tiempo le dedicas a las tareas, repasos e investigación ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.",Tipo de trasporte. ¿ Qué medio de transporte usas a menudo o como te movilizas hacia la universidad ?,"Tiempo de traslado entre su domicilio y UTEC.  ¿ Cuánto tiempo (en minutos) te demoras en trasladarte de tu domicilio a la universidad ?

Nota: 

- 60 minutos = 1 hora

- 90 minutos = 1 hora y 30 minutos

- 120  minutos = 2 horas

- 150 minutos = 2 horas y 30 minutos

- 160 minutos = 3 horas",Horas dentro de la universidad. ¿ Cuántas horas pasas dentro de las instalaciones de la universidad  regularmente ?,"Distancia entre tu casa y la universidad. ¿  A cuántos kilómetros aproximadamente se encuentra tu casa a la universidad ?

Nota: 
- Ingrese su respuesta en decimales, empleando el  punto ""."" ","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando trabajos grupales ?","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando exposiciones en el aula ?",¿A que grupo perteneces?,Hobbie principal. ¿ De qué tipo de actividad disfrutas más a menudo ?,¿ Qué tan exhausto te sientes al día ?,Nivel de estrés. De la escala del 1 al 10 ¿ Cuál consideras que es tu nivel de estrés promedio durante un ciclo universitario  ?,Calidad de educación previa. ¿ Qué tipo de educación previa consideras tener ?
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,6,3,5,D,7.5,5.5,3,Bus-Micro,120,8,14.3,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Estatal
40,Ingeniería Civil,Masculino,Zona Sur,Extrovertido,1,1,1,A,2,8.5,1,Ebike / Scooter electrico,10,1,7,1,1,Estudiante con emprendimiento,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Muy exhausto,1,Secundaria Completa en Colegio Particular
18,Ingeniería Mecatrónica,Masculino,Zona Centro,Extrovertido,8,8,3,C,5,6.5,7,A pie,20,7,2,3,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,6,Secundaria Completa en Colegio Particular
21,Ingeniería Mecánica,Masculino,Zona Norte,Introvertido,5,3,4,E,4,4,4,Bus-Micro,120,9,25,4,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,6,Secundaria Completa en Colegio Estatal
35,Ingeniería Mecánica,Femenina,Zona Norte,Introvertido,6,7,4,C,6.5,3,6,Metropolitano,160,3,40,4,4,Estudiante Empleado,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Exhausto,9,Secundaria Completa en Colegio Estatal
40,Ciencias de la Computación,Femenina,Zona Norte,Extrovertido,6,4,4,C,5,2,4,Bus-Micro,115,6,13,3,3,Estudiante Empleado,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
40,Ingeniería Mecánica,Masculino,Zona Norte,Extrovertido,6,3,3,B,5,1.5,4,Bus-Micro,80,4,15,2,2,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,3,Secundaria Completa en Colegio Estatal
24,Ingeniería Industrial,Femenina,Zona Norte,Extrovertido,5,6,3,D,7,2,1.5,Bus-Micro,110,9,40,3,3,Estudiante Empleado,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Ligeramente exhausto,3,Secundaria Completa en Colegio Estatal
40,Administración y Negocios Digitales,Femenina,Zona Norte,Extrovertido,6,3,3,A,6.5,1,2,Bus-Micro,70,6,15,4,4,Estudiante Empleado,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,5,Secundaria Completa en Colegio Estatal
18,Ingeniería Mecánica,Masculino,Zona Centro,Introvertido,6,3,3,D,6,4.5,4.5,Metropolitano,80,4,10.9,3,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
19,Ingeniería Civil,Femenina,Zona Sur,Introvertido,4,4,5,E,5,2,8,A pie,10,6,5,5,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,7,Secundaria Completa en Colegio Estatal
21,Administración y Negocios Digitales,Masculino,Zona Norte,Introvertido,7,6,3,B,7.5,4.5,4.5,Bus-Micro,80,1,20,2,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,2,Secundaria Completa en Colegio Estatal
20,,Masculino,Zona Centro,Introvertido,6,3,5,E,4,6.5,9,Metropolitano,120,10,17.0,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Estatal
40,Ingeniería Mecatrónica,Femenina,Zona Norte,Extrovertido,6,3,4,B,6.5,1.5,2,Bus-Micro,60,8,40,4,5,Estudiante con emprendimiento,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Nada exhausto,5,Secundaria Completa en Colegio Estatal
20,Administración y Negocios Digitales,Femenina,Zona Norte,Introvertido,5,6,4,E,8.5,4,2.5,Bus-Micro,160,5,40,5,3,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
17,Ingeniería Industrial,Femenina,Zona Norte,Extrovertido,6,2,3,A,3.5,1.5,8.5,Metropolitano,160,7,1.30,3,3,Estudiante,"Humanidades - voluntariado, activismo, etc.",Exhausto,5,Secundaria Completa en Colegio Estatal
30,Ciencias de la Computación,Masculino,Zona Norte,Extrovertido,5,4,2,A,6,2,3,Bus-Micro,120,6,30.5,3,3,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,4,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,6,2,4,D,5.5,2,3.5,A pie,15,4,2.,1,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,10,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Centro,Introvertido,6,2,4,E,6,3.5,2.5,Metropolitano,125,5,31.2,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Estatal
17,Ciencia de datos,Femenina,Zona Sur,Extrovertido,5,3,3,C,5.5,4.5,2.5,Taxi,15,8,4.7,4,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,9,Secundaria Completa en Colegio Particular
18,Ciencia de datos,Femenina,Zona Norte,Introvertido,5,3,5,E,4.5,3.5,3,Metropolitano,130,8,40,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
19,Ingeniería Mecatrónica,Masculino,Zona Norte,Introvertido,6,3,4,E,5,6,6,Metropolitano,160,6,40,3,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
18,Ciencia de datos,Femenina,Zona Sur,Extrovertido,5,3,5,E,6,2,3,Metropolitano,25,7,10,1,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,9,Secundaria Completa en Colegio Particular
18,Ciencia de datos,Masculino,Zona Sur,Introvertido,6,3,4,E,7,4,8,Automovil Propio,60,8,5.3,3,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
