Año,Marca,Modelo,Condicion,Precio,Rating,Reseñas,TipoVendedor,NombreVendedor,RatingVendedor,ReseñasVendedor,NombreCalle,Estado,Zip,Trato,Comodidad,DiseñoInterior,Performance,Valor,Exterior,Fiabilidad,ColorExt,ColorInt,Conduccion,MinMPG,MaxMPG,Combustible,Transmision,Motor,VIN,Stock,Millas
2019,Toyota,Sienna SE,Used,39998,4.6,45,Dealer,CarMax Murrieta - Now offering Curbside Pickup and Home Delivery,3.3,3,25560 Madison Ave Murrieta,CA,92562,Great,4.7,4.6,4.6,4.4,4.6,4.7,Red,Black,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDXZ3DC2KS015402,22998646,29403
2018,Ford,F-150 Lariat,Used,49985,4.8,817,Dealer,Giant Chevrolet,4.8,131,1001 S Ben Maddox Way Visalia,CA,93292,Good,4.9,4.8,4.8,4.6,4.8,4.7,Shadow Black,Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1EG2JFD44217,22418A,32929
2018,Ford,Explorer XLT,Used,32995,4.8,265,Dealer,Driven Auto Sales,5,2,688 S Main St Springville,UT,84663,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D89JGB20589,P2214,61294
2018,Ford,Explorer XLT,Used,33341,4.8,265,Dealer,Larry H. Miller Used Car Supermarket Sandy,3.9,338,10990 Auto Mall Dr Sandy,UT,84070,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,–,Four-wheel Drive,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,1FM5K8D82JGC77140,R5631,81375
2018,Ford,Explorer XLT,Used,30489,4.8,265,Dealer,EchoPark Automotive Salt Lake City Delivery Center,3,2,3638 South State St Salt Lake City,UT,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Ruby Red Metallic Tinted Clearcoat,Ebony Black,Front-wheel Drive,17,24,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K7DH7JGC86801,PJGC86801,28357
2018,Ford,Explorer XLT,Used,32489,4.8,265,Dealer,EchoPark Automotive Salt Lake City Delivery Center,3,2,3638 South State St Salt Lake City,UT,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Shadow Black,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D81JGC67795,PJGC67795,33188
2018,Ford,Explorer XLT,Used,31672,4.8,265,Dealer,Hertz Cars Sales Layton,4.9,255,1573 N Main St Layton,UT,84041,Good,4.9,4.8,4.8,4.7,4.9,4.8,Magnetic,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D84JGB62068,180116740,47661
2018,Subaru,Crosstrek 2.0i Premium,Used,31995,4.8,343,Dealer,Jennifer's Auto Sales & Service,4,43,15020 E Sprague Ave Spokane Valley,WA,99216,Fair,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH323841,15919,30849
2018,Subaru,Crosstrek 2.0i Premium,Used,24561,4.8,343,Dealer,AutoNation Audi Volkswagen Spokane,4.6,176,10006 E Sprague Ave Spokane Valley,WA,99206,Good,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC4JH245601,JH245601,86759
2018,Subaru,Crosstrek 2.0i Premium,Used,24921,4.8,343,Dealer,NW Group Auto Sales,1,1,2995 E Mullan Ave Post Falls,ID,83854,Good,4.8,4.8,4.6,4.8,4.9,4.9,Crystal White Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH280909,R280909,61053
2019,Honda,Odyssey EX-L,Used,38347,4.6,133,Dealer,Norm Reeves Honda Superstore North Richland Hills,5,59,7551 Northeast Loop 820 North Richland Hills,TX,76180,Good,4.8,4.6,4.5,4.3,4.7,4.5,Modern Steel Metallic,Gray,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79KB016821,B01681,64571
2019,Audi,Q5 2.0T Premium,Used,37300,4.7,42,Dealer,John Eagle Honda of Dallas,4.8,2054,5403 Lemmon Ave Dallas,TX,75209,Good,4.8,4.6,4.7,4.5,4.7,4.7,Florett Silver Metallic,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY5K2100119,K2100119P,26012
2019,Honda,Odyssey EX-L,Used,38900,4.6,133,Dealer,Honda of Olathe,4.8,721,1000 N Rogers Rd Olathe,KS,66062,Good,4.8,4.6,4.5,4.3,4.7,4.5,Crystal Black Pearl,Mocha,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71KB114385,H002570A,32201
2019,Chevrolet,Impala Premier 2LZ,Used,26998,4.7,61,Dealer,Kunes Chevrolet Cadillac of Delavan,4.7,923,1231 E Geneva St Delavan,WI,53115,Fair,4.8,4.8,4.8,4.7,4.7,4.8,Black,–,Front-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,2G1105S31K9161628,02P596A,49372
2018,Honda,Civic EX,Used,23739,4.8,546,Dealer,North Coast Auto Mall of Cleveland,4.8,2398,5700 Brookpark Rd Cleveland,OH,44129,Good,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H51JU419408,419408K01,32333
2019,BMW,Z4 sDrive30i,Used,46500,5,2,Dealer,BMW of Sterling,4.5,1031,21710 Auto World Cir Sterling,VA,20166,Good,5,5,5,5,5,5,Metallic,Ivory White,Rear-wheel Drive,25,32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBAHF3C57KWW34090,KWW34090P,23504
2019,Subaru,Impreza 2.0i Premium,Used,4750,4.6,90,Dealer,AE of Miami,3.5,63,5700 NW 27th Ave Miami,FL,33142,NA,4.7,4.6,4.4,4.5,4.6,4.6,Ice Silver Metallic,Black,All-wheel Drive,28,36,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,4S3GTAD61K3727773,727773,67792
2019,Jeep,Cherokee Latitude Plus,Used,27500,4.6,568,Dealer,MotorWorld Pre-Owned,4.7,1801,150 Motorworld Dr Wilkes-Barre,PA,18702,Great,4.8,4.7,4.5,4.5,4.7,4.6,Diamond Black,Black,Four-wheel Drive,21,29,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,1C4PJMLB9KD402160,J13480A,21870
2019,Jeep,Cherokee Latitude Plus,Used,21795,4.6,568,Dealer,Lehighton Ford,4,14,54 Blakeslee Blvd Dr E Lehighton,PA,18235,Great,4.8,4.7,4.5,4.5,4.7,4.6,Granite Crystal Metallic Clearcoat,Black,Front-wheel Drive,22,31,Gasoline,9-SPEED A/T,4 Cylinder Engine,1C4PJLLB4KD316538,223501B,74832
2018,BMW,320 i xDrive,Used,25950,4.9,50,Dealer,CarShop Glen Mills,4.9,95,1021 Baltimore Pike Glen Mills,PA,19342,Fair,4.9,4.8,4.9,4.8,4.8,5,Black Sapphire,Charcoal,All-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8A3C55JA505632,F08304,55001
2019,Mercedes-Benz,AMG E 63 S 4MATIC,Certified,106999,5,2,Dealer,Ray Catena Mercedes Benz Freehold,4.7,738,4380 U.S. 9 Freehold,NJ,7728,Fair,5,5,5,4.5,5,5,Gray Metallic,Brown,All-wheel Drive,15,23,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDZF8KB9KA505055,P3020,15113
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,71458,4.6,14,Dealer,DCH Montclair Acura,4.9,2448,100 Bloomfield Ave Verona,NJ,7044,Great,5,4.8,4.4,4.4,4.7,4.3,Black,Brown,All-wheel Drive,17,27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDUG8GB9KA444046,MAJ1498,18022
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,62995,4.6,14,Dealer,Auto Expo Ent Inc,4.6,1224,46 Northern Blvd Great Neck,NY,11021,Great,5,4.8,4.4,4.4,4.7,4.3,Black,White,All-wheel Drive,17,27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDUG8GB3KA462123,AX46637A,35652
2018,BMW,430 Gran Coupe i xDrive,Used,26975,4.9,24,Dealer,Imotobank,3.1,7,4-8 Industrial Rd Walpole,MA,2081,Great,5,4.9,4.9,4.8,4.9,5,Gray,Coral Red / Black,All-wheel Drive,23,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J3C5XJBL03524,S73,39474
2018,BMW,430 Gran Coupe i xDrive,Used,25975,4.9,24,Dealer,Imotobank,3.1,7,4-8 Industrial Rd Walpole,MA,2081,Great,5,4.9,4.9,4.8,4.9,5,Gray,Golden Brown,All-wheel Drive,23,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J3C59JBG95575,S75,42899
2019,Mercedes-Benz,GLS 450 4MATIC,Used,56287,5,10,Dealer,BMW of Norwood,4.6,1108,920 Providence Highway Norwood,MA,2062,Great,5,5,5,4.7,5,4.9,Polar White,Ginger,All-wheel Drive,16,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE5KB221930,KB221930,33427
2018,BMW,430 Gran Coupe i xDrive,Used,29995,4.9,24,Dealer,Boston Foreign Motor,4.8,609,521 Cambridge St Allston,MA,2134,Great,5,4.9,4.9,4.8,4.9,5,Blue,Golden Brown,All-wheel Drive,23,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA4J3C51JBG96574,5874A,45266
2018,Ford,Edge Sport,Certified,33998,4.8,232,Dealer,James Ford,4.7,186,100 Seymour St Half Moon Bay,CA,94019,Good,4.9,4.8,4.8,4.6,4.8,4.8,White Platinum Metallic Tri-Coat,Ebony,All-wheel Drive,17,24,Gasoline,6-SPEED A/T,V6 Cylinder Engine,2FMPK4AP9JBC56175,22407A,23046
2019,Subaru,Crosstrek 2.0i Premium,Used,28998,4.7,205,Dealer,CarMax Phoenix-West Valley - Now offering Curbside Pickup,3.3,7,1041 N 99th Ave Tolleson,AZ,85353,Good,4.7,4.7,4.6,4.7,4.8,4.8,Quartz Blue Pearl,Gray,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC7KH274123,22904661,27911
2018,Subaru,Crosstrek 2.0i Premium,Used,29998,4.8,343,Dealer,CarMax Salem - Now offering Curbside Pickup,2.2,2,395 Lancaster Drive SE Salem,OR,97317,Good,4.8,4.8,4.6,4.8,4.9,4.9,Ice Silver Metallic,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC1J8283481,22486726,8832
2018,Subaru,Crosstrek 2.0i Premium,Used,27998,4.8,343,Dealer,Dick Hannah Subaru,4.7,393,7407 NE Vancouver Plaza Dr Vancouver,WA,98662,Fair,4.8,4.8,4.6,4.8,4.9,4.9,Dark Gray Metallic,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADCXJ8259602,704722T,70778
2019,Audi,Q5 2.0T Premium,Used,35700,4.7,42,Dealer,Audi Grapevine,4.7,933,1260 E State Hwy 114 Grapevine,TX,76051,Good,4.8,4.6,4.7,4.5,4.7,4.7,Manhattan Gray Metallic,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY6K2067955,K2067955,36644
2019,Audi,Q5 2.0T Premium,Used,38884,4.7,42,Dealer,Frisco Chrysler Dodge Jeep Ram,3.8,508,9640 TX-121 Frisco,TX,75035,Good,4.8,4.6,4.7,4.5,4.7,4.7,Brilliant Black,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY2K2111482,K2111482,21349
2019,Toyota,Highlander SE,Used,39368,4.6,363,Dealer,Heartland Chrysler Dodge Jeep Ram - Arkansas,1,1,1110 North Falls Blvd Wynne,AR,72396,Good,4.8,4.7,4.6,4.5,4.7,4.6,White,Almond,Front-wheel Drive,21,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDKZRFH5KS564775,UH564775,27027
2019,Chevrolet,Cruze LS,Used,21998,4.8,69,Dealer,Weber Chevrolet Creve Coeur,4.9,2808,12015 Olive Blvd Creve Coeur,MO,63141,Fair,4.8,4.7,4.7,4.7,4.8,4.8,Silver Ice Metallic,Jet Black,Front-wheel Drive,28,38,Gasoline,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,1G1BC5SM3K7126398,P14931,29865
2018,Chevrolet,Traverse Premier,Used,36525,4.7,266,Dealer,Steve Schmitt of Litchfield,4.8,285,1 Galaxy Ln Litchfield,IL,62056,Great,4.9,4.8,4.6,4.5,4.8,4.6,Iridescent Pearl Tricoat,Jet Black,Front-wheel Drive,18,27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNERKKW8JJ142933,BP10106,56722
2019,BMW,540 i xDrive,Used,47805,4.9,17,Dealer,Perillo Downers Grove,4.4,84,330 Ogden Ave Downers Grove,IL,60515,Good,4.9,4.9,5,4.6,5,4.8,Dark Graphite Metallic,Black,All-wheel Drive,21,29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBAJE7C54KWD55369,DG3725,26042
2018,BMW,X5 M Base,Used,70996,4.8,6,Dealer,Global Imports BMW,4.6,797,550 Interstate N Pkwy Atlanta,GA,30339,Fair,4.7,4.8,5,4.5,4.7,5,Carbon Black Metallic,Aragon Brown,All-wheel Drive,14,19,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5YMKT6C57J0Y83887,BJ0Y83887,33757
2019,Toyota,Tundra SR5,Used,39989,4.8,126,Dealer,Jim Shorkey Chrysler Dodge Jeep RAM North Huntington,4.7,362,13230 route 30 North Huntingdon,PA,15642,Great,4.9,4.7,4.9,4.7,4.9,4.9,Midnight Black Metallic,Black,Four-wheel Drive,13,17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,5TFUW5F14KX852827,C23764B,30136
2018,Honda,Civic LX,Used,20000,4.8,546,Dealer,Auto Boutique,4.8,1047,10100 Atlantic BLVD Jacksonville,FL,32225,Good,4.7,4.7,4.8,4.8,4.9,4.8,Gray,–,Front-wheel Drive,30,39,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC4B55JH309561,05863A,42836
2019,BMW,X5 xDrive40i,Certified,58992,4.7,55,Dealer,Leith BMW,4.9,2704,5603 Capital Blvd Raleigh,NC,27616,Fair,5,4.9,4.9,4.4,4.7,4.6,Phytonic Blue Metallic,Ivory White,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C52KLL61243,WP49597,17509
2019,Honda,Civic Sport,Used,24995,4.9,275,Dealer,SMH Auto Sales,4.8,327,1513 West Patrick Street Frederick,MD,21702,Good,4.8,4.8,4.9,4.8,4.9,4.9,Lunar Silver Metallic,–,Front-wheel Drive,25,36,Gasoline,5-SPEED M/T,4 Cylinder Engine,2HGFC2E86KH567017,TP5826,49051
2019,Toyota,Tundra SR5,Certified,39997,4.8,126,Dealer,Faulkner Toyota of Harrisburg,4.7,236,3400 Paxton St Harrisburg,PA,17111,Good,4.9,4.7,4.9,4.7,4.9,4.9,Super White,Graphite,Four-wheel Drive,14,18,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,5TFDM5F12KX080527,KX080527,36236
2019,Chevrolet,Silverado 1500 Custom,Used,30490,4.3,245,Dealer,Bomnin Chevrolet Dadeland,4.8,5038,8455 South Dixie Hwy. Miami,FL,33143,Great,4.4,4.2,4.3,4,4.6,4.2,Shadow Gray Metallic,Gideon,Rear-wheel Drive,16,21,Gasoline,6-Speed Automatic,4.3L V6 12V GDI OHV,1GCRWBEH8KZ230805,G535202A,44844
2018,BMW,320 320i xDrive,Used,22950,4.9,50,Dealer,R&J Automotive Company LLC,5,10,1 Upland Ave Bldg 5 Upland,PA,19015,Great,4.9,4.8,4.9,4.8,4.8,5,Black Sapphire Metallic,Black,All-wheel Drive,23,34,Gasoline,Automatic,Engine: 2.0L TwinPower Turbo 4-Cylinder 16V DOHC,WBA8A3C53JA357495,RJ18B31KBX3,31948
2018,BMW,320 i xDrive,Used,24985,4.9,50,Dealer,Car n Drive,2,33,1037 us highway 206 Bordentown,NJ,8505,Fair,4.9,4.8,4.9,4.8,4.8,5,Black,Venetian Beige,All-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8E5G56JNV02273,V02273,65946
2019,Mercedes-Benz,S-Class S 560 4MATIC,Certified,71242,4.6,14,Dealer,Mercedes-Benz of White Plains,4.9,1638,50 Bank St White Plains,NY,10606,Great,5,4.8,4.4,4.4,4.7,4.3,BL,Brown,All-wheel Drive,17,27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WDDUG8GB5KA475892,33704U,25046
2019,Jeep,Grand Cherokee Altitude,Used,33750,4.8,224,Dealer,Jamaica 26 Motors,3,42,181-07 Jamaica Ave Hollis,NY,11423,Great,4.9,4.9,4.8,4.6,4.9,4.8,Black,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFAG2KC529809,529809,25815
2018,Toyota,4Runner Limited,Used,39919,4.8,253,Dealer,Atlantic Toyota,4.7,725,671 Lynnway Lynn,MA,1905,Good,4.8,4.7,4.7,4.7,4.9,4.9,Black,Black,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR5J5515471,37165A,46525
2019,Subaru,Forester,Used,26200,4.7,279,Dealer,Tri-City Chrysler Dodge Jeep Ram,4.8,65,189 Route 108 Somersworth,NH,3878,Good,4.8,4.7,4.6,4.7,4.7,4.8,Ice Silver Metallic,Black,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKACCXKH587845,PS266,30403
2019,BMW,X3 sDrive30i,Used,35400,4.7,99,Dealer,INFINITI of San Jose,4.4,133,2198 Tully Rd San Jose,CA,95122,Good,4.7,4.7,4.8,4.3,4.8,4.6,Phytonic Blue Metallic,Canberra Beige,Rear-wheel Drive,23,30,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR7C57KLR39536,KLR39536I,34565
2019,BMW,X3 sDrive30i,Used,31995,4.7,99,Dealer,Stevens Creek Showcase,3.7,12,5080 Stevens Creek Blvd San Jose,CA,95129,Fair,4.7,4.7,4.8,4.3,4.8,4.6,Jet Black,Black,Rear-wheel Drive,23,30,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR7C53KLE94067,Z2391R,57583
2018,Honda,Civic EX-T,Used,26955,4.8,546,Dealer,AutoNation Toyota Hayward,4.4,1071,24773 Mission Blvd Hayward,CA,94544,Good,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,–,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HGFC3B35JH353701,JH353701,12123
2019,BMW,X5 xDrive40i,Used,54998,4.7,55,Dealer,Lexus of Marin,4.7,760,513 Francisco Blvd E San Rafael,CA,94901,Fair,5,4.9,4.9,4.4,4.7,4.6,White,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C58KLL00897,TKLL00897,14950
2018,Toyota,4Runner Limited,Certified,42727,4.8,253,Dealer,Right Toyota,4.6,1811,7701 E. Frank Lloyd Wright Blvd. Scottsdale,AZ,85260,Great,4.8,4.7,4.7,4.7,4.9,4.9,Black,Black Graphite,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR1J5604969,00989245,39866
2019,Chevrolet,Silverado 1500 RST,Used,47988,4.3,245,Dealer,Auto Warehouse,5,2,240 W Jessup St Brighton,CO,80601,Good,4.4,4.2,4.3,4,4.6,4.2,–,–,Four-wheel Drive,19,22,Gasoline,8-Speed Automatic,5.3L V8 16V GDI OHV,1GCUYEED7KZ141374,T2162,26589
2019,Toyota,4Runner Limited,Used,46991,4.8,189,Dealer,Longo Toyota of Prosper,4.9,826,2100 E University Dr Prosper,TX,75078,Good,4.8,4.7,4.8,4.7,4.8,4.9,Midnight Black Metallic,Black Graphite,Four-wheel Drive,17,20,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR7K5713664,5P1643,39855
