Año,Marca,Modelo,Condicion,Precio,Rating,Reseñas,TipoVendedor,NombreVendedor,RatingVendedor,ReseñasVendedor,NombreCalle,Estado,Zip,Trato,Comodidad,DiseñoInterior,Performance,Valor,Exterior,Fiabilidad,ColorExt,ColorInt,Conduccion,MinMPG,MaxMPG,Combustible,Transmision,Motor,VIN,Stock,Millas
2021,Honda,Accord Sport SE,Used,28500,5,36,Dealer,AutoSavvy Las Vegas,4.6,284,2121 E Sahara Ave Las Vegas,NV,89104,NA,4.9,5,4.9,5,5,5,Gray,–,Front-wheel Drive,29,35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F49MA038035,54237,10598
2020,Lexus,RX 350,Used,49000,4.8,76,Dealer,Lexus of Henderson,4.8,4755,7737 Eastgate Rd Henderson,NV,89011,Good,4.9,4.8,4.8,4.7,4.8,4.9,Eminent White Pearl,Birch,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2AZMAA8LC156270,HDT4181A,28137
2021,Honda,Pilot Touring 8-Passenger,Used,44299,4.8,63,Dealer,EchoPark Automotive Phoenix,4.9,237,10555 West Papago Freeway Avondale,AZ,85323,Good,4.9,4.7,4.8,4.7,4.7,4.8,Platinum White Pearl,Beige,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H90MB052856,YMB052856,14445
2021,Subaru,Crosstrek Premium,Used,25500,4.8,78,Dealer,AutoSavvy Lindon,4.4,121,370 State St Lindon,UT,84042,NA,4.9,4.8,4.8,4.8,4.8,4.8,Cool-Gray Khaki,Black,All-wheel Drive,28,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC0M8340692,53341,11508
2021,Subaru,Forester Sport,Used,29500,4.9,109,Dealer,AutoSavvy Boise,4.6,96,1745 N Five Mile Rd Boise,ID,83713,NA,4.9,4.9,4.9,4.8,4.8,4.9,Ice Silver Metallic,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKALC4MH401994,53809,10859
2020,Mercedes-Benz,GLC 300 Base,Used,43451,4.8,35,Dealer,Hendrick Volkswagen Frisco,4.7,205,5010 State Hwy 121 Frisco,TX,75034,Good,4.9,4.9,4.7,4.7,4.9,4.7,Black,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8DB5LF861075,P03785A,34768
2020,Subaru,Ascent Touring 7-Passenger,Used,31754,4.8,83,Dealer,RAVMOTORS of Crystal,4.7,192,5241 W Broadway Ave Minneapolis,MN,55429,Great,4.8,4.8,4.8,4.7,4.9,4.8,Crystal White Pearl,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMARD3L3445339,C206657S,47226
2021,Honda,Pilot Special Edition,Certified,43296,4.8,63,Dealer,Ed Martin Honda,4.8,959,770 North Shadeland Avenue Indianapolis,IN,46219,Good,4.9,4.7,4.8,4.7,4.7,4.8,Steel Sapphire Metallic,Gray,All-wheel Drive,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H29MB101863,2CR3252A,10563
2020,BMW,X1 xDrive28i,Used,32893,4.8,13,Dealer,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Alpine White,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C08L5P94224,P94224C01,39879
2020,BMW,X1 xDrive28i,Used,30693,4.8,13,Dealer,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Jet Black,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C07L5P88611,P88611C01,50199
