"¿En qué ciclo te encuentras?","¿Cuál es su escala de pago a UTEC?","¿A cuántos cursos esta inscrito durante este ciclo? (Ejemplo: 6)","¿En qué zona vives?","Tiempo de viaje en minutos para ir y regresar a la UTEC (sume el tiempo de su tramo de ida más tramo de vuelta)(en caso de vivir en pronvicia rellenar con: NA) (Ejemplo: 98)","¿Cuánto es el costo de viaje?(sume el costo de su tramo de ida más tramo de vuelta)(en caso de no usar transporte público o privado colocar: 0)(En caso de tener movilidad privada poner el gasto en combustible)(Ejemplo: 10.00)","¿Cuánto es el costo de alimentos cuando vienes a la UTEC?(Ejemplo: 25.00)","Grupo de modalidad híbrida al que perteneces (""1"" - A hasta K )(""2"" - L hasta Z)","¿Cuántos días no asistió durante sus primeras dos semanas de modalidad presencial?(Grupo 1  - Semana 1 y 2; Grupo 2 - Semana 3 y 4)(Ejemplo: 5)","¿Qué días faltaste en la primera semana que a tu grupo le toca la modalidad presencial?","¿Qué días faltaste en la segunda semana que a tu grupo le toca la modalidad presencial?","¿Qué día(s) es (son) tu(s) clase(s) más temprana(s)?","¿Qué día(s) es (son) tu(s) clase(s) más tarde?","¿Cuál(es) es(son) el(los) día(s) con más horas de clases que tienes?","¿Cuál(es) es(son) el(los) día(s) con menos horas de clases que tienes?","¿En qué días tienes clases espaciadas?(considera clases espaciadas a partir de 3 horas entre clases)(Ejemplo : 1)"
"4","D","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","0","10","2","3","Lunes, Viernes","Lunes","Martes, Miércoles","Jueves","Jueves","Lunes, Viernes","Jueves"
"4","C","8","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","200","0","0","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Jueves","Lunes, Jueves","Lunes, Jueves","Sábado","Miércoles"
"4","E","8","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","230","10","20","2","10","Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles","Viernes, Sábado","Martes, Miércoles, Viernes, Sábado","Lunes, Jueves","Lunes, Martes, Jueves, Viernes"
"2","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","8","20","1","2","Lunes","Lunes","Jueves, Viernes","Lunes","Lunes","Martes","Miércoles"
"3","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","270","10","20","2","8","Miércoles, Jueves, Viernes, Sábado","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Viernes","Jueves, Sábado","Martes, Miércoles, Jueves, Viernes"
"7","D","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","110","4","15","2","3","Jueves, Viernes","Sábado","Martes, Miércoles, Sábado","Lunes, Viernes","Miércoles","Jueves, Viernes, Sábado","Miércoles"
"4","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","160","7","15","2","4","Lunes, Miércoles","Viernes, Sábado","Jueves","Viernes","Martes","Lunes","Martes, Jueves"
"4","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","8","20","2","11","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Miércoles, Jueves","Viernes","Lunes, Viernes","Martes","Miércoles, Jueves"
"6","E","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","130","7.5","15","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes","Miércoles","Miércoles","Jueves, Sábado","Lunes, Miércoles"
"2","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","240","10","25","2","8","Lunes, Martes, Jueves, Viernes","Lunes, Martes, Jueves, Viernes","Lunes, Martes","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Jueves","Miércoles, Viernes, Sábado","Jueves"
