ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,¿Qué carrera estudias?,Actualmente ¿En qué ciclo te encuentras?,"En tu ciclo pasado, ¿Cuál fue tu promedio ponderado?",¿Cuántos años tienes?,¿Cuál es tu estatura? Digite en metros.,¿Cuál es tu peso? Digite en Kg.,¿A qué sexo perteneces?,¿Cuántas horas al día duermes?,¿En que esta basado mayormente tu alimentación diaria?,¿Consumes bebidas alcohólicas?,¿Qué cantidad de agua consumes al día?,¿Cuánto tiempo de distracción tienes diariamente? Considere el tiempo en horas.,Column,¿Practicas algún deporte?,"Si tu respuesta fue sí, ¿Qué deporte practicas con más frecuencia?",Semanalmente. ¿Cuánto tiempo dedicas en practicar este deporte?,¿Cuál fue tu promedio ponderado en el ultimo año de colegio?,¿Con que frecuencia consumes las bebidas alcohólicas?
5,,,anonymous,,Ingeniería Civil,2,11,22,1.4,60,Masculino,4,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,10,Estoy muy estresado(a),Si,Fútbol,1 a 2 horas,,Muchísimo (Tres veces a la semana)
6,,,anonymous,,Ingeniería Industrial,1,,17,1.57,64,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy estresado(a),No,,,17,
7,,,anonymous,,Ingeniería Civil,3,15,18,1.64,69,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Poco estresado(a),Si,Fútbol,Menos de una hora,,
8,,,anonymous,,Ingeniería Industrial,2,17.55,17,1.6,74,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Estoy muy estresado(a),No,,,,
9,,,anonymous,,Ingeniería Ambiental,2,15.4,18,1.62,62,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Estoy estresado(a),No,,,,
10,,,anonymous,,Ingeniería Industrial,2,13,18,1.6,79,Femenino,1,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy estresado(a),No,,,,
11,,,anonymous,,Ingeniería Industrial,2,15.2,16,1.62,45,Masculino,3,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,1,Estoy muy estresado(a),Si,Fútbol,Menos de una hora,,
12,,,anonymous,,Ingeniería Civil,2,15.9,17,1.55,56,Femenino,6,frutas y verduras,No,4 Lt.,8,Poco estresado(a),No,,,,
13,,,anonymous,,Ciencia de la Computación,2,15,20,1.68,100,Masculino,3,frutas y verduras,Si,4 Lt.,8, Nada estresado(a),Si,Otros,3 horas,,Poco (Una vez al mes)
14,,,anonymous,,Ingeniería Mecánica,2,13,19,1.55,58,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,3,Estoy muy estresado(a),No,,,,
15,,,anonymous,,Ingeniería Industrial,2,16,17,1.65,51,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,2,Poco estresado(a),No,,,,Muchísimo (Tres veces a la semana)
16,,,anonymous,,Ingeniería Industrial,2,13,18,1.63,52,Femenino,6,"alimentos con alto contenido de grasa o azúcar(Hamburguesas, Pizzas, etc.)",Si,3 Lt.,2,Estoy muy estresado(a),Si,Otros,Más de 3 horas,,Muy poco ( Una vez en 2 meses)
17,,,anonymous,,Ingeniería Civil,2,14,17,1.65,60,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Estoy estresado(a),Si,Fútbol,Más de 3 horas,,
18,,,anonymous,,Ingeniería Industrial,8,17.58,21,1.52,54,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,2,Estoy muy estresado(a),Si,Otros,Más de 3 horas,,
19,,,anonymous,,Ingeniería Mecatrónica,3,13,18,1.7,60,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,5,Estoy estresado(a),No,,,,
20,,,anonymous,,Ingeniería Industrial,3,16.6,19,1.74,76,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,1,Poco estresado(a),Si,Ciclismo,3 horas,,Poco (Una vez al mes)
21,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.75,87,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,4,Estoy estresado(a),Si,Baloncesto,Más de 3 horas,17,
22,,,anonymous,,Ingeniería de la Energía,1,,23,1.73,70,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,3,Poco estresado(a),Si,Fútbol,Más de 3 horas,16.74,Poco (Una vez al mes)
23,,,anonymous,,Ingeniería Industrial,2,15.35,18,1.54,51,Femenino,9,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Estoy estresado(a),No,,,,
24,,,anonymous,,Ingeniería Industrial,2,15.9,19,1.73,62,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,1,Estoy muy estresado(a),No,,,,
25,,,anonymous,,Ingeniería Industrial,7,14,20,1.6,56.6,Femenino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,3 Lt.,2,Estoy estresado(a),Si,Otros,Más de 3 horas,,Muy poco ( Una vez en 2 meses)
26,,,anonymous,,Ingeniería Industrial,2,17.15,18,1.56,54,Femenino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,3,Poco estresado(a),Si,Baloncesto,1 a 2 horas,,
27,,,anonymous,,Ingeniería Civil,2,15,18,1.75,63,Masculino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,
28,,,anonymous,,Ingeniería Electrónica,2,18,19,1.8,74,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy estresado(a),Si,Fútbol,Menos de una hora,,
29,,,anonymous,,Ingeniería Civil,3,14,20,1.69,65,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Poco estresado(a),No,,,,
30,,,anonymous,,Ingeniería Industrial,2,16.75,18,1.6,60,Femenino,3,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,2,Estoy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
31,,,anonymous,,Ingeniería Electrónica,1,,17,1.58,58,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,2,Estoy estresado(a),No,,,17,
32,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
33,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
34,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
35,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
36,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
37,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.64,65,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
38,,,anonymous,,Ingeniería Mecatrónica,2,12,20,1.6,60,Masculino,6,leche y otros productos lácteos,No,2 Lt.,2,Poco estresado(a),No,,,,
39,,,anonymous,,Ingeniería Ambiental,2,14,18,1.54,56,Femenino,5,frutas y verduras,No,2 Lt.,2,Estoy muy estresado(a),Si,Natación,1 a 2 horas,,
40,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.65,80,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,5,Estoy estresado(a),No,,,19,
41,,,anonymous,,Ingeniería Civil,2,15.25,19,1.8,71,Femenino,5,"Golosinas(Galletas, dulces, gaseosas, snacks, etc.",No,1 Lt.,2,Estoy estresado(a),No,,,,
42,,,anonymous,,Ingeniería Civil,2,14,20,1.72,61,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Poco estresado(a),Si,Fútbol,1 a 2 horas,,
43,,,anonymous,,Ingeniería Química,1,,17,1.72,82,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,4,Estoy estresado(a),No,,,17,
44,,,anonymous,,Ciencia de la Computación,1,,17,1.72,64,Masculino,4,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,1,Poco estresado(a),Si,Ciclismo,Más de 3 horas,17,
45,,,anonymous,,Ingeniería Civil,2,16,22,1.55,65,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,1,Estoy estresado(a),No,,,,
46,,,anonymous,,Ingeniería Mecatrónica,1,,17,1.68,50,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Estoy estresado(a),Si,Baloncesto,Menos de una hora,16.5,
