Ranking del Valor Bruto de la producción agrícola y Perdidas evitadas por efecto de las plagas por años;;;;;;;
Años 2012 - 2014;;;;;;;
(miles de soles);;;;;;;
Nº;Nombre científico;Nombre común;Taxonomia;Pérdida por efecto de la plaga(miles S/.);;;
;;;;2012;2013;2014;
1;Pyricularia oryzae;Pyricularia;Hongo;315,434;320,636;347,639;
2;Helicoverpa zea;Mazorquero;Insecto;163,810;179,975;192,968;
3;Spodoptera frugiperda;Gusano cogollero;Insecto;163,810;179,975;192,968;
4;Ceratitis capitata;Mosca de la Fruta;Insecto;160,142;164,686;182,408;
5;Peronospora variabilis;Mildiu;Hongo;31,480;54,805;157,375;
6;Phytophthora infestans;Hielo (Rancha);Hongo;125,748;138,607;139,531;
7;Burkholderia glumae;Pudrición del grano;Bacteria;114,375;116,785;131,438;
8;Premnotrypes sp.;Gorgojo de los Andes;Insecto;100,991;130,232;110,231;
9;Rattus rattus;Rata de los techos;Roedor;99,046;103,862;99,925;
10;Symmestrichema tangolias;Polilla de la papa;Insecto;91,839;97,542;99,871;
11;Eurysacca sp.;Polilla de la quinua;Insecto;25,590;42,407;93,521;
12;Mus musculus;Pericote;Roedor;89,426;93,373;91,060;
13;Schistocerca sp.;Langosta;Insecto;87,363;95,969;90,320;
14;Maize mosaic virus ;Virus del mosaico del maíz (MMV);Virus;104,429;107,409;82,467;
15;Copitarsia spp.;Comedor de follaje;Insecto;93,873;87,339;73,327;
16;Spodoptera spp.;Cogollero _caballada;Insecto;93,873;87,339;73,327;
17;Avocado sunblotch viroid;Mancha o escaldadura solar;Viroide;56,034;56,363;71,849;
18;Phyllachora maydis;Mancha negra del maiz;Hongo;86,126;89,071;70,036;
19;Fusarium oxysporum;Marchitez;Hongo;71,281;51,170;67,135;
20;Epitrix sp.;Pulguilla;Insecto;51,966;68,327;59,526;
21;Puccinia allii;Roya de la cebolla y ajo;Hongo;40,626;67,052;59,236;
22;Thrips tabaci;Thrips;Insecto;64,949;38,079;57,560;
23;Phthorimaea operculella;Polilla de la papa;Insecto;47,242;53,479;56,084;
24;Oidium sp. ;Oidiosis;Hongo;40,907;49,022;53,372;
25;Phaeoacremonium spp. ;Phaeoacremonium;Hongo;36,377;55,066;52,507;
26;Hemileia vastatrix ;Roya del cafeto;Hongo;70,390;47,259;50,913;
27;Hypothenemus hampei ;Broca del cafe;Insecto;70,390;47,259;50,913;
28;Planococcus ficus;Cochinilla harinosa;Insecto;34,324;57,352;50,774;
29;Alternaria alternata;Mancha negra de la hoja;Hongo;49,337;47,329;46,431;
30;Lasiodiplodia theobromae;Muerte regresiva;Hongo;33,403;37,246;45,658;
31;Dagbertus sp.;Chinche;Insecto;902;4,873;42,083;
32;Lyorhyssus hyalinus;Ninfa de unos 5 mm;Insecto;902;4,873;42,083;
33;Nysius sp.;Chinche del fruto;Insecto;902;4,873;42,083;
34;Colletotrichum gloeosporioides;Antracnosis;Hongo;32,401;39,353;40,435;
35;Frankliniella spp. ;Thrips;Insecto;43,373;39,576;38,462;
36;Cosmopolites sordidus;Gorgojo negro del platano;Insecto;34,956;42,314;38,391;
37;Erwinina (Dickeya) sp.;Bacteria del plátano;Bacteria;34,956;42,314;38,391;
38;Helicotylenchus multicinctus;Nematodo espiral del platano;Nematodo;34,956;42,314;38,391;
39;Rotylenchulus reniformis;Nemátodo reniforme;Nematodo;34,956;42,314;38,391;
40;Castnia sp.;Polillas_Mariposas;Insecto;21,564;24,848;36,531;
41;Rhynchophorus palmarum /Rhadinaphelenchus cocophilus;Gorgojo de la Palma;Insecto/nemato;38,022;32,783;36,124;
42;Ramularia cynarae;Ramularia;Hongo;24,136;26,352;35,353;
43;Globodera pallida;Nemátode del quiste;Nematodo;32,488;40,518;34,707;
44;Ralstonia solanacearum;Marchitez bacteriana;Bacteria;28,973;37,081;32,720;
45;Mycosphaerella spp.;Mancha del fruto;Hongo;27,872;34,071;31,480;
46;Oidiopsis taurica;Oidium;Hongo;24,042;26,101;31,452;
47;Rhizoctonia solani;Chupadera fungosa;Hongo;25,722;30,696;30,242;
48;Cercospora zeae-maydis;Mancha gris de la hoja de maíz;Hongo;26,658;31,943;30,190;
49;Meloidogyne sp.;Nemátode ;Nematodo;37,776;27,192;28,752;
50;Botrytis cinerea;Podredumbre gris/ Moho gris;Hongo;19,341;24,099;28,665;
51;Synchytrium endobioticum;Verruga de la papa;Hongo;23,588;27,468;28,289;
52;Grapevine leaf roll associate virus;Enrollado de la hoja;Virus;20,316;31,401;28,123;
53;Lincus sp. / Phytomonas sp.;Chinche de la Palma aceitera;Insecto/protosoario;32,130;26,893;27,958;
54;Peronospora destructor;Mildiú;Hongo;38,965;14,512;27,243;
55;Botrytis fabae;Mancha chocolate;Hongo;19,579;22,728;26,534;
56;Leucoptera coffeella;Minador de la hoja del cafeto;Insecto;35,195;23,630;25,456;
57;Mycena citricolor ;Ojo de gallo;Hongo;35,195;23,630;25,456;
58;Pellicularia koleroga ;Mal de hilachas;Hongo;35,195;23,630;25,456;
59;Phoma costaricensis ;Phoma;Hongo;35,195;23,630;25,456;
60;Cercospora henningsii;Cercospora de la yuca;Hongo;26,538;22,084;24,721;
61;Ralstonia solanacearum raza 2;Marchitez bacteriana;Bacteria;10,112;10,850;23,795;
62;Globodera rostochiensis;Nemátode del quiste;Nematodo;18,415;21,393;22,880;
63;Onion yellow dwarf virus;Enanismo amarillo de la cebolla;Virus;14,643;24,830;22,871;
64;Spongospora  subterranea;Roña;Hongo;17,653;22,662;22,072;
65;Ascochyta pisi;Antracnosis;Hongo;17,269;21,406;21,817;
66;Ditylenchus dipsaci;Nemátode del ajo;Nematodo;29,162;9,528;20,505;
67;Peridroma saucia;Gusano cortador de plantas tiernas;Insecto;29,162;9,528;20,505;
68;Anastrepha distincta;Mosca de la Fruta;Insecto;12,837;20,839;20,357;
69;Anastrepha fraterculus;Mosca de la Fruta;Insecto;12,837;20,839;20,357;
70;Carmenta spp.;Perforador del fruto del cacao;Insecto;12,884;14,389;19,948;
71;Erwinia chrysantemi;Dickeya;Bacteria;19,133;19,841;19,889;
72;Pudrición severa de flecha;Pudrición severa de flecha;no se conoce;22,079;18,160;18,665;
73;Alternaria sp.;Mancha de la hoja;Hongo;13,756;17,632;17,839;
74;Globodera sp.;Nemátode del quiste de la papa;Nematodo;13,756;17,632;17,839;
75;Dysmicoccus brevipes;Cochinilla harinosa;Insecto;15,128;17,247;17,735;
76;Sclerotinia sclerotiorum;Pudrición blanda;Hongo;15,394;16,746;17,235;
77;Potato Mop Top Virus;Virus del Mop-Top de la papa (PMTV);Virus;16,397;15,052;16,627;
78;Palpita persimilis;Gusano del brote del olivo;Insecto;10,229;7,257;16,323;
79;Papaya ringspot virus;Mancha anillada;Virus;18,019;14,540;15,985;
80;Siphoninus finitimus;Mosca blanca del olivo;Insecto;9,620;6,571;15,673;
81;Pythium ultimun;Pythium ultimum;Hongo;15,330;13,438;15,650;
82;Prostephanus truncatus ;Barrenador de los granos;Insecto;24,517;23,113;15,123;
83;Chalara paradoxa;Chalara (Anamorpho);Hongo;11,655;13,228;14,054;
84;Virus X papa;Virus mosaico papa;Virus;11,320;13,664;13,025;
85;Alternaria solani;Tizon temprano;Hongo;11,594;11,637;12,730;
86;Moniliophthora roreri;Moniliasis del Cacao;Hongo;7,549;8,349;12,604;
87;Phytophthora palmivora;Prodredumbre del fruto;Hongo;7,087;7,797;11,871;
88;Banana Streak Badnavirus;Virus de la banana;Virus;11,892;13,053;11,824;
89;Radopholus similis;Nemátode barrenador;Nematodo;11,044;13,387;11,794;
90;Oidium mangiferae;Oidiosis;Hongo;6,373;10,484;11,787;
91;Dysmicoccus spp.;Cochinilla harinosa;Insecto;11,005;13,361;11,768;
92;Citrus tristeza virus;Viris de la tristeza de los citricos;Virus;10,332;11,134;11,714;
93;Stenoma catenifer;Barrenador del fruto del palto;Insecto;7,083;8,429;11,693;
94;Meloidogyne incognita;Nematode del Nudo de la Raíz;Nematodo;10,256;12,676;11,479;
95;Elsinoe fawcettii;Roña (sarna) de los cítricos;Hongo;8,838;9,448;11,373;
96;Monalonion dissimulatum;Chinche del cacao;Insecto;7,396;8,155;11,026;
97;Moniliophthora perniciosa;Escoba de bruja del Cacao;Hongo;6,878;7,573;10,735;
98;Uromyces viciae-fabae var. viciae-fabae;Roya del haba;Hongo;8,627;9,796;10,581;
99;Aleurodicus juleikae;Mosca blanca;Insecto;4,395;9,021;10,307;
100;Alternaria passiflorae;Alternaria;Hongo;6,763;11,116;9,997;
101;Liriomyza huidobrensis;Mosca minadora;Insecto;7,930;8,875;9,883;
102;Antichloris viridis;epidóptero defoliador del plátano;Insecto;8,884;10,819;9,782;
103;Ferrisia virgata;Queresa;Insecto;4,979;8,749;9,766;
104;Conotrachelus denieri;Gorgojo paraguayo ;Insecto;9,267;8,127;9,405;
105;Pectinophora gossypiella;Gusano rosado de la India;Insecto;9,267;8,127;9,405;
106;Pectobacterium atrosepticum ;Pierna negra;Bacteria;7,415;9,293;9,203;
107;Potato Virus Y;Potyvirus Y de la papa (PVY);Virus;9,136;9,648;9,147;
108;Dasiops sp.;Dasiops;Insecto;5,564;9,415;8,997;
109;Asperisporium caricae;Punto negro de la Papaya;Hongo;9,894;8,139;8,882;
110;Bemisia tabaci;Mosca blanca;Insecto;7,306;8,095;8,762;
111;Aleurothrixus floccosus;Mosca blanca lanuda de los cítricos;Insecto;7,238;7,934;8,544;
112;Cercospora coffeicola ;Cercospora;Hongo;11,732;7,877;8,485;
113;Rosellinia sp.;Sogope;Hongo;11,732;7,877;8,485;
114;Frankliniella occidentalis;Trips del maiz;Insecto;6,747;7,571;8,268;
115;Grapevine fleck virus;Grapevine fleck virus;Virus;6,747;7,571;8,268;
116;Gymnetis sp.;Gymnetis;Insecto;6,747;7,571;8,268;
117;Pseudococcus spp.;Piojo harinoso;Insecto;5,114;3,628;8,161;
118;Orthezia olivicola;Queresa movil;Insecto;4,810;3,285;7,837;
119;Tobacco ringspot virus;Virus del anillo necrótico de la papa (PBRV) ;Virus;6,501;6,636;7,787;
120;Cylindrocarpon sp. ;Cylindrocarpon;Hongo;4,250;4,754;7,055;
121;Tetranychus cinnabarinus ;Arañita bimaculada;Insecto;3,780;3,731;6,671;
122;Phoma andigena;Tizon foliar de la papa;Hongo;5,660;6,832;6,513;
123;Aphis craccivora ;Pulgón negro;Insecto;5,066;5,625;6,454;
124;Euscepes postfasciatus;Gorgojo del camote;Insecto;8,032;6,303;6,408;
125;Pratylenchus sp.;Nemátodo de las lesiones;Nematodo;5,826;7,052;6,398;
126;Ecdytolopha aurantianum;Ecdylotopha;Insecto;8,854;7,841;6,342;
