Edad,Género,Lugar de residencia,Peso antes del confinamiento,Peso después del confinamiento,Convivencia durante el confinamiento,Sentimientos durante el confinamiento,Consumo de frutas y verduras durante el confinamiento,Consumo de carnes rojas durante el confinamiento,Consumo de carnes blancas durante el confinamiento,Consumo de huevos durante el confinamiento,Consumo de lácteos durante el confinamiento,Consumo de pan y cereales durante el confinamiento,Consumo de frutos secos durante el confinamiento,Consumo de suplementos de vitaminas durante el confinamiento,Consumo de bebidas alcohólicas durante el confinamiento,Consumo de bebidas azucarádas durante el confinamiento,Consumo de snacks y dulces durante el confinamiento,Percepción sobre el cambio de alimentación por el confinamiento,Causas del cambio de alimentación durante el confinamiento,Percepcion sobre su alimentación actual,Veces de consumo de alimentos por día,Omisión de comidas,Percepción sobre la mejora de sus habitos alimenticios,Frecuencia de práctica de actividad física antes del confinamiento,Frecuencia de práctica de actividad física después del confinamiento,Estatura antes del confinamiento,Estatura después del confinamiento
23,Femenino,Este,56,63,Con familiares,Deprimido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,No hacía ejercicios,No hago ejercicios,1.61,1.61
19,Masculino,Provincia,65.18,71.65,Con familiares,Triste,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,Sí,Sí,4 a 5 dias por semana,Una vez por semana,1.69,1.69
19,Femenino,Central Sur,54.8,54.8,Con familiares,Estresado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,No consumo,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por mes,Diario,1.52,1.52
18,Femenino,Provincia,52.3,52.3,Con familiares,En unión familiar,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,No consumo,No consumo,No consumo,Se ha mantenido,No,NA,Sí,3,No,Sí,Una vez por semana,Una vez por mes,1.57,1.57
19,Femenino,Este,62,67.5,Con familiares,Estresado,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,No consumo,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,Una vez por semana,No hago ejercicios,1.57,1.58
18,Masculino,Sur,58,65,Con familiares,Feliz,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,No,"No, tengo hábitos alimenticios saludables",Diario,2 a 3 dias por semana,1.68,1.7
18,Masculino,Este,72.3,78.5,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,No consumo,No consumo,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,"No, me va a costar demasiado",Diario,2 a 3 dias por semana,1.7,1.75
18,Femenino,Provincia,50.5,52,Con familiares,En unión familiar,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,Sí,Por el alza de precio de los productos alimenticios.,Sí,4,No,Sí,4 a 5 dias por semana,Una vez por mes,1.55,1.58
20,Femenino,Norte,67,63,Con familiares,En unión familiar,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.59,1.61
18,Femenino,Central Sur,60,65.5,Con familiares,Estresado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,No consumo,No consumo,No consumo,No consumo,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por semana,2 a 3 dias por semana,1.64,1.66
