Marca temporal,Sexo,Edad,Carrera,¿A qué distrito pertenece?,¿En qué ciclo estás?,¿Cuántas horas en promedio estás en la universidad semanalmente?,"De las horas que estás en la universidad, en promedio por semana, ¿Cuántas horas estás en una zona de estudio?
(zona de estudio: Biblioteca, Piso 1, Piso 6, aulas que no están siendo usadas)","¿Cuántas horas estudias semanalmente?
No cuentes tus horas de clase","¿Cuál es tu promedio ponderado? (Si no sabes cómo verlo, sólo anda a EDU/Currícula/Mi avance académico)",¿Cuál es el espacio de estudio que más usas habitualmente?,¿Crees que afecta negativa o positivamente el uso que le das a las zonas de estudio de la universidad?,"En base a la pregunta anterior, ¿Por qué?",¿Para qué usas más los espacios de estudio?,¿Cuántas horas semanales aproximadamente estás en la biblioteca?,"¿Cuántas horas semanales aproximadamente estás en el piso 6? (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)","¿Cuántas horas semanales estás en el piso 1?  (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)",¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Biblioteca],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 6],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 1],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Otro]
26/09/2022 14:19:37,Hombre,19,Ingeniería Industrial,Barranco,6º Ciclo,25,4,21,12.36,Biblioteca,Positivamente,Porque son espacios donde la mayoría de chicos están estudiando y de cierta manera te contagia e inspira al estudio,Leer,2,1,1,1,2,3,4
27/09/2022 8:01:47,Hombre,18,Ingeniería Mecatrónica,Miraflores,4º Ciclo,20,2,20,17.05,Aulas vacías,Positivamente,Es un espacio motivador para estudiar,Avanzar proyectos,1,1,0,2,4,2,4
27/09/2022 8:59:42,Hombre,19,Ingeniería Mecatrónica,La Molina,5º Ciclo,36,3,10,13.89,Biblioteca,Positivamente,Porque me concentro más y estoy cómodo.,Hacer tareas,8,0,2,1,3,2,4
27/09/2022 9:23:26,Hombre,18,Ingeniería Industrial,Barranco,3º Ciclo,6,5,5,13.6,Biblioteca,Positivamente,Porque es un espacio donde me siento más concentrado para estudiar ,Estudiar,5,0,0,4,2,3,4
27/09/2022 10:17:04,Hombre,19,Ciencia de la Computación,Barranco,4º Ciclo,28,5,34,14.87,Piso 6,Positivamente,Por que va a ayuda a concentrarse mejor,Hacer tareas,0,6,4,2,4,4,2
27/09/2022 13:19:08,Mujer,19,Bioingeniería,Ate Vitarte,4º Ciclo,20,3,3,14.63,Aulas vacías,Positivamente,Porque me ayuda a concentrarme mejor,Hacer tareas,5,3,0,1,2,4,3
27/09/2022 13:19:13,Mujer,20,Ingeniería Mecatrónica,Magdalena del Mar,4º Ciclo,24,3,8,14,Piso 1,Positivamente,Porque ayudan a concentrarse cuando ves a todos estudiando ,Hacer tareas,1,1,4,1,1,4,2
27/09/2022 13:45:05,Hombre,19,Ingeniería Industrial,La Molina,6º Ciclo,12,5,6,15,Piso 1,Positivamente,Siempre hay espacio,Hacer tareas,2,2,5,1,2,4,1
27/09/2022 13:52:21,Mujer,21,Ingeniería Ambiental,Santa Anita,5º Ciclo,9,3,4,11,Biblioteca,Negativamente,Son muy pequeñas para la cantidad de alumnos,Avanzar proyectos,3,1,1,4,2,3,1
27/09/2022 14:12:17,Hombre,21,Ingeniería Civil,Chorrillos,5º Ciclo,60,5,24,10,Piso 1,Positivamente,Son buenos lugares para estudiar ya que en casa no me puedo concentrar ,Hacer tareas,0,6,24,4,3,1,2
