año_de_ingreso,carrera,edad,c_retirados,c_jalados,c_pateados,riesgo_acd,num_cursos,num_creditos_matriculados,num_cursos_deacuerdo_malla,num_cursos_ciclo,max_cursos,min_cursos,verano,sabes_creditos_graduarte,beca,tras_int,tras_ext
2019,Industrial,26,0,2,1,NO,7,22,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,"Nivelar cursos ""pateados""",NO,NO,NO,NO
2020,Bioingeniería,18,0,0,0,NO,6,19,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Adelantar cursos,SÍ,NO,NO,NO
2019,Mecánica,18,0,2,10,NO,3,13,8,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",8,3,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO
2019,Bioingeniería,19,0,0,7,NO,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2019,Química,19,1,2,1,NO,6,19,5,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2019,Mecánica,19,0,0,1,NO,7,23,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,NO,NO,NO,NO
2019,CS,20,2,5,2,SÍ,3,8,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",4,2,Recuperar cursos desaprobados,NO,NO,NO,NO
2019,Ambiental,21,2,0,2,NO,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,SÍ,SÍ,NO,SÍ
2019,Mecatrónica,19,0,2,0,SÍ,6,17,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",5,6,Nunca me he matriculado en un ciclo verano,SÍ,NO,SÍ,NO
2019,Industrial,19,3,0,4,NO,6,20,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,5,Adelantar cursos,NO,SÍ,NO,NO
2019,Industrial,18,2,0,2,NO,5,18,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",SÍ,SÍ,NO,NO
2019,Ambiental,19,1,4,1,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2016,Química,24,2,4,5,SÍ,6,22,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",6,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2019,Mecánica,23,2,2,3,NO,4,13,10,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO
2019,Mecánica,19,2,1,2,NO,6,18,8,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,1,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2016,Industrial,23,3,6,4,SÍ,3,13,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,3,Adelantar cursos,SÍ,NO,SÍ,NO
2018,Ambiental,19,1,3,2,NO,5,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2019,Electrónica,19,0,0,2,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,SÍ,NO,NO
2017,Industrial,21,1,1,3,NO,4,16,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,Adelantar cursos,SÍ,SÍ,NO,NO
2019,Bioingeniería,19,1,0,1,NO,7,22,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,SÍ,SÍ,NO
2018,Civil,19,3,1,3,NO,4,15,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,SÍ,NO,NO,NO
2019,Civil,19,2,5,1,SÍ,7,20,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,5,Recuperar cursos desaprobados,NO,NO,NO,NO
2016,Electrónica,22,3,5,4,SÍ,5,21,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,2,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2016,Industrial,23,1,4,1,SÍ,4,12,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,1,Adelantar cursos,NO,NO,SÍ,NO
2017,Mecatrónica,20,2,2,2,NO,4,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,SÍ,NO,NO,NO
2019,Química,18,0,2,4,NO,6,22,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,NO,SÍ,NO,NO
2018,Industrial,20,1,2,6,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO
2020,CS,19,0,2,0,NO,6,19,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,7,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO
2020,Industrial,21,4,1,2,SÍ,5,17,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO
2019,Energía,21,0,0,0,NO,5,15,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO
2020,Industrial,18,0,5,4,SÍ,3,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Recuperar cursos desaprobados,NO,NO,NO,NO
2015,Química,25,1,2,5,SÍ,7,25,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO
2019,Mecatrónica,21,2,2,3,NO,7,21,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,6,Adelantar cursos,SÍ,NO,NO,NO
2019,Electrónica,19,0,3,1,SÍ,6,16,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Recuperar cursos desaprobados,SÍ,NO,NO,NO
2018,Industrial,20,0,3,1,SÍ,7,25,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,NO,NO,NO
2019,Industrial,22,2,3,4,NO,4,15,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,4,"Nivelar cursos ""pateados""",NO,NO,NO,NO
2020,Civil,18,0,0,2,NO,6,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,6,"Nivelar cursos ""pateados""",NO,NO,NO,NO
2018,Industrial,20,1,3,4,NO,6,20,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO
2018,Bioingeniería,20,0,0,5,NO,6,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,6,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO
