año_de_ingreso,carrera,edad,c_retirados,c_jalados,c_pateados,riesgo_acd,num_cursos,num_creditos_matriculados,num_cursos_deacuerdo_malla,num_cursos_ciclo,max_cursos,min_cursos,verano,sabes_creditos_graduarte,beca,tras_int,tras_ext,tiempo,notas
2019,Industrial,26,0,2,1,NO,7,22,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,"Nivelar cursos ""pateados""",NO,NO,NO,NO,5,13.01
2020,Bioingeniería,18,0,0,0,NO,6,19,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Adelantar cursos,SÍ,NO,NO,NO,6,15.2
2019,Mecánica,18,0,2,10,NO,3,13,8,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",8,3,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO,5,12.67
2019,Bioingeniería,19,0,0,7,NO,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,5,14.36
2019,Química,19,1,2,1,NO,6,19,5,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,13.27
2019,Mecánica,19,0,0,1,NO,7,23,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,NO,NO,NO,NO,6,15.01
2019,CS,20,2,5,2,SÍ,3,8,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",4,2,Recuperar cursos desaprobados,NO,NO,NO,NO,3,10.68
2019,Ambiental,21,2,0,2,NO,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,SÍ,SÍ,NO,SÍ,7,15.21
2019,Mecatrónica,19,0,2,0,SÍ,6,17,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",5,6,Nunca me he matriculado en un ciclo verano,SÍ,NO,SÍ,NO,4,13.79
2019,Industrial,19,3,0,4,NO,6,20,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,5,Adelantar cursos,NO,SÍ,NO,NO,8,14.03
2019,Industrial,18,2,0,2,NO,5,18,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",SÍ,SÍ,NO,NO,7,16.31
2019,Ambiental,19,1,4,1,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,12.01
2016,Química,24,2,4,5,SÍ,6,22,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",6,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,5,11.48
2019,Mecánica,23,2,2,3,NO,4,13,10,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,3,13.28
2019,Mecánica,19,2,1,2,NO,6,18,8,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,1,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,14.7
2016,Industrial,23,3,6,4,SÍ,3,13,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,3,Adelantar cursos,SÍ,NO,SÍ,NO,2,10.4
2018,Ambiental,19,1,3,2,NO,5,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,12.33
2019,Electrónica,19,0,0,2,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,SÍ,NO,NO,7,15.6
2017,Industrial,21,1,1,3,NO,4,16,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,Adelantar cursos,SÍ,SÍ,NO,NO,6,15.22
2019,Bioingeniería,19,1,0,1,NO,7,22,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,SÍ,SÍ,NO,8,15.8
2018,Civil,19,3,1,3,NO,4,15,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,SÍ,NO,NO,NO,5,13.4
2019,Civil,19,2,5,1,SÍ,7,20,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,5,Recuperar cursos desaprobados,NO,NO,NO,NO,6,11.07
2016,Electrónica,22,3,5,4,SÍ,5,21,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,2,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,10.1
2016,Industrial,23,1,4,1,SÍ,4,12,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,1,Adelantar cursos,NO,NO,SÍ,NO,3,12.51
