"LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","AÑO_UTC","MES_UTC","DIA_UTC","HORA_UTC","MINUTO_UTC","SEGUNDO_UTC"
-16.145,-72.144,60,7.5,1960,"01","13","15","40","34"
-15,-75,70,7,1960,"01","15","09","30","24"
-14.5,-74.5,150,6.4,1960,"01","17","02","57","58"
-12.5,-68.5,300,5.8,1960,"01","23","03","37","32"
-5.5,-77.5,100,5.7,1960,"01","30","05","07","24"
-8.5,-74.5,136,5.3,1960,"02","08","19","06","16"
-17.5,-70,150,5.9,1960,"02","13","20","40","06"
-16.389,-73.817,80,6.2,1960,"03","09","23","54","25"
-14.5,-73.5,100,6.1,1960,"04","01","13","18","23"
-18,-71.5,100,5,1960,"05","04","01","28","52"
-9,-72.5,60,5.8,1960,"05","12","12","09","24"
-8,-71,600,6.2,1960,"07","04","08","02","07"
-15,-70.5,200,5.9,1960,"07","09","02","05","39"
-7,-80,33,5.3,1960,"07","19","04","19","14"
-2.5,-77.5,200,5.8,1960,"07","30","07","15","15"
-15,-75.51,67,5.7,1960,"09","13","21","55","34"
-15.2,-76.2,91,5.4,1960,"09","14","00","08","03"
-3,-75.9,146,6.4,1960,"09","24","13","58","33"
-16,-72.9,115,5.3,1960,"09","26","16","58","13"
-14.4,-71.6,55,5.3,1960,"11","03","22","02","19"
-16.1,-71.9,114,5.6,1960,"11","11","06","53","27"
-5.6,-80.9,60,6.8,1960,"11","20","22","01","56"
-16,-74,33,5.8,1960,"11","29","19","17","06"
-15.2,-73.5,28,5.2,1960,"12","17","07","38","31"
-16.2,-72.9,147,5.2,1960,"12","22","03","47","21"
-17,-70,47,5.6,1960,"12","30","11","03","36"
-15.9,-73.1,135,5.1,1961,"01","08","05","21","46"
-13.6,-76.3,86,6,1961,"01","28","03","24","46"
-10.4,-71,600,6,1961,"02","08","08","04","13"
-11.1,-78.8,60,5,1961,"03","17","10","06","28"
-18.3,-70.2,29,5.3,1961,"04","09","17","17","47"
-13.2,-75.1,83,6.2,1961,"04","27","17","52","14"
-18.1,-70.3,60,5.3,1961,"06","03","04","21","56"
-12,-75.3,29,5.5,1961,"06","17","10","56","30"
-15.3,-74.8,68,5.8,1961,"07","01","13","10","40"
-8.7,-79.1,57,5.8,1961,"07","03","14","49","30"
-6.2,-77.1,15,5.8,1961,"07","08","05","49","02"
-2.287,-77.035,142,6.6,1961,"07","28","01","05","31"
-17.4,-72.7,46,5.6,1961,"08","17","17","49","43"
-10.8,-71,649,7,1961,"08","19","05","09","49"
-11.5,-70.6,630,6.1,1961,"08","20","09","10","11"
-15.2,-70.2,185,5.3,1961,"08","28","06","28","19"
-14.1,-73.9,100,4.8,1961,"08","28","21","27","16"
-3.9,-77.8,33,5.5,1961,"08","30","03","45","28"
-10.4,-70.7,605,7.1,1961,"08","31","01","48","39"
-10.5,-70.7,629,7.5,1961,"08","31","01","57","08"
-10.9,-79.1,45,4.8,1961,"09","06","15","30","20"
-11.1,-70.6,543,5.6,1961,"09","12","11","18","25"
-13.3,-75.5,137,5.3,1961,"10","11","12","28","35"
-13.98,-71.9,20,5.2,1961,"11","08","19","30","00"
-14.3,-71.9,68,5.6,1961,"11","10","02","07","34"
