
"Fecha","Indice de Precios al Consumidor"
Ene91,7.39298050571451
Feb91,8.08955824767879
Mar91,8.71246556304161
Abr91,9.22127451195124
May91,9.92567344330508
Jun91,10.8447933418089
Jul91,11.8270074577847
Ago91,12.6832829707029
Sep91,13.3884905818365
Oct91,13.9175985764615
Nov91,14.4687389736942
Dic91,15.0098170510304
Ene92,15.541168857285
Feb92,16.2778308457628
Mar92,17.4895080708719
Abr92,18.0444448935049
May92,18.6647808571102
Jun92,19.334264303319
Jul92,20.0065405487239
Ago92,20.5720121227963
Sep92,21.1109461661511
Oct92,21.8790040569088
Nov92,22.6535228993772
Dic92,23.5254745156091
Ene93,24.6654936628741
Feb93,25.3890875713495
Mar93,26.4646821768159
Abr93,27.6363061323495
May93,28.4744496335778
Jun93,28.9918385295958
Jul93,29.7859792681172
Ago93,30.5407141949535
Sep93,31.0357189294996
Oct93,31.5037587490781
Nov93,32.0090933839957
Dic93,32.8132621196116
Ene94,33.416049523395
Feb94,34.0244531140038
Mar94,34.8153279968242
Abr94,35.3532063503654
May94,35.6062445407082
Jun94,36.0123683920927
Jul94,36.3328426516414
Ago94,36.8897996892321
Sep94,37.07983454753
Oct94,37.1861521929894
Nov94,37.6401175266935
Dic94,37.8611648806928
Ene95,38.0020799563714
Feb95,38.4338941025897
Mar95,38.961214848278
Abr95,39.344814645658
May95,39.673229503918
Jun95,39.9940724638791
Jul95,40.222100129075
Ago95,40.6395169060839
Sep95,40.7986114811906
Oct95,41.0063036869201
Nov95,41.5160379089848
Dic95,41.7336780823374
Ene96,42.2522312572031
Feb96,42.9002836819856
Mar96,43.4923762718663
Abr96,43.87130378097
May96,44.1904664113681
Jun96,44.3961623578029
Jul96,45.0061657332517
Ago96,45.4221771437171
Sep96,45.5694017874693
Oct96,45.9041338516646
Nov96,46.1189535710152
Dic96,46.6749433775806
Ene97,46.8995048422897
Feb97,46.9412138160557
Mar97,47.5392549114592
Abr97,47.7233502907981
May97,48.0837164073912
Jun97,48.6059947756888
Jul97,49.0087954629047
Ago97,49.119921489448
Sep97,49.2635861953205
Oct97,49.3382310172215
Nov97,49.3765411425534
Dic97,49.691557802778
Ene98,50.1419166770814
Feb98,50.7609674468296
Mar98,51.4304225486563
Abr98,51.7447184724816
May98,52.0518042549097
Jun98,52.3278782359875
Jul98,52.6565319510118
Ago98,52.7957764180424
Sep98,52.511745868179
Oct98,52.3359014624748
Nov98,52.3518180718014
Dic98,52.6764271919068
Ene99,52.6838123097708
Feb99,52.8497413823517
Mar99,53.173232597252
Abr99,53.4867862597952
May99,53.7387995879749
Jun99,53.8353192456401
Jul99,53.9770328250367
Ago99,54.0693884594007
Sep99,54.3180952878372
Oct99,54.2524957771825
Nov99,54.402979704806
Dic99,54.6393631906464
Ene00,54.6772310143538
Feb00,54.9397526514611
Mar00,55.2371182134136
Abr00,55.5197093735317
May00,55.5290150664251
Jun00,55.5647123487218
Jul00,55.8516050136507
Ago00,56.1130254099784
Sep00,56.4250480284363
Oct00,56.5563303718728
Nov00,56.592420656869
Dic00,56.6797255816296
Ene01,56.7861036356312
Feb01,56.9254362852463
Mar01,57.2145661492874
Abr01,56.9763634636722
May01,56.9901942424174
Jun01,56.9574632278449
Jul01,57.0558569390185
Ago01,56.8829892163045
Sep01,56.9186878873034
Oct01,56.9400190461884
Nov01,56.6593810955995
Dic01,56.607542928584
Ene02,56.3132255677808
Feb02,56.2910820181566
Mar02,56.594160700623
Abr02,57.0069121328661
May02,57.0860494061191
Jun02,56.9563043559274
Jul02,56.9758454777822
Ago02,57.0333301076098
Sep02,57.3034139221012
Oct02,57.7148308116088
Nov02,57.484334034047
