
"Fecha","Ingresos corrientes del gobierno central"
Ene95,1481.11095881134
Feb95,1272.22647303687
Mar95,1495.85734538762
Abr95,1650.98024502702
May95,1567.14185690919
Jun95,1452.24377547692
Jul95,1528.47896172244
Ago95,1525.14180621517
Sep95,1492.17379827406
Oct95,1583.55441337011
Nov95,1580.401751778
Dic95,1826.51069023638
Ene96,1732.13266916693
Feb96,1509.25471581674
Mar96,1577.77548618954
Abr96,2423.55313131304
May96,1773.95996113729
Jun96,1705.5654049864
Jul96,1824.85051731039
Ago96,1827.12039967415
Sep96,1679.63424967911
Oct96,1819.91716829458
Nov96,1793.34581846948
Dic96,2015.13040233556
Ene97,2129.95755195534
Feb97,1876.64650668039
Mar97,1926.47687811233
Abr97,2473.94855676033
May97,2019.60970005876
Jun97,2117.99639529333
Jul97,2017.99906121595
Ago97,2136.22290165936
Sep97,2021.44061769721
Oct97,2092.21277871048
Nov97,2109.56957595822
Dic97,2210.25874222009
Ene98,2323.55265748856
Feb98,2020.02128894487
Mar98,2194.72208841869
Abr98,2478.29742783122
May98,2144.0091833731
Jun98,2132.88853916929
Jul98,2133.52907006704
Ago98,2262.18159719567
Sep98,2197.32609806472
Oct98,2017.73686758632
Nov98,2114.31235433196
Dic98,2175.03583279408
Ene99,2166.91889356154
Feb99,1940.72293856929
Mar99,2171.84829129895
Abr99,2271.65943973849
May99,2034.64569930913
Jun99,1951.29107363951
Jul99,1929.64801395532
Ago99,2083.15428910306
Sep99,2096.81296786967
Oct99,2095.70919893791
Nov99,2283.31078072753
Dic99,2456.25064610452
Ene00,2422.35366828911
Feb00,2109.23734792383
Mar00,2291.59684495688
Abr00,2675.51294356112
May00,2336.28197969439
Jun00,2104.70218684707
Jul00,2150.0200645875
Ago00,2322.72207981472
Sep00,2231.62199876505
Oct00,2798.73951707801
Nov00,2169.06470791893
Dic00,2236.56758291176
Ene01,2282.22243258127
Feb01,2206.68622490226
Mar01,2041.0136218059
Abr01,2497.63150924955
May01,2210.62039908626
Jun01,2041.56908824442
Jul01,2306.02077768076
Ago01,2198.96997554124
Sep01,2187.77400312673
Oct01,2189.31283136223
Nov01,2336.12327995733
Dic01,2204.67292341887
Ene02,2383.78512082783
Feb02,1875.53678197057
Mar02,1912.21369600876
Abr02,2818.98983560409
May02,2231.87448882798
Jun02,2240.18598651369
Jul02,2375.05932930012
Ago02,2887.00315077733
Sep02,2440.2080329683
Oct02,2346.17495556704
Nov02,2365.75757946304
Dic02,2788.82230281409
Ene03,2515.2534470875
Feb03,2255.23532903946
Mar03,2693.41422512862
Abr03,2989.45341985834
May03,2501.10002713711
Jun03,2433.48885334855
Jul03,2466.75377069681
Ago03,2819.32534800247
Sep03,2620.74024062993
Oct03,2594.71514906971
Nov03,2815.0575131131
Dic03,2978.69703912924
Ene04,2791.73148595676
Feb04,2547.4807105803
Mar04,2877.57777305306
Abr04,3280.75350788631
May04,3006.62866956888
Jun04,2935.21099669915
Jul04,2855.98115011941
Ago04,3034.76657051908
Sep04,2973.03502760644
Oct04,2869.99073332721
Nov04,2894.51634224893
Dic04,3266.45412139729
Ene05,3198.02374926773
Feb05,2781.30483368292
Mar05,3444.41830735642
Abr05,4794.65309119728
May05,3329.76281392246
Jun05,3230.89209964405
Jul05,2950.66652868963
Ago05,3304.42078917539
Sep05,3436.57415073527
Oct05,3375.02288651113
Nov05,3523.11002101305
Dic05,3660.51108360564
Ene06,4327.88158662108
Feb06,3436.71246411753
Mar06,4373.34795986904
Abr06,6638.90696222947
May06,4153.19963667793
Jun06,4088.75061319291
Jul06,4661.68655253035
Ago06,4202.09642919345
Sep06,3997.46096842438
Oct06,4390.14856408548
Nov06,4345.5608100314
Dic06,4431.81351363718
Ene07,4756.43499507976
Feb07,3843.56372532958
Mar07,4707.29791698373
Abr07,7927.66541827953
May07,5251.56112503765
Jun07,4635.85425135532
Jul07,4976.29431757807
Ago07,5097.81862852015
Sep07,4770.00595295425
Oct07,5032.38020861405
Nov07,5041.18517255395
Dic07,4754.87999660627
Ene08,5903.36601485785
Feb08,4574.2651711618
Mar08,5180.77730266425
Abr08,7820.01100810892
May08,5775.15929145797
Jun08,5597.29463501213
Jul08,5920.01758316819
Ago08,5652.99290351928
Sep08,5722.37439364492
Oct08,5734.25168744242
Nov08,5059.54826383846
Dic08,5098.63554376054
Ene09,5432.19673873367
Feb09,4354.07114363774
Mar09,4997.06284278285
Abr09,6904.32302655384
May09,4749.51014064925
Jun09,4594.23791735271
Jul09,4706.57185077303
Ago09,5026.77218857022
Sep09,4772.27679390249
Oct09,5079.52007148616
Nov09,5132.46818892938
Dic09,5444.96158083134
Ene10,6384.0332736754
Feb10,5127.9105240773
Mar10,6731.9510155678
Abr10,8602.4801893933
May10,5708.1331434908
Jun10,5752.1459338173
Jul10,5803.0610419306
Ago10,6169.0603202048
Sep10,5885.8114298127
Oct10,6366.1742148757
Nov10,6345.8873656434
Dic10,6043.6649544936
Ene11,7403.5333042309
Feb11,6217.7512251203
Mar11,7890.666551965
