"Fecha","Indicadores de Coyuntura Electricidad"
Jul97,1278.257
Ago97,1321.397
Sep97,1291.534
Oct97,1330.41
Nov97,1290.145
Dic97,1348.132
Ene98,1359.74
Feb98,1255.4
Mar98,1353.17
Abr98,1312.11
May98,1352.53
Jun98,1311.18
Jul98,1356.02
Ago98,1377.87
Sep98,1335.05
Oct98,1374.56
Nov98,1327.84
Dic98,1369.03
Ene99,1370.23
Feb99,1272.38
Mar99,1407.26
Abr99,1338.35
May99,1400
Jun99,1364.24
Jul99,1395.22
Ago99,1427.25
Sep99,1405.31
Oct99,1442.76
Nov99,1430.57
Dic99,1474.44
Ene00,1469.16
Feb00,1405.968
Mar00,1495.681
Abr00,1411.738
May00,1480.233
Jun00,1439.761
Jul00,1462.329
Ago00,1512.618
Sep00,1460.227
Oct00,1513.115
Nov00,1476.773
Dic00,1506.072
Ene01,1515.5
Feb01,1397.4
Mar01,1549.3
Abr01,1480.2
May01,1551.2
Jun01,1503.6
Jul01,1556.1
Ago01,1563
Sep01,1541.3
Oct01,1615.6
Nov01,1569.3
Dic01,1620.2
Ene02,1642.4
Feb02,1496.6
Mar02,1675.2
Abr02,1644.5
May02,1663.6
Jun02,1565.1
Jul02,1615.4
Ago02,1635.4
Sep02,1642.7
Oct02,1709
Nov02,1651.6
Dic02,1716.3
Ene03,1726.4
Feb03,1602.1
Mar03,1766.8
Abr03,1690.1
May03,1737.3
Jun03,1690.8
Jul03,1730.4
Ago03,1743.7
Sep03,1697.8
Oct03,1785.1
Nov03,1737.2
Dic03,1780.7
Ene04,1799.41
Feb04,1719.87
Mar04,1862.85
Abr04,1794.8
May04,1843.7
Jun04,1778.58
Jul04,1804.41
Ago04,1847.15
Sep04,1816.751002
Oct04,1864.17364524
Nov04,1844.805574
Dic04,1926.16947633
Ene05,1896.562643
Feb05,1748.494888
Mar05,1929.43
Abr05,1888.448654
May05,1958.819693
Jun05,1858.038
Jul05,1877.739106
Ago05,1939.118042
Sep05,1907.275
Oct05,1989.232409
Nov05,1971.256777
Dic05,2037.07
Ene06,2041.944535
Feb06,1886.382964
Mar06,2103.256548
Abr06,1971.090467
May06,2061.227306
Jun06,1995.14076
Jul06,2050.679044
Ago06,2093.294926
Sep06,2061.341131
Oct06,2154.35242010716
Nov06,2137.9911215835
Dic06,2206.11871043862
Ene07,2234.02383837014
Feb07,2061.68935299229
Mar07,2322.94227522921
Abr07,2192.62951788801
May07,2291.42089651928
Jun07,2221.51897460903
Jul07,2296.68603252823
Ago07,2291.1355292189
Sep07,2228.83863
Oct07,2359.65703585892
Nov07,2334.08775
Dic07,2419.67
Ene08,2435.59774913775
Feb08,2356.5806
Mar08,2510.50722513463
Abr08,2432.08445758366
May08,2466.39875409597
Jun08,2438.68431
Jul08,2460.58493681221
Ago08,2503.69906567365
Sep08,2470.07621078913
Oct08,2553.61189321766
Nov08,2441.53259
Dic08,2489.34982
Ene09,2516.697
Feb09,2317.11367071428
Mar09,2551.70439
Abr09,2438.87392143818
May09,2512.94071677776
Jun09,2369.25681
Jul09,2394.80691
Ago09,2492.80749
Sep09,2476.24147
Oct09,2541.6026
Nov09,2536.0313156844
Dic09,2659.1737
Ene10,2666.27
Feb10,2467.97835902802
Mar10,2768.42855270771
Abr10,2643.43510818396
May10,2713.53753647615
Jun10,2664.56940226286
Jul10,2702.84378294036
Ago10,2721.52704840297
Sep10,2668.31089006841
Oct10,2785.188014716
Nov10,2764.27797693619
Dic10,2860.46175331342
Ene11,2908.02828078618
Feb11,2698.83732108643
Mar11,2996.67903429365
Abr11,2857.88834718085
May11,2967.9196338725
Jun11,2894.27024623666
Jul11,2926.97165338441
Ago11,2982.53425105028
Sep11,2903.30066656893
Oct11,3015.38492709749
Nov11,2977.1855
Dic11,3092.73529
Ene12,3069.964
Feb12,2909.02912
Mar12,3186.83585
Abr12,3017.549
May12,3139.502
Jun12,3040.81753694341
Jul12,3122.969
Ago12,3168.346
Sep12,3055.8
Oct12,3115.46517
Nov12,3180.53
Dic12,3274.56
Ene13,3295.97700085657
Feb13,3049.55558632464
Mar13,3340.81714182823
Abr13,3242.20743604234
May13,3361.16501580224
Jun13,3263.689
Jul13,3343.63156053396
Ago13,3337.90318286267
Sep13,3247.87
Oct13,3398.81111743385
Nov13,3340.44
Dic13,3445.0843978799
Ene14,3488.98822628757
Feb14,3261.00868250452
Mar14,3571.56
Abr14,3406.68
May14,3538.7032540786
Jun14,3425
Jul14,3509.18047314973
Ago14,3490.48978355403
Sep14,3419.46958840293
Oct14,3574.39976900853
Nov14,3503.39765770598
Dic14,3606.96007494388
Ene15,3662.79794613379
Feb15,3383.1238990304
Mar15,3774.41964673148
Abr15,3592.4677644992
May15,3729.72174966797
Jun15,3620.30963630461
Jul15,3698.08046012366
Ago15,3736.96820592166
Sep15,3658.33150477878
Oct15,3862.5501031481
Nov15,3780.33579933978
Dic15,4000.69206855478
Ene16,4008.48010651489
Feb16,3913.42458343805
Mar16,4130.18564692669
Abr16,3979.84537940084
May16,4029.50028884757
Jun16,3862.16923777699
Jul16,3995.30012952455
Ago16,4037.56685795771
Sep16,3950.53904199431
Oct16,4101.40035671104
Nov16,4047.21198229568
Dic16,4235.86747407007
Ene17,4271.92673955207
Feb17,3851.7052164117
Mar17,4174.76395485102
Abr17,3963.6995815402
May17,4164.10015166461
Jun17,3999.38807601016
Jul17,4042.55264729756
Ago17,4116.77360985697
Sep17,4013.13237975068
Oct17,4141.85632588093
Nov17,4052.89744305725
Dic17,4210.71031536503
Ene18,4255.24955452269
Feb18,3919.54045567498
Mar18,4315.87030892269
Abr18,4207.89800448079
May18,4287.97642868369
Jun18,4134.90023190179
Jul18,4200.01234021169
Ago18,4221.87440307569
Sep18,4143.35902760679
Oct18,4354.59023889169
Nov18,4279.41014825179
Dic18,4496.08465114469
Ene19,4497.0772959625
Feb19,4140.2414988375
Mar19,4589.85719117
Abr19,4344.942728195
May19,4485.2532306075
Jun19,4289.3581011725
Jul19,4397.9609042725
Ago19,4401.5973424275
Sep19,4269.9405822325
Oct19,4482.5706027575
Nov19,4397.7270338525
Dic19,4591.22324564
