"Fecha","Remuneracion Minima Vital Nominal"
Ene91,38
Feb91,38
Mar91,38
Abr91,38
May91,38
Jun91,38
Jul91,38
Ago91,38
Sep91,38
Oct91,38
Nov91,38
Dic91,38
Ene92,38
Feb92,72
Mar92,72
Abr92,72
May92,72
Jun92,72
Jul92,72
Ago92,72
Sep92,72
Oct92,72
Nov92,72
Dic92,72
Ene93,72
Feb93,72
Mar93,72
Abr93,72
May93,72
Jun93,72
Jul93,72
Ago93,72
Sep93,72
Oct93,72
Nov93,72
Dic93,72
Ene94,72
Feb94,72
Mar94,72
Abr94,132
May94,132
Jun94,132
Jul94,132
Ago94,132
Sep94,132
Oct94,132
Nov94,132
Dic94,132
Ene95,132
Feb95,132
Mar95,132
Abr95,132
May95,132
Jun95,132
Jul95,132
Ago95,132
Sep95,132
Oct95,132
Nov95,132
Dic95,132
Ene96,132
Feb96,132
Mar96,132
Abr96,132
May96,132
Jun96,132
Jul96,132
Ago96,132
Sep96,132
Oct96,215
Nov96,215
Dic96,215
Ene97,215
Feb97,215
Mar97,215
Abr97,265
May97,300
Jun97,300
Jul97,300
Ago97,300
Sep97,345
Oct97,345
Nov97,345
Dic97,345
Ene98,345
Feb98,345
Mar98,345
Abr98,345
May98,345
Jun98,345
Jul98,345
Ago98,345
Sep98,345
Oct98,345
Nov98,345
Dic98,345
Ene99,345
Feb99,345
Mar99,345
Abr99,345
May99,345
Jun99,345
Jul99,345
Ago99,345
Sep99,345
Oct99,345
Nov99,345
Dic99,345
Ene00,345
Feb00,345
Mar00,391.129032258065
Abr00,410
May00,410
Jun00,410
Jul00,410
Ago00,410
Sep00,410
Oct00,410
Nov00,410
Dic00,410
Ene01,410
Feb01,410
Mar01,410
Abr01,410
May01,410
Jun01,410
Jul01,410
Ago01,410
Sep01,410
Oct01,410
Nov01,410
Dic01,410
Ene02,410
Feb02,410
Mar02,410
Abr02,410
May02,410
Jun02,410
Jul02,410
Ago02,410
Sep02,410
Oct02,410
Nov02,410
Dic02,410
Ene03,410
Feb03,410
Mar03,410
Abr03,410
May03,410
Jun03,410
Jul03,410
Ago03,410
Sep03,435
Oct03,460
Nov03,460
Dic03,460
Ene04,460
Feb04,460
Mar04,460
Abr04,460
May04,460
Jun04,460
Jul04,460
Ago04,460
Sep04,460
Oct04,460
Nov04,460
Dic04,460
Ene05,460
Feb05,460
Mar05,460
Abr05,460
May05,460
Jun05,460
Jul05,460
Ago05,460
Sep05,460
Oct05,460
Nov05,460
Dic05,460
Ene06,500
Feb06,500
Mar06,500
Abr06,500
May06,500
Jun06,500
Jul06,500
Ago06,500
Sep06,500
Oct06,500
Nov06,500
Dic06,500
Ene07,500
Feb07,500
Mar07,500
Abr07,500
May07,500
Jun07,500
Jul07,500
Ago07,500
Sep07,500
Oct07,530
Nov07,530
Dic07,530
Ene08,550
Feb08,550
Mar08,550
Abr08,550
May08,550
Jun08,550
Jul08,550
Ago08,550
Sep08,550
Oct08,550
Nov08,550
Dic08,550
Ene09,550
Feb09,550
Mar09,550
Abr09,550
May09,550
Jun09,550
Jul09,550
Ago09,550
Sep09,550
Oct09,550
Nov09,550
Dic09,550
Ene10,550
Feb10,550
Mar10,550
Abr10,550
May10,550
Jun10,550
Jul10,550
Ago10,550
Sep10,550
Oct10,550
Nov10,550
Dic10,580
Ene11,580
Feb11,600
Mar11,600
Abr11,600
May11,600
Jun11,600
Jul11,600
Ago11,640
Sep11,675
Oct11,675
Nov11,675
Dic11,675
Ene12,675
Feb12,675
Mar12,675
Abr12,675
May12,675
Jun12,750
Jul12,750
Ago12,750
Sep12,750
Oct12,750
Nov12,750
Dic12,750
Ene13,750
Feb13,750
Mar13,750
Abr13,750
May13,750
Jun13,750
Jul13,750
Ago13,750
Sep13,750
Oct13,750
Nov13,750
Dic13,750
Ene14,750
Feb14,750
Mar14,750
Abr14,750
May14,750
Jun14,750
Jul14,750
Ago14,750
Sep14,750
Oct14,750
Nov14,750
Dic14,750
Ene15,750
Feb15,750
Mar15,750
Abr15,750
May15,750
Jun15,750
Jul15,750
Ago15,750
Sep15,750
Oct15,750
Nov15,750
Dic15,750
Ene16,750
Feb16,750
Mar16,750
Abr16,750
May16,850
Jun16,850
Jul16,850
Ago16,850
Sep16,850
Oct16,850
Nov16,850
Dic16,850
Ene17,850
Feb17,850
Mar17,850
Abr17,850
May17,850
Jun17,850
Jul17,850
Ago17,850
Sep17,850
Oct17,850
Nov17,850
Dic17,850
Ene18,850
Feb18,850
Mar18,850
Abr18,930
May18,930
Jun18,930
Jul18,930
Ago18,930
Sep18,930
Oct18,930
Nov18,930
Dic18,930
Ene19,930
Feb19,930
Mar19,930
Abr19,930
May19,930
Jun19,930
Jul19,930
Ago19,930
Sep19,930
Oct19,930
Nov19,930
Dic19,930
Ene20,930
Feb20,930
Mar20,930
Abr20,930
May20,930
Jun20,930
Jul20,930
Ago20,930
Sep20,930
Oct20,930
Nov20,930
Dic20,930
Ene21,930
Feb21,930
Mar21,930
Abr21,930
May21,930
Jun21,930
Jul21,930
Ago21,930
Sep21,930
Oct21,930
Nov21,930
Dic21,930
Ene22,930
Feb22,930
Mar22,930
Abr22,930
May22,1025
Jun22,1025
Jul22,1025
Ago22,1025
Sep22,1025
Oct22,1025
Nov22,1025
Dic22,1025
Ene23,1025
Feb23,1025
Mar23,1025
