,horadormir19,horalevantar19,horassueno19,satis19,fisicos19,mental19,prom19,horadormir21,horalevantar21,horassueno21,satis21,fisicos21,mental21,prom21,,cred19,cred21
,24,4,3.37,Mala,Dolores de cabeza,Ansiedad,13.63,23,8,10.26,Buena,Dolores de cabeza,Depresión,14.63,,16,13
,21,3,6.30,Media,Gastritis,Estrés,12.75,24,8,8.39,Buena,Lesiones musculares,Estrés,16.21,,21,20
,23,5,5.82,Media,N.A,Ansiedad,15.97,2,9,7.44,Media,Gastritis,Ansiedad,17.73,,17,22
,22,4,6.06,Mala,Gastritis,Estrés,12.74,1,9,7.62,Buena,Gastritis,Depresión,15.98,,22,18
,24,5,5.22,Media,Dolores de cabeza,Ansiedad,13.74,24,9,6.84,Media,Dolores de cabeza,Depresión,16.66,,22,21
,24,5,4.79,Mala,N.A,Depresión,14.66,23,9,10.35,Buena,Dolores de cabeza,Depresión,16.48,,20,23
,24,4,4.87,Media,N.A,Estrés,13.2,1,7,6.5,Mala,Lesiones musculares,Depresión,16.17,,19,20
,22,7,8.63,Media,Gastritis,Depresión,12.56,3,10,6.94,Mala,Gastritis,Ansiedad,14.75,,16,15
,22,4,5.72,Mala,Gastritis,Estrés,13.06,23,9,10.11,Buena,Gastritis,Depresión,15.96,,22,21
,24,4,4.04,Mala,N.A,N.A,10.99,24,6,6.81,Mala,Gastritis,Depresión,15.07,,21,23
,22,4,6.48,Buena,N.A,Depresión,14.51,22,4,6.32,Buena,N.A,Depresión,14.52,,18,21
,24,6,6.36,Buena,Dolores de cabeza,Estrés,14.74,1,9,8.08,Media,Dolores de cabeza,Ansiedad,15.03,,20,19
,22,6,7.97,Buena,Gastritis,Estrés,15.16,1,9,8.21,Buena,Lesiones musculares,Ansiedad,15.81,,22,20
,22,4,5.91,Mala,Gastritis,Ansiedad,13.19,23,9,9.54,Buena,Gastritis,Estrés,15.57,,22,19
,22,3,4.86,Media,Gastritis,N.A,13.64,24,6,6.16,Media,Dolores de cabeza,Ansiedad,14.28,,16,19
,22,5,7.45,Media,Gastritis,Estrés,16.42,24,10,9.55,Buena,Gastritis,Depresión,17.97,,20,21
,23,6,6.97,Buena,Lesiones musculares,Ansiedad,10.47,1,7,6.49,Buena,Lesiones musculares,Ansiedad,11.91,,22,15
,22,6,7,Buena,Dolores de cabeza,Estrés,14.38,23,8,8.56,Buena,Gastritis,Ansiedad,17.66,,21,23
,23,5,5.9,Media,N.A,N.A,14.32,1,7,5.89,Mala,Lesiones musculares,Estrés,17.12,,22,19
,22,4,5.93,Mala,Gastritis,Ansiedad,12.85,24,9,7.51,Buena,Lesiones musculares,Depresión,16.99,,23,22
,22,6,8.35,Buena,Dolores de cabeza,Estrés,13.35,23,8,9.06,Buena,Dolores de cabeza,Estrés,17.29,,16,20
,22,3,5,Mala,N.A,N.A,14.11,2,10,8.39,Buena,Gastritis,Depresión,15.55,,21,23
,23,6,7.3,Media,Dolores de cabeza,Estrés,13.19,23,6,7.33,Buena,Dolores de cabeza,Estrés,15.44,,20,22
,24,5,4.18,Mala,Lesiones musculares,Ansiedad,12.56,23,6,7.5,Media,Lesiones musculares,Depresión,16.05,,18,20
,24,6,5.51,Mala,Lesiones musculares,Ansiedad,10.8,2,8,5.62,Mala,Gastritis,N.A,16.26,,15,21
,22,5,6.71,Mala,Gastritis,Ansiedad,13.31,24,9,8.89,Buena,Lesiones musculares,Depresión,17.32,,23,20
,22,5,7.4,Buena,Lesiones musculares,Ansiedad,14.67,24,8,8.45,Media,Lesiones musculares,Depresión,14.56,,17,22
,22,5,6.93,Media,Gastritis,Ansiedad,14.15,1,5,3.87,Mala,Lesiones musculares,N.A,14.82,,22,22
,21,3,6.15,Media,Dolores de cabeza,Depresión,15.38,1,9,3.74,Buena,Lesiones musculares,Depresión,13.94,,22,23
,23,4,4.69,Mala,Gastritis,Depresión,12.91,24,5,5.42,Mala,Gastritis,Estrés,17.33,,19,21
,1,5,3.96,Mala,Gastritis,Ansiedad,11.68,23,8,8.71,Buena,Dolores de cabeza,Estrés,15.32,,18,20
,22,5,6.99,Mala,Gastritis,Ansiedad,14.31,1,9,7.88,Buena,Lesiones musculares,Depresión,16.61,,20,17
,24,6,6.42,Buena,Dolores de cabeza,Depresión,13.06,23,6,6.93,Media,Lesiones musculares,Depresión,14.53,,20,18
,22,4,6.22,Mala,Dolores de cabeza,N.A,14.67,1,10,9,Buena,Dolores de cabeza,N.A,15.4,,23,19
