Marca temporal,¿Con qué género te identificas?,¿Cuál es tu edad?  (Ejemplo: 19),¿Cuál es la carrera que estudias en UTEC?,"¿Qué número de ciclo estas cursando en el 2023-1?  (Ejemplo: 3, 4, 5)",¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 1? (Ejemplo: 15.4),¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 2? (Ejemplo: 16.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-1? (Ejemplo: 52.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-2?  (Ejemplo: 51.5),"¿Cuánto fue tu estatura en el ciclo 2022-1? (Colocar en metros, ejemplo: 1.62)",¿Cuánto fue tu tu estatura en el ciclo 2022-2? (Colocar en metros. Ejemplo: 1.62),¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-1?,¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-2? ,¿Cuántas veces al día comías en el ciclo 2022-1?,¿Cuántas veces al día comías en el ciclo 2022-2?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 1?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 2?,"¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 1?  (arroz, pastas, legumbres, cereales, etc)","¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 2?  (arroz, pastas, legumbres, cereales, etc)","¿Con qué frecuencia consumes bebidas alcohólicas? 
1. No consumo
2. Poco consumo
3. Consumo regular","¿Con qué frecuencia consumes energizantes y/o bebidas gasificadas? 
1. No consumo
2. Consumo muy poco (casi nada)
3. Consumo a veces
4. Consumo regularmente
5. Consumo casi siempre o siempre",¿Cuántas veces a la semana consumías comida rápida en el 2022 - 1?,¿Cuántas veces a la semana consumías comida rápida en el 2022 - 2?,"¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 2? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 2?  (Ejemplo: 6.5 , 7.2 , 8.5)"
26/04/2023 14:11:05,Masculino,22,Ciencia de la computación,5,15.5,14.5,55,54,1.55,1.55,Bueno,Bueno,4 veces al día,4 veces al día,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1,1,1 - 2,1 - 2,1.5,5,6.5,6.5
26/04/2023 22:10:11,Masculino,19,Ingeniería Mecánica,1,16.5,14.5,58.6,37.5,1.68,1.69,Regular,Bueno,3 veces al día,3 veces al día,4 veces al día,2 veces al día,2 veces al día,2 veces al día,2,3,1 - 2,1 - 2,3,2,6.5,7.2
27/04/2023 1:28:19,Femenino,18,Ingeniería Química,4,12.97,13.52,49,50,1.50,1.50,Regular,Regular,4 veces al día,2 veces al día,2 veces al día,1 vez al día,3 veces al día,2 veces al día,1,1,1 - 2,1 - 2,2,1,6,5
27/04/2023 6:38:50,Femenino,20,Ingeniería Química,4,12,11,55,60,1.50,1.53,Regular,Bueno,2 veces al día,1 vez al día,2 veces al día,3 veces al día,4 veces al día,2 veces al día,1,1,1 - 2,3 - 4,1,2,4,5
28/04/2023 12:33:03,Femenino,18,Ingeniería Mecánica,3,12,14,72,75,1.59,1.60,Regular,Malo,2 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,3 veces al día,1,3,1 - 2,3 - 4,6,4,2,2
28/04/2023 12:44:22,Masculino,18,Bioingeniería,3,16.95,16.2,58,63,1.72,1.72,Bueno,Regular,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,2,3,1 - 2,1 - 2,1,2,8,8
28/04/2023 14:00:14,Femenino,17,Bioingeniería,5,16.6,15.9,54,52,1.56,1.56,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,2 veces al día,1,1,No consumía,No consumía,2,5,7,6
28/04/2023 20:25:39,Femenino,19,Ingeniería Ambiental,4,14,13.4,62,64,1.60,1.60,Regular,Malo,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,1,3 - 4,3 - 4,2,0,7,9
28/04/2023 20:49:16,Masculino,17,Ingeniería Electrónica,3,15,12,78,75,1.74,1.74,Regular,Regular,5 veces al día,3 veces al día,1 vez al día,1 vez al día,3 veces al día,2 veces al día,3,2,1 - 2,No consumía,3,1,8,6
28/04/2023 21:49:11,Femenino,20,Ingeniería Electrónica,9,18.58,18.33,58,60,1.6,1.6,Regular,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,2,2,6.5,6
