"Edad","Sexo","Distrito","Ocupación","Conocimiento de la existencia de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales antes de la pandemia","Principal razón de la utilización de las billeteras digitales antes de la pandemia","Principal razón de la NO utilización de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales actualmente","Billetera digital más usada","Segunda billetera digital más usada","Tiempo de utilización de la billetera digital","Razones iniciales de uso","Razones actuales de uso","Billeteras digitales como principal método de pago","Intención de utilización de billeteras digitales","Método principal de pago","Factores de impedimento para la utilización de billeteras digitales","Gasto promedio diario pre-pandemia con método principal de pago","Gasto promedio diario actual con método principal de pago","Nivel de comodidad con el método principal de pago","Nivel de creencia de la rapidez de las billeteras digitales","Miembros de la familia que utilizan billeteras digitales"
18,"Femenino","Surquillo","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",8,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Costumbre","No",NA,"Efectivo","Falta de necesidad",3,15,"4","2",3
17,"Femenino","Lima","Estudiante","Sí","No",NA,"Ninguna de las anteriores","No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Ninguna de las anteriores",10,50,"3","5",2
18,"Masculino","Callao *","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,10,15,"4","4",3
18,"Masculino","Santiago de Surco","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",4,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Costumbre","Sí",NA,NA,NA,5,10,"4","5",3
19,"Femenino","San Martín de Porres","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Plin",2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,10,20,"4","4",3
20,"Femenino","Lurigancho","Estudiante","Sí","Sí","Necesidad (ej.: Este medio era muy usado en su entorno)",NA,"Sí","Yape","Ninguno",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,25,40,"4","4",3
18,"Femenino","Magdalena del Mar","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Ninguno",5,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,4,4,"5","4",4
17,"Masculino","Barranco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",20,30,"3","5",5
18,"Femenino","La Molina","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,100,150,"4","4",2
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Ninguna de las anteriores",10,16,"4","5",5
18,"Femenino","San Juan de Miraflores","Estudiante","No",NA,NA,NA,"Sí","Yape","Tunki",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,40,"5","5",2
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Ninguna de las anteriores",30,30,"4","1",4
19,"Femenino","Villa María del Triunfo","Estudiante","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,10,"4","3",0
