,Edad actual (En años),Género con el que se identifica,Carrera que estudia,Ciclo actual de estudios,Departamento donde pasó la mayor parte de su vida,Distrito donde vives actualmente,"Tiempo que llevas viviendo en Lima (en años ).
Si llevas viviendo menos de un año, rellena esta pregunta con 0 e ingresa el tiempo en la siguiente pregunta.","Tiempo que llevas viviendo en Lima, solo si tu respuesta en la pregunta anterior fue 0 (en meses). Si respondiste la pregunta anterior con un número distinto a 0, rellena esta pregunta con 0.","Tiempo en llegar a pie al parque más cercano al lugar donde vives (en minutos)
Ejemplo: 9",¿Cuánto tiempo estarías dispuesto a invertir en completar encuestas sobre este tema (valoración ambiental)? En minutos,¿Cuántos parques aledaños (en un radio de 1km) hay por tu casa? ,Calificación del parque más cercano a tu vivienda. Donde 1 es muy malo y 5 es muy bueno.,Calificación del parque más cercano a tu universidad. Donde 1 es muy malo y 5 es muy bueno.,Cuánto valoras las áreas verdes. Donde 1 es nada y 5 es bastante.,"¿Estarías dispuesto a donar dinero para la conservación de las áreas verdes? Si tu respuesta es sí, ingresa la cantidad que estarías dispuesto a donar mensualmente, si es no ingresa 0. (En soles)"
,23,Hombre,Ingeniería mecatrónica,5,Lima,Villa María del Triunfo,276,,10,5,2,3,4,5,50
,19,Mujer,Ingeniería ambiental,3,Ancash,Jesús María,7,,4,5,3,5,4,5,5
,20,Hombre,Ingeniería mecatrónica,3,Arequipa,Barranco,1,1,10,5,5,5,5,4,0
,18,Hombre,Ingeniería mecatrónica,3,Arequipa,Barranco,10,1,5,0,1,3,3,5,1
,18,Otro,Ingeniería ambiental,6,Lima,Carabayllo,16,0,5,10,7,5,5,5,100
,19,Mujer,Ingeniería ambiental,3,Ancash,Jesús María,0,7,4,4,3,4,4,5,5
,20,Mujer,Ingeniería ambiental,3,Callao,Santiago de Surco,1,1,5,5,2,3,5,5,50
,20,Mujer,Ingeniería Industrial,3,Lima,Pachacamac,20,0,30,3,1,4,5,5,10
,19,Mujer,Ingeniería civil,3,Lima,Ate Vitarte,19,0,15,10,1,3,4,5,30
,18,Mujer,Ciencias de la computación,3,Lima,Villa María del Triunfo,18,0,10,2,0,3,4,4,50
,19,Mujer,Ingeniería ambiental,3,Lima,Lima,19,0,10,1,2,5,5,5,50
