Marca temporal,Género de sexo,Edad,Orientación Sexual [Opciones],Carrera ,¿Ciclo en el que te encuentras?,Zona de Residencia,Económicamente activo?(Si laboras),¿Has sido o has sentido acoso dentro de la universidad por algún miembro de la comunidad? ,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿En qué circunstancia ocurrió este hecho?,¿Cuántas veces han ocurrido estos hechos similares a tu persona en el campus?,¿Cómo fue la agresión a tu persona?,¿Cuál fue tu reacción cuando ocurrió este hecho?,¿Lo denunciaste o se lo comentaste a alguien?,¿Algún estudiante o miembro de la universidad te ha acosad@ fuera de la institución?,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿Dónde ocurrió este hecho?,¿Cuántas veces has sido acosad@ fuera del campus?,¿De qué manera te han acosado?,¿ Cuál fue tu reacción cuando ocurrió este hecho?,¿Has vuelto ha interactuar con tu agresor?,¿Consideras que este hecho fue aislado o previsto por el agresor?,¿Lo denunciaste o se lo comentaste a alguien?,¿Porque no denunciaste este hecho?,¿Crees que tu denuncia no tendría ningún valor?,¿A qué entorno social pertenece el acosador en tu vida?,¿Consideras que tu acosador tomaría represalia contra tu persona si lo denuncias?,¿Cómo esta situación te afectó en tu vida personal?,¿Te encuentras con la fortaleza o el apoyo de realizar la denuncia en la actualidad?,¿Con quien te apoyarías para enfrentar la situación?,¿A qué autoridades acudirías primero para denunciar los hechos?,¿En la actualidad si fueras acosad@ de nuevo te enfrentarías al acosador ?,¿Ayudarias a otras personas a denunciar este tipo de hechos?,¿Compartirías tu experiencia para que otras personas no tengan miedo y puedan exponer a sus acosadores?,¿Consideras que tu entorno no te apoyaria si denuncias este hecho fuera de tiempo?,¿Si existiera una línea de apoyo exclusiva de la universidad para denunciar de forma anónima el acoso lo realizarías?,¿Consideras exponer tu situación ante las autoridades correspondientes?,¿Consideras que se deben aplicar nuevas medidas de protección para denunciar los hechos de acoso dentro de la universidad?,¿Consideras que exponer de forma pública a los acosadores ayudaría a que estos frenen sus actos?,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Crees que el reglamento de hostigamiento al estudiante te garantiza que este hecho no vuelva a ocurrir?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática dentro del campus? ,¿Te has sentido culpable por la situación de acoso que experimentaste?,¿Aun mantienes contacto con tu agresor?,¿Has recurrido a autolesionarse por este tipo de hechos?,¿A quien lo denunciaste o comentastes? ,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática fuera del campus?,¿Que autoridad externa tomó tu denuncia y te ayudó en el proceso?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Te has sentido culpable por la situación de acoso que experimentaste?,"¿Consideras que los hombres en general son potenciales acosadores sexuales, esto debido al estimulo indicado que podría despertar este?",¿Has recurrido a autolesionarse por este tipo de situación?,¿Has sido testig@ de algún tipo de acoso?,¿Consideras que estabas preparad@ para accionar correctamente en el momento en el que sucedió el hecho? ,¿En que año sucedió este hecho?,¿Qué modalidad fue el acoso que percibiste?,¿Cuántas veces has sido testigo de acoso?,¿Dónde ocurrió este hecho?,¿Cual fue tu reacción ante este hecho?,¿Lo denunciaste o comentaste a otros? ,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la autoridad que tomó tu caso? ,¿Sientes que las autoridades toman medidas preventivas necesarias para combatir esta problemática?,¿Que tan complicado fue el trámite para denunciar la situación de acoso que fuiste testigo?,¿El agraviado tiene algún tipo de afiliación contigo?,¿Has vuelto a ver al agresor luego de la denuncia?,¿Por qué no denunciaste este hecho?,¿Sientes que las autoridades no tomarían cartas en el asunto?,¿Si fuera el agraviado conocid@ tuyo o familiar hubieras denunciado el hecho?,¿Te sentiste amenazad@ por el agresor?,¿Si pudieras denunciar el hecho en la actualidad lo harias?,¿Qué tan comod@ y segur@ te sientes al asistir a la universidad?,¿Qué tan cómod@ y segur@ te sientes al andar en la vía pública?,¿A quién crees que acudirías primero si sufres un caso de acoso dentro del campus?,¿Qué actitud tomarías ante una situación de acoso?,¿Te han advertido sobre los peligros del acoso sexual?,¿Consideras que el taller de acoso sexual brindado por la universidad ha reducido el acoso entre los estudiantes?,¿Consideras que las autoridades y el Estado velan por tu seguridad?,¿A cuántas personas conoces que han sido acosadas?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual dentro de la universidad?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual fuera de la universidad?,¿Consideras que es satisfactoria la justicia por mano propia?,¿Consideras que todos los hombres son acosadores en potencia? ,¿Consideras que todos las mujeres son acosadoras en potencia? ,¿Quién crees que es el principal acosador?,¿Consideras que la culpa de acoso es por parte del acosador o acosado?,Exposicion en Vivo,Exposicion en Virtual,Frecuencia,,,,
2022/09/23 1:40:28 p. m. GMT-5,Hombre,18,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,1,Fiestas,Intervine en protección de la agraviado retirandolo,Sí,Amig@,2,1,0,Persona cercana (familia y amigos),No,,,,,,,,,,,,,,,,,,,,,69,36,5,,,,
2022/09/23 1:57:52 p. m. GMT-5,Hombre,17,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2022,Verbal,3,Universidad,Me abstuve por solicitud del agraviado,No,,,,,,,Temor a represaría,No,Si,SI,Si,,,,,,,,,,,,,,,,75,72,2,,,,
2022/09/23 3:37:30 p. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Amigo@,Ignorar,No,No,5,0,0,60,Si,No,No,Adolescentes hombres,Es del acosador,75,44,2,,,,
2022/09/23 4:03:11 p. m. GMT-5,Hombre,19,Bisexual,Electronica,3,Los Olivos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,5,Psicólog@,Confrontar,Sí,Si,3,5,20,50,Si,No,No,Adultos mayores,Es del acosador,76,71,5,,,,
2022/09/23 7:38:46 p. m. GMT-5,Hombre,18,Heterosexual,Industrial,2,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Autoridad de la universidad,Confrontar,Sí,Si,4,5,3,15,Si,No,No,Adultos mayores,Es del acosador,68,80,3,,,,
2022/09/23 8:16:31 p. m. GMT-5,Hombre,18,Pansexual,Industrial,3,San Juan de Lurigancho,Sí,Si,19,2021,En clase,3,Fisica,Pedí ayuda,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Padres de familia,5,si,0,5,No,No,Prefiero no mencionarlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,80,3,,,,
2022/09/24 7:43:37 a. m. GMT-5,Hombre,20,Heterosexual,Civil,5,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Amigo@,Comunicar a la autoridad competente,Sí,Si,3,0,2,17,Si,Tal vez,Tal vez,Adultos mayores,Es del acosador,75,68,2,,,,
2022/09/24 7:49:44 a. m. GMT-5,Hombre,18,Heterosexual,Civil,5,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Padres de familia,Confrontar,Sí,Si,3,2,12,15,No,No,No,Hombres de mediana edad,Es del acosador,80,40,2,,,,
2022/09/24 7:52:21 a. m. GMT-5,Hombre,19,Heterosexual,Civil,5,Comas,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,2,Psicólog@,Confrontar,Sí,Si,1,0,5,60,Si,No,No,Adultos mayores,Es del acosador,41,57,7,,,,
2022/09/24 7:54:52 a. m. GMT-5,Hombre,22,Heterosexual,Civil,5,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Familiares de confianza,Me alejo,Sí,No,4,0,1,3,Si,No,No,Hombres de mediana edad,Es del acosador,51,76,3,,,,
2022/09/24 9:30:31 a. m. GMT-5,Hombre,19,Bisexual,Mecatrónica,8,Surco,Sí,Si,17,2019,Areas comunes,5,Psicologica,Lo ignore y continúe con mis actividades,No,,,,,,,,,,,Falta de apoyo de tus padres.,No considero que tendría valor.,Amistades en comun.,No,Transtornos social,No,,,,,,Si,Tal vez,No tengo confianza que resolverán la problemática,Considero que las medidas actuales son suficientes,Reduciria de forma notable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,68,3,,,,
2022/09/24 9:31:29 a. m. GMT-5,Hombre,20,Bisexual,Mecatrónica,8,Surco,No,Si,19,2020,Transitando en la universidad,2,Verbal,Me aleje de la situacion,No,,,,,,,,,,,Falta de apoyo de tus padres.,"Si, considero que tendria valor.",Miembro de la universidad.,Si,Problemas de inseguridad hacia los hombres,No,,,,,,Tal vez,Si,Temo exponer mi caso y se vuelva público,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,75,2,,,,
