Provincia,Año,Distrito,Centro Poblado,Nombre de IE,Tipo IE,Total Grados,Total Secciones,Total de estudiantes matriculados (*),Aprobados,Total Trasladados,Retirados,Requieren Recup.,Desaprobados
ANDAHUAYLAS,2019,ANDAHUAYLAS,SALINAS,54077,Pública                             ,6,16,248,230,12,0,13,4
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,54078,Pública                             ,6,42,952,864,15,0,73,15
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,54080,Pública                               ,6,28,359,328,5,0,20,11
ANDAHUAYLAS,2019,ANDARAPA,ANDARAPA,54082 SEMILLAS DEL SABER,Pública                                 ,6,6,82,76,0,0,0,6
ANDAHUAYLAS,2019,ANDARAPA,ILLAHUASI,54083,Pública                             ,6,6,73,70,4,0,0,3
ANDAHUAYLAS,2019,HUANCARAY,NATIVIDAD,54088,Pública                               ,6,19,209,201,7,0,3,5
ANDAHUAYLAS,2019,HUANCARAY,MOLLEPATA,54090,Pública                             ,6,6,37,35,1,0,1,2
ANDAHUAYLAS,2019,HUANCARAY,OCCOCHO,54091,Pública                               ,6,14,86,65,2,0,13,8
ANDAHUAYLAS,2019,PACUCHA,PACUCHA,54095,Pública                                ,6,19,207,194,3,1,12,0
ANDAHUAYLAS,2019,PACUCHA,ARGAMA ALTA,54096,Pública                                ,5,5,9,9,4,0,0,0
ANDAHUAYLAS,2019,KAQUIABAMBA,COCAIRO,54097,Pública                               ,6,6,28,28,0,0,0,0
ANDAHUAYLAS,2019,KAQUIABAMBA,KAQUIABAMBA,54098 JOSE MARIA ARGUEDAS ALTAMIRANO,Pública                               ,6,7,75,72,0,0,1,2
ANDAHUAYLAS,2019,PAMPACHIRI,PAMPACHIRI,54099,Pública                             ,6,8,133,132,5,1,0,0
ANDAHUAYLAS,2019,POMACOCHA,POMACOCHA,54100 VIRGEN DE COCHARCAS,Pública                                 ,6,10,94,80,1,3,8,3
ANDAHUAYLAS,2019,KISHUARA,KISHUARA,54101 KISHUARA,Pública                             ,6,6,113,107,4,0,0,6
ANDAHUAYLAS,2019,SAN JERÓNIMO,SAN JERONIMO,54104 CRISTO REY,Pública                             ,6,39,807,753,17,0,35,19
