¿Cuántos años tienes? Responder solo con números (ej: 24),¿En qué ciclo estás?,¿Cuánto mides? Responder en metros,¿Cuánto pesas?  Responder en kg,¿Con que género te identificas? ,¿De qué distrito eres?,¿De qué clase social te consideras?,¿Alguna vez has sido discrimid@?,¿Mediante que forma ocurrió la conducta discriminatoria?,¿A qué cree que se debió el acto de discriminación que sufrió?,¿Has recibido apoyo externo frente a un caso de discriminación?,¿Del 1 al 5 cuál es el grado de satisfacción que tienes con tus compañeros en la UTEC?,¿Sientes que la discriminación dentro de la universidad puede llevar al afectado a un mal rendimiento académico?,¿Del 1 al 5 qué tan importante te parece concientizar acerca de la discriminación?
17,2,1.68,58,Hombre,Surquillo,Clase media,No,,,,4,Si,5
20,5,1.68,60,Hombre,San Juan de Lurigancho,Clase baja,No,,,,5,Si,5
17,2,1.80,80,Hombre,Miraflores,Clase media,Sí,Verbal,Lugar de origen,Si,4,Si,5
19,5,1.57,49.48,Mujer,San Juan de Lurigancho,Clase baja,No,,,,3,Si,5
19,3,1.53,60,Mujer,San Juan de Lurigancho,Clase media baja,No,,,,5,Si,5
19,4,1.8,80,Hombre,Jesús María,Clase media alta,Sí,Verbal,Color de piel,Si,5,No,5
21,3,1.62,55,Mujer,Chorrillos,Clase baja,No,,,,1,No,5
18,4,1.70,70,Hombre,Santiago de Surco,Clase media baja,No,,,,4,Si,5
19,4,1.62,42,Mujer,Jesús María,Clase media,No,,,,4,Si,5
18,3,173,89,Hombre,Chorrillos,Clase media,No,,,,4,Si,5
19,4,1.65,61,Hombre,San Juan de Lurigancho,Clase media,No,,,,4,No,3
20,2,1.63,60,Mujer,Pueblo Libre,Clase media baja,Sí,Verbal,Aspecto físico,No,5,Si,5
17,2,1.69,60,Hombre,Ate Vitarte,Clase media alta,Sí,Verbal,Aspecto físico,No,5,Si,5
17,1,1.64,56,Mujer,Santiago de Surco,Clase media alta,No,,,,5,Si,5
18,2,1.81,78,Mujer,Miraflores,Clase media alta,Sí,Verbal,Aspecto físico,Si,4,Si,5
17,2,1.97,115,Hombre,Santa Anita,Clase media baja,No,,,,5,Si,5
17,2,1.7,63,Hombre,Ate Vitarte,Clase media,No,,,,5,Si,5
18 años,3,1.78m,65kg,Hombre,Chorrillos,Clase media,No,,,,3,Si,4
17,2,1.59cm,57kg,Mujer,Miraflores,Clase media,No,,,,5,Si,5
17,2,1.54,52,Mujer,Lurigancho,Clase media,Sí,Verbal,Religión,No,4,Si,5
18,2,1.81,76,Mujer,Miraflores,Clase media,No,,,,3,Si,3
