Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Afghanistan,South Asia,3.983,7.702,0.529,53.2,0.389,0.881
Albania,Central and Eastern Europe,4.607,9.403,0.639,67.8,0.704,0.885
Algeria,Middle East and North Africa,6.35,9.355,0.818,65.14,0.53,0.638
Argentina,Latin America and Caribbean,6.697,10.083,0.926,68.2,0.881,0.851
Armenia,Commonwealth of Independent States,4.348,9.334,0.723,66,0.551,0.901
Australia,North America and ANZ,7.309,10.779,0.952,72.7,0.922,0.357
Austria,Western Europe,7.076,10.881,0.928,72.1,0.9,0.557
Azerbaijan,Commonwealth of Independent States,5.147,9.606,0.786,64.6,0.764,0.616
Bahrain,Middle East and North Africa,6.007,10.785,0.853,67.7,0.85,0.715
Bangladesh,South Asia,4.633,8.216,0.601,62.8,0.815,0.721
Belarus,Commonwealth of Independent States,5.719,9.815,0.924,65.2,0.623,0.669
Belgium,Western Europe,6.904,10.81,0.885,71.4,0.869,0.469
Benin,Sub-Saharan Africa,3.625,7.988,0.434,53.1,0.733,0.85
Bolivia,Latin America and Caribbean,5.834,8.985,0.829,62.7,0.884,0.862
Bosnia and Herzegovina,Central and Eastern Europe,5.117,9.457,0.656,66.9,0.631,0.96
Botswana,Sub-Saharan Africa,3.762,9.724,0.816,56.8,0.857,0.86
Brazil,Latin America and Caribbean,6.547,9.62,0.907,65.8,0.799,0.771
Bulgaria,Central and Eastern Europe,4.865,9.883,0.908,66.2,0.637,0.941
Burkina Faso,Sub-Saharan Africa,4.419,7.568,0.705,52.4,0.659,0.693
Burundi,Sub-Saharan Africa,3.563,6.719,0.291,49.02,0.26,0.86
Cambodia,Southeast Asia,4.162,8.173,0.729,60.4,0.956,0.825
Cameroon,Sub-Saharan Africa,5.038,8.149,0.646,50.3,0.791,0.868
Canada,North America and ANZ,7.413,10.774,0.939,73,0.931,0.427
Central African Republic,Sub-Saharan Africa,3.678,6.999,0.318,49.2,0.663,0.782
Chad,Sub-Saharan Africa,4.323,7.527,0.751,46.7,0.474,0.889
Chile,Latin America and Caribbean,6.533,10.07,0.827,69.6,0.769,0.812
China,East Asia,5.304,9.449,0.794,68.4,0.824,0.723
Colombia,Latin America and Caribbean,6.388,9.564,0.89,66.8,0.791,0.843
Comoros,Sub-Saharan Africa,3.812,7.965,0.721,54.7,0.529,0.741
Congo (Brazzaville),Sub-Saharan Africa,4.691,8.243,0.642,56.1,0.85,0.841
Congo (Kinshasa),Sub-Saharan Africa,4.414,6.937,0.822,51.66,0.556,0.814
Costa Rica,Latin America and Caribbean,6.854,9.799,0.878,70.7,0.907,0.761
Croatia,Central and Eastern Europe,5.205,10.104,0.768,68.4,0.694,0.849
Cyprus,Western Europe,5.439,10.445,0.77,73.1,0.628,0.893
Czech Republic,Central and Eastern Europe,6.608,10.496,0.911,68.8,0.808,0.886
Denmark,Western Europe,7.514,10.878,0.96,71.5,0.941,0.191
Dominican Republic,Latin America and Caribbean,5.062,9.637,0.893,64.9,0.856,0.755
Ecuador,Latin America and Caribbean,5.964,9.384,0.856,67.6,0.801,0.666
Egypt,Middle East and North Africa,4.763,9.266,0.73,60.8,0.659,0.826
El Salvador,Latin America and Caribbean,6.018,9.005,0.791,65.2,0.733,0.805
Estonia,Central and Eastern Europe,5.629,10.348,0.918,68,0.815,0.569
Ethiopia,Sub-Saharan Africa,4.573,7.484,0.626,57,0.803,0.567
Finland,Western Europe,7.448,10.716,0.948,71.6,0.93,0.223
France,Western Europe,6.358,10.682,0.896,73.2,0.817,0.641
Gabon,Sub-Saharan Africa,4.661,9.649,0.756,58.2,0.671,0.867
Gambia,Sub-Saharan Africa,4.863,6.655,0.69,54.953,0.703,0.572
Georgia,Commonwealth of Independent States,4.122,9.442,0.517,65.1,0.64,0.502
Germany,Western Europe,7.037,10.844,0.926,71.3,0.889,0.412
Ghana,Sub-Saharan Africa,3.986,8.449,0.687,56,0.852,0.945
Greece,Western Europe,5.623,10.259,0.835,71.8,0.532,0.824
Guatemala,Latin America and Caribbean,6.465,9.003,0.823,63.9,0.869,0.822
Guinea,Sub-Saharan Africa,3.505,7.645,0.579,51.1,0.666,0.762
Haiti,Latin America and Caribbean,3.889,7.477,0.554,50.54,0.509,0.708
Honduras,Latin America and Caribbean,4.845,8.572,0.772,66.6,0.534,0.848
Hong Kong S.A.R. of China,East Asia,5.458,10.893,0.834,84.284,0.843,0.423
Hungary,Central and Eastern Europe,5.344,10.223,0.859,66.4,0.558,0.908
Iceland,Western Europe,7.498,10.854,0.98,73,0.94,0.639
India,South Asia,4.342,8.604,0.61,58.9,0.777,0.776
Indonesia,Southeast Asia,5.043,9.225,0.809,61.5,0.779,0.946
Iran,Middle East and North Africa,4.75,9.443,0.572,65.1,0.78,0.699
Iraq,Middle East and North Africa,4.493,9.241,0.684,58.4,0.599,0.762
Ireland,Western Europe,6.83,11.174,0.953,72,0.892,0.409
Israel,Middle East and North Africa,7.079,10.536,0.864,72.7,0.753,0.789
Italy,Western Europe,5.848,10.608,0.909,73,0.575,0.913
Ivory Coast,Sub-Saharan Africa,4.445,8.393,0.704,47.7,0.8,0.744
Jamaica,Latin America and Caribbean,5.374,9.164,0.855,66.22,0.796,0.909
Japan,East Asia,5.88,10.588,0.923,74.7,0.832,0.654
Jordan,Middle East and North Africa,5.405,9.207,0.83,66.2,0.767,0.67
Kazakhstan,Commonwealth of Independent States,5.95,10.098,0.931,62.8,0.74,0.714
Kenya,Sub-Saharan Africa,4.358,8.249,0.777,58.3,0.793,0.853
Kosovo,Central and Eastern Europe,5.077,9.182,0.805,71.342,0.561,0.851
Kuwait,Middle East and North Africa,6.18,10.945,0.862,65.8,0.819,0.732
Kyrgyzstan,Commonwealth of Independent States,4.905,8.477,0.857,63.2,0.813,0.858
Laos,Southeast Asia,4.704,8.548,0.691,56.3,0.886,0.637
Latvia,Central and Eastern Europe,5.881,10.185,0.879,65.9,0.656,0.808
Lebanon,Middle East and North Africa,5.172,9.699,0.742,65.6,0.597,0.889
Lesotho,Sub-Saharan Africa,3.901,8.01,0.776,46.214,0.741,0.731
Liberia,Sub-Saharan Africa,2.702,7.365,0.638,53.7,0.671,0.903
Libya,Middle East and North Africa,5.615,9.308,0.868,62.3,0.775,0.754
Lithuania,Central and Eastern Europe,5.711,10.335,0.929,65.5,0.641,0.924
Luxembourg,Western Europe,6.702,11.617,0.934,72.6,0.932,0.375
Madagascar,Sub-Saharan Africa,3.593,7.344,0.647,57.9,0.545,0.861
Malawi,Sub-Saharan Africa,3.868,6.935,0.494,55.5,0.801,0.835
Malaysia,Southeast Asia,5.77,10.037,0.831,66.08,0.791,0.755
Maldives,South Asia,5.196,9.414,0.91,70.123,0.844,0.81
Mali,Sub-Saharan Africa,4.582,7.669,0.83,50.2,0.634,0.8
Malta,Western Europe,6.613,10.566,0.919,72.2,0.912,0.664
Mauritania,Sub-Saharan Africa,3.923,8.542,0.875,56.1,0.447,0.715
Mauritius,Sub-Saharan Africa,5.648,9.865,0.785,65.3,0.824,0.879
Mexico,Latin America and Caribbean,6.236,9.867,0.761,67.4,0.719,0.708
Moldova,Commonwealth of Independent States,6.017,9.246,0.84,62.9,0.595,0.943
Mongolia,East Asia,4.983,9.308,0.906,61.7,0.686,0.9
Montenegro,Central and Eastern Europe,5.125,9.81,0.74,67.9,0.583,0.781
Morocco,Middle East and North Africa,5.163,8.872,0.606,65,0.713,0.842
Mozambique,Sub-Saharan Africa,4.971,6.979,0.818,48.32,0.639,0.719
Myanmar,Southeast Asia,4.224,8.359,0.752,58.1,0.808,0.633
Namibia,Sub-Saharan Africa,4.574,9.232,0.763,55.16,0.849,0.79
