Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Afghanistan,South Asia,2.694,7.692,0.508,64.486,0.374,0.928
Albania,Central and Eastern Europe,5.004,9.518,0.684,68.7,0.824,0.899
Algeria,Middle East and North Africa,5.043,9.348,0.799,65.9,0.583,0.759
Argentina,Latin America and Caribbean,5.793,10.032,0.9,68.8,0.846,0.855
Armenia,Commonwealth of Independent States,5.062,9.451,0.814,66.9,0.808,0.677
Australia,North America and ANZ,7.177,10.811,0.94,73.6,0.916,0.405
Austria,Western Europe,7.396,10.928,0.912,73,0.904,0.523
Azerbaijan,Commonwealth of Independent States,5.168,9.562,0.781,65.5,0.772,0.561
Bahrain,Middle East and North Africa,6.69,10.757,0.884,68.14,0.909,0.768
Bangladesh,South Asia,4.499,8.399,0.706,64.3,0.901,0.701
Belarus,Commonwealth of Independent States,5.234,9.846,0.905,66.1,0.644,0.718
Belgium,Western Europe,6.892,10.844,0.93,72,0.808,0.63
Benin,Sub-Saharan Africa,5.82,8.059,0.504,54.3,0.713,0.747
Bolivia,Latin America and Caribbean,5.916,9.066,0.827,63.6,0.863,0.786
Bosnia and Herzegovina,Central and Eastern Europe,5.887,9.576,0.836,67.8,0.659,0.913
Botswana,Sub-Saharan Africa,3.461,9.778,0.795,58.9,0.818,0.807
Brazil,Latin America and Caribbean,6.191,9.589,0.882,66.4,0.751,0.763
Bulgaria,Central and Eastern Europe,5.099,10.007,0.924,66.8,0.724,0.952
Burkina Faso,Sub-Saharan Africa,4.927,7.665,0.665,53.9,0.721,0.757
Burundi,Sub-Saharan Africa,3.665,6.787,0.565,51.82,0.431,0.808
Cambodia,Southeast Asia,5.122,8.333,0.795,61.6,0.958,0.829
Cameroon,Sub-Saharan Africa,5.251,8.19,0.677,52.7,0.816,0.884
Canada,North America and ANZ,7.175,10.798,0.923,73.6,0.946,0.372
Central African Republic,Sub-Saharan Africa,3.473,6.817,0.316,52.24,0.624,0.845
Chad,Sub-Saharan Africa,4.486,7.363,0.577,48.2,0.65,0.763
Chile,Latin America and Caribbean,6.436,10.097,0.89,69.9,0.789,0.816
China,East Asia,5.131,9.632,0.788,69.3,0.895,0.741
Colombia,Latin America and Caribbean,5.984,9.579,0.871,67.7,0.851,0.855
Comoros,Sub-Saharan Africa,3.973,8.028,0.621,57.2,0.56,0.794
Congo (Brazzaville),Sub-Saharan Africa,5.49,8.136,0.621,57.9,0.699,0.738
Congo (Kinshasa),Sub-Saharan Africa,4.432,6.751,0.753,52.654,0.675,0.858
Costa Rica,Latin America and Caribbean,7.141,9.874,0.876,71.3,0.942,0.781
Croatia,Central and Eastern Europe,5.536,10.224,0.91,70.2,0.691,0.925
Cyprus,Western Europe,6.276,10.567,0.826,73.7,0.794,0.848
Czech Republic,Central and Eastern Europe,7.034,10.583,0.929,70.3,0.79,0.851
Denmark,Western Europe,7.649,10.935,0.958,72.4,0.935,0.151
Dominican Republic,Latin America and Caribbean,5.433,9.782,0.862,65.8,0.867,0.762
Ecuador,Latin America and Caribbean,6.128,9.355,0.851,68.5,0.869,0.831
Egypt,Middle East and North Africa,4.005,9.338,0.759,61.7,0.682,0.749
El Salvador,Latin America and Caribbean,6.241,9.061,0.82,66.1,0.863,0.801
Estonia,Central and Eastern Europe,6.091,10.472,0.933,68.6,0.886,0.621
Ethiopia,Sub-Saharan Africa,4.379,7.651,0.74,58.5,0.74,0.799
Finland,Western Europe,7.858,10.783,0.962,71.9,0.938,0.199
France,Western Europe,6.666,10.727,0.921,73.8,0.816,0.582
Gabon,Sub-Saharan Africa,4.783,9.599,0.785,59.7,0.719,0.823
Gambia,Sub-Saharan Africa,4.922,7.671,0.685,55,0.719,0.691
Georgia,Commonwealth of Independent States,4.659,9.565,0.617,64.5,0.775,0.755
Germany,Western Europe,7.118,10.89,0.92,72.2,0.877,0.496
Ghana,Sub-Saharan Africa,5.004,8.555,0.761,57.2,0.817,0.846
Greece,Western Europe,5.409,10.299,0.794,72.4,0.564,0.86
Guatemala,Latin America and Caribbean,6.627,9.042,0.841,64.8,0.91,0.765
