Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Afghanistan,South Asia,2.662,7.697,0.491,64.134,0.427,0.954
Albania,Central and Eastern Europe,4.64,9.476,0.638,68.4,0.75,0.876
Algeria,Middle East and North Africa,5.249,9.354,0.807,65.7,0.437,0.7
Argentina,Latin America and Caribbean,6.039,10.067,0.907,68.6,0.832,0.841
Armenia,Commonwealth of Independent States,4.288,9.402,0.698,66.6,0.614,0.865
Australia,North America and ANZ,7.257,10.798,0.95,73.3,0.911,0.411
Austria,Western Europe,7.294,10.908,0.906,72.7,0.89,0.518
Azerbaijan,Commonwealth of Independent States,5.152,9.555,0.787,65.2,0.731,0.653
Bahrain,Middle East and North Africa,6.227,10.771,0.876,68.5,0.906,0.753
Bangladesh,South Asia,4.31,8.334,0.713,63.8,0.896,0.635
Belarus,Commonwealth of Independent States,5.553,9.814,0.9,65.8,0.621,0.654
Belgium,Western Europe,6.928,10.834,0.922,71.8,0.857,0.543
Benin,Sub-Saharan Africa,4.853,8.021,0.436,53.9,0.727,0.767
Bolivia,Latin America and Caribbean,5.651,9.039,0.779,63.3,0.884,0.819
Bosnia and Herzegovina,Central and Eastern Europe,5.09,9.532,0.775,67.5,0.564,0.923
Botswana,Sub-Saharan Africa,3.505,9.756,0.768,58.2,0.817,0.731
Brazil,Latin America and Caribbean,6.333,9.583,0.905,66.2,0.765,0.794
Bulgaria,Central and Eastern Europe,5.097,9.969,0.942,66.6,0.689,0.911
Burkina Faso,Sub-Saharan Africa,4.647,7.627,0.785,53.4,0.614,0.727
Burundi,Sub-Saharan Africa,3.706,6.748,0.422,50.68,0.49,0.677
Cambodia,Southeast Asia,4.586,8.276,0.765,61.2,0.964,0.821
Cameroon,Sub-Saharan Africa,5.074,8.176,0.695,51.9,0.767,0.844
Canada,North America and ANZ,7.415,10.792,0.934,73.4,0.945,0.362
Central African Republic,Sub-Saharan Africa,3.476,6.785,0.32,51.59,0.78,0.89
Chad,Sub-Saharan Africa,4.559,7.37,0.661,47.7,0.615,0.792
Chile,Latin America and Caribbean,6.32,10.072,0.88,69.8,0.79,0.836
China,East Asia,5.099,9.571,0.772,69,0.878,0.739
Colombia,Latin America and Caribbean,6.157,9.569,0.909,67.4,0.838,0.875
Comoros,Sub-Saharan Africa,3.956,7.988,0.719,55.34,0.534,0.651
Congo (Brazzaville),Sub-Saharan Africa,4.884,8.146,0.655,57.3,0.778,0.763
Congo (Kinshasa),Sub-Saharan Africa,4.522,6.962,0.864,52.5,0.637,0.875
Costa Rica,Latin America and Caribbean,7.225,9.858,0.922,71.1,0.936,0.742
Croatia,Central and Eastern Europe,5.343,10.189,0.77,69.6,0.716,0.892
Cyprus,Western Europe,6.062,10.539,0.819,73.5,0.812,0.851
Czech Republic,Central and Eastern Europe,6.79,10.558,0.901,69.8,0.832,0.867
Denmark,Western Europe,7.594,10.916,0.952,72.1,0.955,0.181
Dominican Republic,Latin America and Caribbean,5.605,9.725,0.894,65.5,0.855,0.76
Ecuador,Latin America and Caribbean,5.84,9.36,0.849,68.2,0.879,0.734
Egypt,Middle East and North Africa,3.929,9.307,0.638,61.4,0.593,0.88
El Salvador,Latin America and Caribbean,6.339,9.042,0.829,65.8,0.758,0.778
Estonia,Central and Eastern Europe,5.938,10.429,0.936,68.4,0.862,0.668
Ethiopia,Sub-Saharan Africa,4.18,7.612,0.734,58,0.717,0.757
Finland,Western Europe,7.788,10.768,0.964,71.8,0.962,0.192
France,Western Europe,6.635,10.711,0.931,73.6,0.834,0.601
Gabon,Sub-Saharan Africa,4.782,9.616,0.807,59.2,0.652,0.868
Gambia,Sub-Saharan Africa,4.118,7.637,0.697,54.7,0.812,0.719
Georgia,Commonwealth of Independent States,4.451,9.517,0.59,64.7,0.821,0.59
Germany,Western Europe,7.074,10.878,0.892,71.9,0.841,0.414
Ghana,Sub-Saharan Africa,5.481,8.517,0.669,56.8,0.783,0.839
Greece,Western Europe,5.148,10.278,0.753,72.2,0.438,0.872
Guatemala,Latin America and Caribbean,6.325,9.026,0.826,64.5,0.915,0.8
Guinea,Sub-Saharan Africa,4.874,7.792,0.634,53.3,0.738,0.75
Haiti,Latin America and Caribbean,3.352,7.477,0.584,55.3,0.304,0.839
Honduras,Latin America and Caribbean,6.02,8.624,0.843,67,0.898,0.783
Hong Kong S.A.R. of China,East Asia,5.362,10.97,0.831,84.685,0.831,0.416
Hungary,Central and Eastern Europe,6.065,10.293,0.877,67.2,0.661,0.886
Iceland,Western Europe,7.476,10.925,0.967,73,0.939,0.727
India,South Asia,4.046,8.73,0.607,59.7,0.886,0.781
Indonesia,Southeast Asia,5.098,9.3,0.796,61.9,0.865,0.9
Iran,Middle East and North Africa,4.717,9.449,0.714,65.7,0.731,0.715
Iraq,Middle East and North Africa,4.462,9.303,0.695,59.6,0.628,0.757
Ireland,Western Europe,7.06,11.266,0.943,72.2,0.905,0.337
Israel,Middle East and North Africa,7.331,10.57,0.916,73.1,0.768,0.793
Italy,Western Europe,6.199,10.64,0.92,73.4,0.633,0.867
Ivory Coast,Sub-Saharan Africa,5.038,8.483,0.661,48.9,0.732,0.771
Jamaica,Latin America and Caribbean,5.311,9.152,0.874,66.58,0.809,0.861
Japan,East Asia,5.911,10.618,0.882,74.9,0.849,0.659
Jordan,Middle East and North Africa,4.808,9.194,0.815,66.6,0.766,0.69
Kazakhstan,Commonwealth of Independent States,5.882,10.121,0.914,64,0.745,0.755
Kenya,Sub-Saharan Africa,4.476,8.306,0.715,59.5,0.853,0.854
Kosovo,Central and Eastern Europe,6.149,9.262,0.792,71.995,0.858,0.925
Kuwait,Middle East and North Africa,5.947,10.91,0.845,66.3,0.841,0.751
Kyrgyzstan,Commonwealth of Independent States,5.63,8.526,0.883,63.8,0.859,0.874
Laos,Southeast Asia,4.623,8.89,0.707,58.3,0.891,0.592
Latvia,Central and Eastern Europe,5.978,10.257,0.895,66.5,0.7,0.798
Lebanon,Middle East and North Africa,5.154,9.681,0.777,66.6,0.605,0.911
Lesotho,Sub-Saharan Africa,3.795,7.931,0.769,47.3,0.757,0.797
