Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Hong Kong S.A.R. of China,East Asia,5.295,11,0.813,85.073,0.705,0.38
North Cyprus,Western Europe,5.967,10.413,0.803,82.3,0.793,0.84
Taiwan Province of China,East Asia,6.537,10.871,0.893,80.46,0.814,0.718
Singapore,Southeast Asia,6.378,11.486,0.925,77.1,0.938,0.07
Japan,East Asia,5.908,10.632,0.878,75.1,0.806,0.617
Spain,Western Europe,6.457,10.618,0.949,74.7,0.778,0.73
Switzerland,Western Europe,7.694,11.136,0.949,74.4,0.913,0.294
Palestinian Territories,Middle East and North Africa,4.483,8.485,0.833,74.012,0.653,0.829
France,Western Europe,6.69,10.74,0.958,74,0.827,0.568
Australia,North America and ANZ,7.234,10.815,0.943,73.9,0.918,0.43
Cyprus,Western Europe,6.137,10.585,0.776,73.9,0.74,0.865
South Korea,East Asia,5.903,10.661,0.783,73.9,0.706,0.718
Canada,North America and ANZ,7.109,10.8,0.925,73.8,0.912,0.436
Italy,Western Europe,6.445,10.655,0.838,73.8,0.709,0.866
Israel,Middle East and North Africa,7.332,10.601,0.946,73.5,0.834,0.743
New Zealand,North America and ANZ,7.205,10.666,0.939,73.4,0.912,0.234
Austria,Western Europe,7.195,10.939,0.964,73.3,0.903,0.457
Norway,Western Europe,7.442,11.061,0.942,73.3,0.954,0.271
Iceland,Western Europe,7.575,10.824,0.983,73,0.949,0.644
Denmark,Western Europe,7.693,10.954,0.958,72.7,0.963,0.174
Sweden,Western Europe,7.398,10.882,0.934,72.7,0.942,0.25
Greece,Western Europe,5.952,10.319,0.891,72.6,0.614,0.848
Luxembourg,Western Europe,7.404,11.648,0.912,72.6,0.93,0.39
Portugal,Western Europe,6.095,10.457,0.876,72.6,0.882,0.915
Germany,Western Europe,7.035,10.893,0.886,72.5,0.885,0.462
United Kingdom,Western Europe,7.157,10.751,0.943,72.5,0.854,0.485
Kosovo,Central and Eastern Europe,6.425,9.339,0.843,72.495,0.841,0.92
Ireland,Western Europe,7.255,11.371,0.944,72.4,0.892,0.373
Netherlands,Western Europe,7.425,10.953,0.941,72.4,0.886,0.36
Belgium,Western Europe,6.772,10.853,0.884,72.2,0.776,0.672
Malta,Western Europe,6.733,10.677,0.922,72.2,0.924,0.689
Finland,Western Europe,7.78,10.792,0.937,72,0.948,0.195
Costa Rica,Latin America and Caribbean,6.998,9.885,0.906,71.5,0.927,0.836
Slovenia,Central and Eastern Europe,6.665,10.563,0.949,71.4,0.945,0.785
Czech Republic,Central and Eastern Europe,6.897,10.53,0.964,71.3,0.906,0.884
Croatia,Central and Eastern Europe,5.626,10.258,0.936,70.8,0.739,0.932
Maldives,South Asia,5.2,9.601,0.914,70.6,0.854,0.823
Chile,Latin America and Caribbean,5.942,10.095,0.869,70,0.659,0.86
Panama,Latin America and Caribbean,6.086,10.356,0.886,69.7,0.883,0.869
Poland,Central and Eastern Europe,6.242,10.407,0.878,69.7,0.883,0.696
China,East Asia,5.144,9.688,0.822,69.6,0.927,0.736
Bahrain,Middle East and North Africa,7.098,10.715,0.878,69.3,0.907,0.774
Slovakia,Central and Eastern Europe,6.243,10.398,0.933,69.2,0.771,0.926
Uruguay,Latin America and Caribbean,6.6,9.979,0.933,69.1,0.903,0.599
Albania,Central and Eastern Europe,4.995,9.544,0.686,69,0.777,0.914
Argentina,Latin America and Caribbean,6.086,10,0.896,69,0.817,0.83
Ecuador,Latin America and Caribbean,5.809,9.339,0.808,68.8,0.83,0.839
Estonia,Central and Eastern Europe,6.035,10.511,0.934,68.8,0.887,0.576
Montenegro,Central and Eastern Europe,5.386,9.97,0.832,68.7,0.694,0.82
Mexico,Latin America and Caribbean,6.432,9.891,0.852,68.6,0.903,0.809
Serbia,Central and Eastern Europe,6.241,9.808,0.903,68.6,0.753,0.813
Peru,Latin America and Caribbean,5.999,9.461,0.809,68.4,0.815,0.874
United States,South Asia,6.944,11.043,0.917,68.2,0.836,0.707
Bosnia and Herzegovina,Central and Eastern Europe,6.016,9.609,0.873,68.1,0.722,0.963
Vietnam,Southeast Asia,5.467,8.992,0.848,68.1,0.952,0.788
Colombia,Latin America and Caribbean,6.35,9.598,0.873,68,0.822,0.854
Hungary,Central and Eastern Europe,6,10.393,0.947,68,0.798,0.884
Lithuania,Central and Eastern Europe,6.064,10.518,0.918,67.9,0.78,0.783
Nicaragua,Latin America and Caribbean,6.113,8.595,0.874,67.8,0.883,0.622
Lebanon,Middle East and North Africa,4.024,9.597,0.866,67.6,0.447,0.89
Jamaica,Latin America and Caribbean,6.309,9.186,0.878,67.5,0.891,0.885
Romania,Central and Eastern Europe,6.13,10.306,0.842,67.5,0.848,0.954
Honduras,Latin America and Caribbean,5.93,8.653,0.797,67.4,0.846,0.815
Sri Lanka,South Asia,4.213,9.479,0.815,67.4,0.824,0.863
Thailand,Southeast Asia,6.022,9.824,0.903,67.4,0.898,0.877
United Arab Emirates,Middle East and North Africa,6.711,11.114,0.862,67.3,0.911,0.592
Armenia,Commonwealth of Independent States,5.488,9.522,0.782,67.2,0.844,0.583
Malaysia,Southeast Asia,5.428,10.252,0.842,67.2,0.916,0.782
Tunisia,Middle East and North Africa,4.315,9.283,0.61,67.2,0.659,0.889
Turkey,Middle East and North Africa,4.872,10.246,0.792,67.2,0.631,0.76
Latvia,Central and Eastern Europe,5.97,10.336,0.936,67.1,0.698,0.789
Bulgaria,Central and Eastern Europe,5.108,10.047,0.948,67,0.822,0.943
Jordan,Middle East and North Africa,4.453,9.201,0.793,67,0.726,0.698
Kuwait,Middle East and North Africa,6.106,10.817,0.842,66.9,0.867,0.762
Mauritius,Sub-Saharan Africa,6.241,10.043,0.913,66.7,0.893,0.81
Venezuela,Latin America and Caribbean,5.081,7.522,0.888,66.7,0.626,0.899
Brazil,Latin America and Caribbean,6.451,9.592,0.899,66.6,0.83,0.762
Saudi Arabia,Middle East and North Africa,6.561,10.757,0.912,66.6,0.891,0.672
Belarus,Commonwealth of Independent States,5.821,9.86,0.917,66.4,0.657,0.546
El Salvador,Latin America and Caribbean,6.455,9.08,0.764,66.4,0.877,0.682
Iran,Middle East and North Africa,5.006,9.584,0.698,66.3,0.623,0.728
Morocco,Middle East and North Africa,5.057,8.925,0.535,66.2,0.757,0.757
Algeria,Middle East and North Africa,4.745,9.337,0.803,66.1,0.385,0.741
Dominican Republic,Latin America and Caribbean,6.004,9.821,0.884,66.1,0.877,0.746
Paraguay,Latin America and Caribbean,5.653,9.448,0.892,65.9,0.876,0.882
Azerbaijan,Commonwealth of Independent States,5.173,9.575,0.887,65.8,0.854,0.457
Moldova,Commonwealth of Independent States,5.803,9.475,0.809,65.7,0.784,0.884
North Macedonia,Central and Eastern Europe,5.015,9.711,0.815,65.474,0.725,0.923
Uzbekistan,Commonwealth of Independent States,6.154,8.853,0.915,65.4,0.97,0.511
Kazakhstan,Commonwealth of Independent States,6.272,10.179,0.951,65.2,0.852,0.708
Guatemala,Latin America and Caribbean,6.262,9.064,0.774,65.1,0.901,0.773
Ukraine,Commonwealth of Independent States,4.702,9.458,0.883,64.9,0.715,0.885
Afghanistan,South Asia,2.375,7.697,0.42,64.833,0.394,0.924
Bangladesh,South Asia,5.114,8.467,0.673,64.8,0.902,0.656
Russia,Commonwealth of Independent States,5.441,10.205,0.91,64.7,0.715,0.848
Nepal,South Asia,5.449,8.136,0.772,64.6,0.79,0.712
Kyrgyzstan,Commonwealth of Independent States,5.685,8.567,0.877,64.4,0.92,0.885
Tajikistan,Commonwealth of Independent States,5.464,8.126,0.88,64.4,0.832,0.49
Georgia,Commonwealth of Independent States,4.892,9.617,0.675,64.3,0.811,0.647
Bolivia,Latin America and Caribbean,5.674,9.074,0.784,63.9,0.881,0.857
Trinidad and Tobago,Latin America and Caribbean,6.187,10.237,0.925,63.45,0.856,0.912
Turkmenistan,Commonwealth of Independent States,5.474,9.651,0.982,62.6,0.892,0.882
Mongolia,East Asia,5.563,9.418,0.946,62.5,0.711,0.873
Indonesia,Southeast Asia,5.347,9.377,0.802,62.3,0.866,0.861
Libya,Middle East and North Africa,5.33,9.627,0.827,62.3,0.762,0.686
Cambodia,Southeast Asia,4.998,8.387,0.759,62,0.957,0.828
Egypt,Middle East and North Africa,4.328,9.373,0.772,62,0.774,0.684
Philippines,Southeast Asia,6.268,9.095,0.845,62,0.91,0.748
Rwanda,Sub-Saharan Africa,3.268,7.708,0.489,61.7,0.869,0.168
Iraq,Middle East and North Africa,4.785,9.167,0.708,61.4,0.7,0.849
Kenya,Sub-Saharan Africa,4.619,8.373,0.676,60.7,0.818,0.794
India,South Asia,3.249,8.818,0.561,60.5,0.876,0.752
