Código,Ciclo,Edad,Carrera,Género,¿Qué idioma es de su interés?,¿Cuantos centros de idiomas conoces?,¿En que centro de idiomas le gustaria estudiar?,¿Cuanto estaria dispuesto a pagar por un curso de idiomas ?,¿Cuantos idiomas te gustaria aprender?,¿Hasta que nivel de idioma te gustaria llegar?,¿Cuánto tiempo  por día aparte de las clases le puedes dedicar al estudio de un idioma (minutos)? Ejm: 60,"Del 1 al 5, donde 1 es nada importante y 5 muy importante ¿Qué tan importante consideras el estudio de idiomas?"
202120324,2,18,Ingeniería Industrial,Femenino,Inglés,4,Idiomas Católica,s/.251 – s/.300,3,Avanzado,150,5
202110052,3,17,Ingeniería Electrónica,Masculino,Inglés,3,Británico,s/.100 – s/.150,5,Avanzado,120,5
202120587,2,19,Ingeniería Industrial,Femenino,Inglés,2,ICPNA,s/.201 – s/.250,3,Avanzado,120,5
202110476,2,18,Ingeniería Industrial,Masculino,Ruso,4,Idiomas Católica,s/.301 - a más,3,Avanzado,180,5
202120141,2,20,Ingeniería Industrial,Femenino,Inglés,3,TECSUP (Conversa),s/.151 – s/.200,3,Avanzado,60,5
202010009,2,20,Ciencia de la Computación,Masculino,Portugues,3,ninguno,s/.100 – s/.150,2,Intermedio,20,5
202120177,2,19,Ingeniería Industrial,Masculino,Inglés,3,ICPNA,s/.151 – s/.200,3,Avanzado,100,5
202010445,4,23,Ciencia de la Computación,Femenino,Francés,1,Alianza Francesa,s/.100 – s/.150,2,Intermedio,60,5
202110184,3,18,Ingeniería Mecatrónica,Masculino,Inglés,3,TECSUP (Conversa),s/.100 – s/.150,5,Avanzado,120,5
202110461,3,19,Ingeniería Química,Masculino,Inglés,3,ICPNA,s/.100 – s/.150,5,Avanzado,240,5
202010276,3,18,Ingeniería Mecánica,Masculino,Alemán,4,TECSUP (Conversa),s/.151 – s/.200,2,Avanzado,40,5
202120271,2,20,Ingeniería Industrial,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,5,Avanzado,120,5
201610622,8,22,Ingeniería Industrial,Masculino,Francés,4,Alianza francesa,s/.151 – s/.200,3,Avanzado,Diario 90,5
202120544,2,18,Ingeniería Industrial,Femenino,Inglés,1,Británico,s/.100 – s/.150,2,Intermedio,30,5
202120333,2,21,Ingeniería Industrial,Femenino,Chino mandarin,3,ICPNA,s/.100 – s/.150,5,Avanzado,90,5
202120224,2,17,Ingeniería Electrónica,Masculino,Inglés,3,Lidem Perú,s/.201 – s/.250,2,Intermedio,240,5
202120596,2,20,Ingeniería Industrial,Femenino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,135,4
202120117,2,18,Ingeniería Civil,Femenino,Portugues,4,Idiomas Católica,s/.251 – s/.300,3,Intermedio,75,5
202120199,2,19,Ingeniería Civil,Masculino,Inglés,2,Británico,s/.100 – s/.150,2,Avanzado,30 min ,5
202120252,2,18,Bioingeniería,Masculino,Francés,2,Británico,s/.100 – s/.150,4,Intermedio,2 horas,5
202120704,2,19,Ciencia de la Computación,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,2,Avanzado,120,5
202120272,2,19,Ingeniería Civil,Masculino,Inglés,2,ICPNA,s/.100 – s/.150,2,Avanzado,1/2 hora,3
202120418,2,18,Ingeniería Ambiental,Masculino,Ruso,2,Británico,s/.201 – s/.250,5,Avanzado,2 horas semanales,5
202120380,2,19,Ingeniería Química,Femenino,Inglés,2,ICPNA,s/.201 – s/.250,2,Avanzado,60,5
202120323,2,18,Ingeniería Civil,Masculino,Inglés,3,Británico,s/.201 – s/.250,2,Avanzado,120,5
202120198,2,20,Ingeniería Civil,Masculino,Inglés,2,Británico,s/.100 – s/.150,1,Intermedio,60,4
202120625,2,17,Ciencia de la Computación,Femenino,Inglés,2,ICPNA,s/.151 – s/.200,4,Avanzado,40,4
201920050,6,19,Ingeniería Industrial,Femenino,Inglés,4,Británico,s/.201 – s/.250,3,Avanzado,90,5
202120204,2,18,Ingeniería Civil,Femenino,Inglés,2,Británico,s/.100 – s/.150,5,Avanzado,120,5
202120329,2,16,Ingeniería Industrial,Masculino,Quechua,2,Británico,s/.151 – s/.200,5,Avanzado,120,5
202120423,2,18,Ciencia de la Computación,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,3,Avanzado,60,5
202120202,2,19,Ciencia de la Computación,Masculino,Inglés,3,ICPNA,s/.251 – s/.300,3,Avanzado,50,4
202120571,2,19,Ingeniería Ambiental,Femenino,Inglés,3,Idiomas Católica,s/.251 – s/.300,3,Avanzado,120,5
202120078,2,17,Ingeniería Industrial,Femenino,Inglés,1,Británico,s/.151 – s/.200,2,Avanzado,1 hora,3
202120533,2,18,Ciencia de la Computación,Masculino,Inglés,2,ICPNA,s/.251 – s/.300,2,Intermedio,120,5
202120325,2,18,Ingeniería Industrial,Femenino,Inglés,1,ICPNA,s/.100 – s/.150,5,Avanzado,360,5
202120538,2,17,Ingeniería Mecatrónica,Masculino,Inglés,1,Idiomas Católica,s/.100 – s/.150,2,Avanzado,20,5
202120342,2,19,Ingeniería Industrial,Femenino,Inglés,3,Británico,s/.201 – s/.250,2,Avanzado,120,4
202120288,2,22,Ingeniería Mecatrónica,Masculino,Italiano,2,ICPNA,s/.151 – s/.200,3,Avanzado,120,4
202120265,2,18,Ingeniería Industrial,Femenino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,90,5
202120144,2,17,Ingeniería Civil,Masculino,Portugues,1,TECSUP (Conversa),s/.151 – s/.200,3,Avanzado,30,5
