Año,Departamento,Región,Localización,Producción(t),Rendimiento Promedio(T/ha),Participación(%),Superficie cosechada(ha)
2011,Puno,Sierra ,Sur,590,11,16,51780
2011,Huánuco,Sierra ,Centro,517,13,14,35340
2011,La Libertad,Sierra ,Norte,0,0,0,0
2011,Cusco,Sierra ,Sur,352,9,9,30830
2011,Apurímac,Sierra ,Sur,320,17,8,18800
2011,Junín,Sierra ,Centro,407,16,11,23170
2011,Ayacucho,Sierra ,Sur,138,13,4,14580
2011,Cajamarca,Sierra ,Norte,299,11,8,27070
2011,Arequipa,Sierra ,Sur,263,32,7,8040
2011,Huancavelica,Sierra ,Centro,271,10,7,24910
2011,Pasco,Sierra ,Centro,149,9,4,10060
2011,Lima,Costa,Centro,213,26,6,8900
2011,Ica,Costa,Centro,80,32,2,2360
2011,Áncash,Sierra ,Norte,97,10,3,9540
2011,Amazonas,Sierra ,Norte,52,0,1,3580
2011,Piura,Sierra ,Norte,22,10,1,2370
2011,Tacna,Sierra ,Sur,7,14,0,389
2011,Moquegua,Sierra,Sur,9,13,0,611
2011,Lambayeque,Sierra,Norte,5,6,0,875
2012,Puno,Sierra ,Sur,568,11,13,51430
2012,Huánuco,Sierra ,Centro,567,15,13,37510
2012,La Libertad,Sierra ,Norte,379,0,9,23540
2012,Cusco,Sierra ,Sur,432,11,10,34780
2012,Apurímac,Sierra ,Sur,330,17,7,18640
2012,Junín,Sierra ,Centro,406,18,9,23220
2012,Ayacucho,Sierra ,Sur,306,9,7,19740
2012,Cajamarca,Sierra ,Norte,308,11,7,28200
2012,Arequipa,Sierra ,Sur,297,33,7,9300
2012,Huancavelica,Sierra ,Centro,281,11,6,27150
2012,Pasco,Sierra ,Centro,94,15,2,8460
2012,Lima,Costa,Centro,170,24,4,7930
2012,Ica,Costa,Centro,88,34,2,2690
2012,Áncash,Sierra ,Norte,106,10,2,10450
2012,Amazonas,Sierra ,Norte,59,14,1,4400
2012,Piura,Sierra ,Norte,18,9,0,212
2012,Tacna,Sierra ,Sur,9,17,0,508
2012,Moquegua,Sierra,Sur,9,15,0,624
2012,Lambayeque,Sierra,Norte,5,6,0,893
2013,Puno,Sierra ,Sur,644,12,14,53666
2013,Huánuco,Sierra ,Centro,619,16,14,38688
2013,La Libertad,Sierra ,Norte,408,16,9,25500
2013,Cusco,Sierra ,Sur,426,13,9,32769
2013,Apurímac,Sierra ,Sur,350,18,8,19444
2013,Junín,Sierra ,Centro,404,17,9,23765
2013,Ayacucho,Sierra ,Sur,284,15,6,18933
2013,Cajamarca,Sierra ,Norte,345,12,8,28750
2013,Arequipa,Sierra ,Sur,284,33,6,8606
2013,Huancavelica,Sierra ,Centro,269,10,6,26900
2013,Pasco,Sierra ,Centro,85,9,2,9444
2013,Lima,Costa,Centro,145,29,3,5000
2013,Ica,Costa,Centro,84,35,2,2375
2013,Áncash,Sierra ,Norte,109,10,2,10900
2013,Amazonas,Sierra ,Norte,66,4,1,4590
2013,Piura,Sierra ,Norte,23,2,1,2578
2013,Tacna,Sierra ,Sur,8,5,0,4590
2013,Moquegua,Sierra,Sur,8,14,0,618
2013,Lambayeque,Sierra,Norte,5,5,0,908
2014,Puno,Sierra ,Sur,669,12,14,57208
2014,Huánuco,Sierra ,Centro,657,16,14,41276
2014,La Libertad,Sierra ,Norte,441,25,9,23962
2014,Cusco,Sierra ,Sur,382,33,8,31792
2014,Apurímac,Sierra ,Sur,371,19,8,20716
2014,Junín,Sierra ,Centro,410,23,9,22733
2014,Ayacucho,Sierra ,Sur,328,19,7,21028
2014,Cajamarca,Sierra ,Norte,333,30,7,29517
2014,Arequipa,Sierra ,Sur,302,8,6,8763
2014,Huancavelica,Sierra ,Centro,236,26,5,23280.5
2014,Pasco,Sierra ,Centro,114,9,2,9067
2014,Lima,Costa,Centro,222,29,5,7661
2014,Ica,Costa,Centro,110,33,2,3337
2014,Áncash,Sierra ,Norte,110,10.6,2,10445
2014,Amazonas,Sierra ,Norte,60,5,1,4133
2014,Piura,Sierra ,Norte,21,3,0,2383
2014,Tacna,Sierra ,Sur,7,5,0,4490
2014,Moquegua,Sierra,Sur,8,6,0,5540
2014,Lambayeque,Sierra,Norte,10,9,0,1290
2015,Puno,Sierra ,Sur,722,12,15,58937
2015,Huánuco,Sierra ,Centro,626,15,13,"40915,25"
2015,La Libertad,Sierra ,Norte,434,18,9,"24240,5"
2015,Cusco,Sierra ,Sur,388,13,8,"30882,6"
2015,Apurímac,Sierra ,Sur,351,18,7,"19640,4"
2015,Junín,Sierra ,Centro,432,18,9,"24374,81"
2015,Ayacucho,Sierra ,Sur,324,16,7,20814
2015,Cajamarca,Sierra ,Norte,336,12,7,28195
2015,Arequipa,Sierra ,Sur,309,34,7,9174
2015,Huancavelica,Sierra ,Centro,239,10,5,23084
2015,Pasco,Sierra ,Centro,152,16,3,9523
2015,Lima,Costa,Centro,77,23,2,4280
2015,Ica,Costa,Centro,98,33,2,"2964,4"
2015,Áncash,Sierra ,Norte,121,11,3,11452
2015,Amazonas,Sierra ,Norte,66,15,1,"4431,2"
2015,Piura,Sierra ,Norte,20,9,0,2312
2015,Tacna,Sierra ,Sur,7,19,0,341
2015,Moquegua,Sierra,Sur,7,14,0,474
2015,Lambayeque,Sierra,Norte,3,7,0,500
2016,Puno,Sierra ,Sur,692,12,15,59695
2016,Huánuco,Sierra ,Centro,501,14,11,37122
2016,La Libertad,Sierra ,Norte,421,19,9,22484
2016,Cusco,Sierra ,Sur,369,12,8,"30131,58"
2016,Apurímac,Sierra ,Sur,404,18,9,22922
2016,Junín,Sierra ,Centro,386,16,9,"23512,4"
2016,Ayacucho,Sierra ,Sur,304,15,7,20596
2016,Cajamarca,Sierra ,Norte,310,12,7,26162
2016,Arequipa,Sierra ,Sur,349,34,8,10404
2016,Huancavelica,Sierra ,Centro,259,10,6,"24880,8"
2016,Pasco,Sierra ,Centro,147,17,3,8766
2016,Lima,Costa,Centro,107,25,2,4713
2016,Ica,Costa,Centro,76,32,2,"2365,7"
2016,Áncash,Sierra ,Norte,114,11,3,10709
2016,Amazonas,Sierra ,Norte,57,15,1,"3787,8"
2016,Piura,Sierra ,Norte,14,9,0,1473
2016,Tacna,Sierra ,Sur,6,17,0,375
2016,Moquegua,Sierra,Sur,6,12,0,526
2016,Lambayeque,Sierra,Norte,3,7,0,590
2017,Puno,Sierra ,Sur,743,12,16,59711
2017,Huánuco,Sierra ,Centro,668,16,14,"42505,5"
2017,La Libertad,Sierra ,Norte,467,20,10,23873
2017,Cusco,Sierra ,Sur,388,13,8,30367
2017,Apurímac,Sierra ,Sur,412,20,9,"22198,62"
2017,Junín,Sierra ,Centro,366,16,8,"22802,05"
2017,Ayacucho,Sierra ,Sur,310,15,6,21199
