Player ID,Name,Total Earning,Team
MinD_ContRoL,Ivan Ivanov,"$4,462,254.00",Team Liquid
KuroKy,Kuro Takhasomi,"$4,458,754.00",Team Liquid
GH,Maroun Merhej,"$4,082,604.40",Team Liquid
Miracle-,Amer Al-Barkawi,"$4,068,404.40",Team Liquid
Matumbaman,Lasse Urpalainen,"$3,531,172.40",Team Liquid
ELiGE,Jonathan Jablonowski,"$992,286.43",Team Liquid
w33,Aliwi Omar,"$926,581.60",Team Liquid
nitr0,Nick Cannella,"$916,311.74",Team Liquid
Twistzz,Russel Van Dulken,"$838,279.76",Team Liquid
NAF,Keith Markovic,"$800,983.33",Team Liquid
Stewie2k,Jakey Yip,"$603,900.00",Team Liquid
FATA,Adrian Trinks,"$375,349.60",Team Liquid
JerAx,Jesse Vainikka,"$375,349.60",Team Liquid
Hungrybox,Juan Debiedma,"$357,332.42",Team Liquid
Snute,Jens Aasgaard,"$327,735.64",Team Liquid
Riversan,River Handley,"$318,533.34",Team Liquid
NuckleDu,Du Cong Dang,"$309,593.73",Team Liquid
TaeJa,"Yoon, Young Suh","$290,653.19",Team Liquid
Poach,Jake Brumleve,"$274,375.00",Team Liquid
72hrs,Thomas Mulligan,"$263,375.00",Team Liquid
rapha,Shane Hendrixson,"$259,877.66",Team Liquid
Ibiza,Jord van Geldere,"$255,140.65",Team Liquid
Jeemzz,Jim Eliassen,"$255,140.65",Team Liquid
HerO,"Song, Hyeon Deok","$254,725.86",Team Liquid
DaHanG,Tim Fogarty,"$213,358.67",Team Liquid
N0tail,Johan Sundstein,"$6,753,622.23",OG
JerAx,Jesse Vainikka,"$6,068,960.20",OG
ana,Anathan Pham,"$5,976,645.23",OG
Ceb,Sébastien Debs,"$5,528,232.23",OG
Topson,Topias Taavitsainen,"$5,486,739.20",OG
Fly,Tal Aizik,"$1,269,098.00",OG
s4,Gustav Magnusson,"$649,092.40",OG
Cr1t,Andreas Nielsen,"$611,005.60",OG
Miracle-,Amer Al-Barkawi,"$611,005.60",OG
MoonMeander,David Tan,"$611,005.60",OG
Aleksib,Aleksi Virolainen,"$124,783.33",OG
mantuu,Mateusz Wilczewski,"$124,783.33",OG
Valde,Valdemar Vangså,"$124,783.33",OG
ISSAA,Issa Murad,"$105,483.33",OG
NBK,Nathan Schmitt,"$105,483.33",OG
Saksa,Martin Sazdov,"$89,571.40",OG
MidOne,"Zheng, Yeik Nai","$67,556.40",OG
Resolut1on,Roman Fominok,"$57,600.00",OG
iLTW,Igor Filatov,"$22,415.00",OG
Niko,Nikolaj Kristensen,"$22,133.33",OG
SumaiL,Sumail Hassan,"$22,092.00",OG
flameZ,Shahar Shushan,"$19,300.00",OG
Madara,Omar Dabasas,"$14,520.00",OG
