"Marca temporal","Edad
","Género","Ocupación","¿Cuál de estás plataformas utilizas con mayor frecuencia?
","¿Del 1 al 10 cuánto recomiendas las plataformas que utilizas ?","¿Qué dispositivo utilizas usualmente para usar estas plataformas? ","¿Compartes cuentas de Streaming con otras personas","¿Cuánto inviertes mensualmente en servicios de Streaming ?","¿Con qué finalidad hace uso de las plataformas de Streaming?","¿Alguna desventaja significativa que consideres sobre plataformas de Streaming?","¿Cuántas horas consideras que dedicas semanalmente a estos servicios?","¿Cuántas plataformas de Streaming tienes contratadas actualmente?","¿Cómo calificaría los servicios de Streaming con los que cuenta?","De acuerdo con la pregunta anterior ¿Consideraría suscribirse a más servicios de Streaming?","¿Qué tipo de series / películas te gustan más ? [Acción]","¿Qué tipo de series / películas te gustan más ? [Drama]","¿Qué tipo de series / películas te gustan más ? [Comedia]","¿Qué tipo de series / películas te gustan más ? [Terror]","¿Qué tipo de series / películas te gustan más ? [Documentales]","¿Qué tipo de series / películas te gustan más ? [Otros]"
"2022/09/21 4:22:57 p. m. GMT-5","19","Masculino","Estudiante","Netflix","7","Smart TV","Sí","110","Entretenimiento ","Distracción ","20","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 4:23:14 p. m. GMT-5","20","Femenino","Estudiante","Netflix","9","Laptop","Sí","35","Entretenimiento","Distracción ","15","2","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"2022/09/21 4:23:34 p. m. GMT-5","20","Masculino","Estudiante","Netflix","6","Smart TV","Sí","10","Entretenimiento ","Perdida de tiempo","8","2","Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/21 4:23:46 p. m. GMT-5","19","Femenino","Estudiante","Netflix","6","Celular","Sí","10","Entretenimiento ","Procastinacion ","10","3","Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/21 4:23:57 p. m. GMT-5","18","Femenino","Estudiante","Otra","10","Celular","No","50","entretenimiento","distracción ","30","25","Excelente","No","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 4:24:02 p. m. GMT-5","22","Masculino","Estudiante","Otra","8","Celular","Sí","19","Entretenimiento ","Ninguna","15","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 4:25:33 p. m. GMT-5","20","Femenino","Estudiante","Netflix","7","Tablet","No","45","Entretenimiento ","Distracción ","18","1","Regular","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 4:30:38 p. m. GMT-5","18","Masculino","Estudiante","Netflix","10","Laptop","No","6","Para pasar el tiempo","Distracción ","1","1","Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/21 4:34:33 p. m. GMT-5","21","Femenino","Estudiante","Netflix","6","Celular","Sí","18","Entretenimiento","Distraccion","3","2","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 4:35:11 p. m. GMT-5","19","Masculino","Estudiante","Netflix","8","PC","Sí","30","Entretenimiento ","Distracción ","5","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 4:36:31 p. m. GMT-5","20","Masculino","Estudiante","Star+","1","PC","No","5","entretenimiento ","vicio ","1","1","Regular","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 4:41:30 p. m. GMT-5","34","Femenino","Trabajador independiente","HBO Max","9","Celular","No","69","Entretenimientos ","No hay variedad","21","2","Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"2022/09/21 4:44:46 p. m. GMT-5","33","Femenino","Trabajador dependiente","Netflix","10","Smart TV","Sí","50","Relajacion","Vicio","25","2","Excelente","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
