Edad,Gènero,Carrera,Ciclo,Peso,Estatura,Actividad_Física,Comidas_Rápidas,Hora_Almuerzo,Tiempo_Almuerzo,Tipo_Alimentación,Preferencia,Mayor_Consumo,Agua,Alimento_Universitario,Gastos_comidas_nosaludables,Promedio,Rendimiento_Academico,Alimentación_Rendimiento,IMC
20,Masculino,Ing. Electrónica,6,80,175,8,2,14 horas,10,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,40,15,Satisfecho,Sí,26.12
18,Femenino,Bioingenería,10,100,190,2,3,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,Mas de 3 litros,No,20,15,Neutral,Sí,27.7
17,Masculino,Ing. Mecatrónica,1,60,174,6,1,13 horas,20,Comida preparada en casa,Situación económica,Carbohidratos,1,No,5.8,15,Neutral,No,19.82
19,Masculino,Ing. Mecánica,2,81,189,15,3,12 horas,60,Comida de restaurante,Tiempo empleado,Carbohidratos,2,Sí,50,13.5,Neutral,Sí,22.68
19,Femenino,Ing. Civil,4,60,157,1,2,12 horas,75,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,Sí,20,13,Neutral,Sí,24.34
18,Masculino,Ciencias de la computación,2,70,172,0,1,13 horas,15,Comida preparada en casa,Otros,Carbohidratos,2,Sí,5,15.33,Poco satisfecho,Sí,23.66
17,Masculino,Ing. Civil,2,70,180,2,2,14 horas,35,Comida de restaurante,Situación económica,Grasas,2,No,20,14,Nada satisfecho,Sí,21.6
18,Femenino,Ciencia de datos,2,61,164,0,3,12 horas,20,Comida preparada en casa,Tiempo empleado,Carbohidratos,1,No,30,15,Poco satisfecho,Sí,22.68
17,Femenino,Bioingenería,2,48,161,0,5,15 horas,40,Comida envasada/congelada,Tiempo empleado,Carbohidratos,1.5,No,40,15,Poco satisfecho,Sí,18.52
20,Femenino,Ing. Ambiental,2,42,160,0,1,12 horas,30,Comida preparada en casa,Situación económica,Proteínas,1,Sí,10,16,Neutral,Sí,16.41
21,Femenino,Ing. Civil,5,75,169,1,2,16 horas,20,Comida preparada en casa,Situación económica,Frutas y Verduras,1,Sí,5,13,Poco satisfecho,Sí,26.26
18,Femenino,Ing. Civil,5,56,153,1,2,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,14,Poco satisfecho,Sí,23.92
18,Femenino,Bioingenería,4,50,156,8,1,13 horas,20,Comida preparada en casa,Otros,Carbohidratos,1.5,Sí,60,15,Neutral,No,20.55
20,Masculino,Ciencias de la computación,6,65,175,0,1,14 horas,30,Comida preparada en casa,Situación económica,Proteínas,1.5,Sí,5,14,Neutral,Sí,21.22
21,Femenino,Ing. Industrial,4,55,155,5,2,17 horas,20,Comida preparada en casa,Situación económica,Proteínas,1.5,Sí,30,14,Neutral,Sí,22.89
20,Femenino,Ing. Industrial,4,53,157,15,2,14 horas,60,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,No,20,14,Neutral,Sí,21.5
20,Masculino,Ing. Mecatrónica,4,60,165,5,5,13 horas,45,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,10,13,Neutral,Sí,22.04
22,Masculino,Ing. Civil,4,70,170,0,0,12 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,1,No,170,15,Nada satisfecho,Sí,24.22
19,Femenino,Ing. Ambiental,4,60,160,3,2,13 horas,45,Comida de restaurante,Otros,Carbohidratos,1.5,No,25,15,Neutral,Sí,23.44
20,Femenino,Ing. Industrial,4,50,152,2,2,12 horas,45,Comida de restaurante,Tiempo empleado,Proteínas,2,No,10,15,Poco satisfecho,Sí,21.64
18,Femenino,Ing. Mecánica,3,56,152,4,1,12 horas,20,Comida preparada en casa,Situación económica,Frutas y Verduras,1,No,4,18,Neutral,Sí,24.24
26,Masculino,Ciencias de la computación,8,61,161,2,1,12 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,Sí,20,15,Poco satisfecho,Sí,23.53
20,Femenino,Ing. Ambiental,6,51,162,2,2,13 horas,15,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,5,14,Neutral,Sí,19.43
26,Masculino,Ing. Mecatrónica,8,100,168,4,2,12 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,1.5,No,20,15,Neutral,Sí,35.43
21,Femenino,Ing. Industrial,4,51,157,1,2,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,No,50,16.45,Neutral,Sí,20.69
21,Femenino,Ing. Industrial,6,70,160,2,3,13 horas,30,Comida rápida/chatarra,Tiempo empleado,Carbohidratos,2,Sí,50,17.83,Neutral,Sí,27.34
