Marca temporal,¿Juegas videojuegos?,Género,Edad,Carrera,¿Qué manera de jugar te gusta más?,¿Prefieres juegos multiplayer o singleplayer?,¿Qué valoras más en un videojuego?,Plataforma en la que juega:,"Tiempo que dedica a jugar videojuegos
Ejem: 1 hora a la semana",¿Qué género de videojuego prefieres?,¿Qué compania crees que tiene mejores juegos?,Cantidad de dinero que gastas en video juegos en un año,¿Cuántos cursos estas llevando en el ciclo?,"¿Cual es tu promedio ponderado?
Valor comprendido entre 1 a 20. 
Ejm: 14.67","¿Cuantas horas al dia duermes?
Ejm: 4",¿Cuantos cursos desaprobados tienes?,Sigues los cursos que corresponden a tu ciclo actual. ¿Si o no?,¿Por qué no te gustan los videojuegos?
10/06/2022 16:08:58,Sí,Masculino,23,Bioingeniería,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",5,De Peleas,"Valve (Dota, Half Life, Portal, etc)",40,6,13.65,6,1,No,"Jugabilidad complicada, No me llama la atención"
10/06/2022 16:10:50,Sí,Masculino,20,Ingeniería Mecánica,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Historia,"XBox (360, One, Series S, Series X)",5,De Plataformas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",40,4,13.89,6,1,No,"Jugabilidad complicada, No tengo tiempo, El precio de las plataformas y/o juegos son caros"
10/12/2022 9:16:38,Sí,Masculino,21,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),5,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",10,5,12.00,6,2,Sí,
10/12/2022 9:19:09,Sí,Femenino,18,Ingeniería Ambiental,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),10,De Plataformas,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",100,7,12.23,7,1,Sí,Jugabilidad complicada
10/12/2022 9:21:26,Sí,Femenino,20,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,Celular,8,MOBAs,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",110,7,14.00,6,Ninguno,Sí,El precio de las plataformas y/o juegos son caros
10/12/2022 9:21:57,Sí,Masculino,19,Ingeniería Industrial,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",50,6,13.43,7,Ninguno,Sí,
10/12/2022 9:24:16,Sí,Masculino,20,Ingeniería Electrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),3,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",30,6,14.25,7,Ninguno,Sí,
10/12/2022 9:25:24,Sí,Masculino,17,Ingeniería Civil,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),4,MOBAs,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",60,7,15.00,7,Ninguno,Sí,Jugabilidad complicada
10/12/2022 9:26:20,Sí,Masculino,24,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Gráficos,PC (Computadora),6,RPGs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",45,5,12.38,5,3,No,
10/12/2022 9:27:13,Sí,Femenino,18,Ingeniería Electrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,Simulación,"Valve (Dota, Half Life, Portal, etc)",15,6,16.00,8,Ninguno,Sí,Jugabilidad complicada
10/12/2022 9:28:54,Sí,Femenino,20,Ingeniería Ambiental,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,MOBAs,"Valve (Dota, Half Life, Portal, etc)",20,7,17.32,8,Ninguno,Sí,Jugabilidad complicada
10/12/2022 9:30:38,Sí,Masculino,22,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),13,MOBAs,"Valve (Dota, Half Life, Portal, etc)",150,7,9.00,5,2,No,Jugabilidad complicada
10/12/2022 9:30:54,Sí,Femenino,20,Ingeniería Civil,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),1,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",10,6,13.96,7,Ninguno,Sí,
10/12/2022 9:31:21,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/12/2022 9:31:35,No,,,,,,,,,,,,,,,,,Prefiero realizar otras actividades
10/12/2022 9:32:03,No,,,,,,,,,,,,,,,,,Jugabilidad complicada
10/12/2022 9:32:15,No,,,,,,,,,,,,,,,,,Prefiero realizar otras actividades
10/12/2022 9:32:28,No,,,,,,,,,,,,,,,,,No me llama la atención
10/12/2022 9:32:38,Sí,Masculino,19,Ciencia de la Computación,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),4,MOBAs,"Valve (Dota, Half Life, Portal, etc)",20,7,16.00,7,Ninguno,Sí,Jugabilidad complicada
10/12/2022 9:32:46,No,,,,,,,,,,,,,,,,,Jugabilidad complicada
10/12/2022 9:33:20,No,,,,,,,,,,,,,,,,,Prefiero realizar otras actividades
10/12/2022 9:33:33,No,,,,,,,,,,,,,,,,,El precio de las plataformas y/o juegos son caros
10/12/2022 9:33:51,No,,,,,,,,,,,,,,,,,No me llama la atención
10/12/2022 9:34:07,Sí,Masculino,17,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Dificultad,PC (Computadora),3,MOBAs,"Valve (Dota, Half Life, Portal, etc)",30,8,15.00,7,Ninguno,Sí,"Jugabilidad complicada, No me llama la atención"
10/12/2022 9:34:31,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/12/2022 9:35:38,Sí,Femenino,18,Ingeniería Química,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Gráficos,Celular,1,RPGs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",10,7,18.00,8,Ninguno,Sí,"Jugabilidad complicada, No me llama la atención"
10/12/2022 9:36:19,Sí,Masculino,20,Bioingeniería,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),9,Shooters,"Valve (Dota, Half Life, Portal, etc)",150,5,12.28,7,Ninguno,No,
10/12/2022 9:37:11,Sí,Masculino,20,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),4,MOBAs,"Valve (Dota, Half Life, Portal, etc)",100,6,16.00,6,Ninguno,Sí,Jugabilidad complicada
10/12/2022 9:38:59,Sí,Femenino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,1,MMO,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",20,7,14.35,8,Ninguno,Sí,No me llama la atención
10/12/2022 9:40:56,Sí,Masculino,20,Ingeniería de la Energía,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),8,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",100,5,11.89,5,2,No,
10/12/2022 9:42:27,Sí,Femenino,20,Ciencia de la Computación,Co-Op (Coperativo),Multiplayer (Multijugador),Gráficos,Switch,6,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",80,6,13.79,7,Ninguno,Sí,
10/12/2022 9:42:36,Sí,Femenino,24,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,PC (Computadora),18,MMO,"CD Projekt Red (The Witcher, Cyberpunk 2077)",300,4,9.45,5,1,No,Prefiero realizar otras actividades
10/12/2022 9:44:26,Sí,Femenino,24,Ingeniería Civil,Co-Op (Coperativo),Multiplayer (Multijugador),Jugabilidad,"Play Station (PS1, PS2, PS3, PS4, PS5)",15,De Peleas,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",225,6,11.43,6,3,No,"No tengo tiempo, El precio de las plataformas y/o juegos son caros"
10/12/2022 9:56:19,Sí,Masculino,18,Ciencia de la Computación,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,De Peleas,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",100,5,13.78,7,Ninguno,No,
10/12/2022 9:59:05,Sí,Masculino,19,Ingeniería Electrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"XBox (360, One, Series S, Series X)",6,De Peleas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",60,6,12.48,7,Ninguno,Sí,
10/12/2022 10:02:39,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/12/2022 10:03:59,Sí,Masculino,22,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),4,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",40,6,14.23,6,Ninguno,No,
10/12/2022 10:08:08,Sí,Femenino,19,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,Shooters,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",20,5,13.87,5,1,No,
10/12/2022 10:11:21,Sí,Masculino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"XBox (360, One, Series S, Series X)",3,Shooters,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",35,5,13.79,6,Ninguno,No,
10/12/2022 10:13:18,Sí,Femenino,18,Bioingeniería,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,PC (Computadora),4,RPGs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",50,6,13.64,7,Ninguno,Sí,
10/12/2022 10:15:25,Sí,Masculino,18,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),9,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",120,5,10.79,5,2,No,
10/12/2022 10:17:01,Sí,Masculino,23,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),7,De Peleas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",70,6,11.79,6,3,No,
10/12/2022 10:18:46,Sí,Femenino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,Switch,7,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",100,5,13.37,7,Ninguno,Sí,
