"Fecha","Remuneracion Minima Real Noventa"
Ene91,159.135846793414
Feb91,145.43293676656
Mar91,135.03504887236
Abr91,127.584122084132
May91,118.529812593988
Jun91,108.484152350646
Jul91,99.4747164321513
Ago91,92.7589659413618
Sep91,87.8731030890187
Oct91,84.5324146001625
Nov91,81.3124222672802
Dic91,78.3812493586196
Ene92,75.701398260826
Feb92,136.943035149621
Mar92,127.455589524752
Abr92,123.535834702971
May92,119.430041999219
Jun92,115.29456340825
Jul92,111.420340575226
Ago92,108.357682679019
Sep92,105.591456873924
Oct92,101.88469072325
Nov92,98.4012761093405
Dic92,94.7541168698576
Ene93,90.3746583035605
Feb93,87.7989630547562
Mar93,84.2305812243496
Abr93,80.659678286802
May93,78.2854661058041
Jun93,76.8883822043681
Jul93,74.8384178208619
Ago93,72.9889794797013
Sep93,71.8248404921621
Oct93,70.7577651106827
Nov93,69.6406966273349
Dic93,67.93398210593
Ene94,66.7085305852877
Feb94,65.5156911472419
Mar94,64.0274180922329
Abr94,115.597677031852
May94,114.776174304415
Jun94,113.481803952313
Jul94,112.480836385791
Ago94,110.782616445674
Sep94,110.214853426367
Oct94,109.899741939431
Nov94,108.574276550325
Dic94,107.940380139069
Ene95,107.540127656743
Feb95,106.331888171971
Mar95,104.892738731184
Abr95,103.870066908066
May95,103.010230849151
Jun95,102.183855705641
Jul95,101.604553631346
Ago95,100.560952512655
Sep95,100.168814117953
Oct95,99.6614706102739
Nov95,98.4378263332664
Dic95,97.9244753282256
Ene96,96.7226678480619
Feb96,95.2615735603173
Mar96,93.9647101410169
Abr96,93.15311325447
May96,92.4803212459108
Jun96,92.0518421568409
Jul96,90.8041923400411
Ago96,89.9725373532705
Sep96,89.6818560136053
Oct96,145.007560547555
Nov96,144.332122770925
Dic96,142.612845076865
Ene97,141.929994597217
Feb97,141.803884640954
Mar97,172.582790598524
Abr97,194.623067821084
May97,193.164454294711
Jun97,191.088874595793
Jul97,189.518325283583
Ago97,189.089570151097
Sep97,216.818859349591
Oct97,216.490829649149
Nov97,216.322859381788
Dic97,214.951493546103
Ene98,213.020867054765
Feb98,210.42299041144
Mar98,207.683974523727
Abr98,206.422508067564
May98,205.204694039634
Jun98,204.122065071498
Jul98,202.848045068308
Ago98,202.313050228946
Sep98,203.407340391101
Oct98,204.090772640998
Nov98,204.028722587821
Dic98,202.771431847996
Ene99,202.743007729505
Feb99,202.106468015877
Mar99,200.87690826026
Abr99,199.699314788866
May99,198.762805426152
Jun99,198.40644981788
Jul99,197.885545153294
Ago99,197.547537907885
Sep99,196.643024939267
Oct99,196.880796234852
Nov99,196.33620482365
Dic99,195.486805530123
Ene00,195.351417183793
Feb00,194.417958779354
Mar00,219.226486949053
Abr00,228.633916825254
May00,228.595601774781
Jun00,228.448741629494
