"Fecha","Reservas Internacionales Netas"
Dic94,12464.16800026
Ene95,12530.01800022
Feb95,12758.60240032
Mar95,12823.0963996
Abr95,12680.96690112
May95,12719.7076005
Jun95,13492.09889995
Jul95,13360.51139891
Ago95,13754.08419975
Sep95,13792.22569984
Oct95,13768.05460108
Nov95,14503.08799888
Dic95,15339.97599981
Ene96,15602.69430005
Feb96,15548.36970056
Mar96,16023.64760045
Abr96,16003.87809897
May96,16612.81239904
Jun96,17584.96749892
Jul96,20481.76909908
Ago96,20596.86010068
Sep96,21288.62840009
Oct96,21234.30780032
Nov96,21729.7169994
Dic96,22204.9693008
Ene97,22830.57139968
Feb97,24111.8012009
Mar97,24307.44800055
Abr97,25028.59370032
May97,25515.60349935
Jun97,25634.7396013
Jul97,25984.27769966
Ago97,26165.04409955
Sep97,25885.47439955
Oct97,27603.2672979
Nov97,27748.8081984
Dic97,27659.8789136
Ene98,28230.5662986
Feb98,28574.9841069
Mar98,28797.6528062
Abr98,29592.1157117
May98,29488.8356048
Jun98,30469.3044
Jul98,30247.8390022
Ago98,30823.5091094
Sep98,30594.8381904
Oct98,30457.35389874
Nov98,30286.83270065
Dic98,28927.8746001
Ene99,31222.67610035
Feb99,31553.97249856
Mar99,29377.66449843
Abr99,29541.15919962
May99,29190.38340033
Jun99,28984.60339965
Jul99,29240.06129937
Ago99,29216.920941
Sep99,29848.9411014
Oct99,30283.7820605
Nov99,29951.676278
Dic99,29496.7307349
Ene00,30661.9401031
Feb00,30303.623619
Mar00,30635.3699952
Abr00,30536.7745308
May00,31419.8143155
Jun00,30397.7853186
Jul00,30615.9242671
Ago00,30353.7871076
Sep00,30689.9878077
Oct00,29711.8230435
Nov00,29799.2043888
Dic00,28875.3254817
Ene01,28950.3437356
Feb01,28302.8482259
Mar01,28551.63872
Abr01,29175.770963
May01,29777.4544992
Jun01,29362.3332992
Jul01,30362.9348766
Ago01,30223.5996629
Sep01,30203.6255004
Oct01,30342.833904
Nov01,30160.7775416
Dic01,29629.8924208
Ene02,30161.520006
Feb02,31326.4647508
Mar02,30312.2928135
Abr02,31205.0782778
May02,31705.6796904
Jun02,32033.4180192
Jul02,34155.7113108
Ago02,35687.5327354
Sep02,35877.8732676
Oct02,35570.531196
Nov02,34282.2504843
Dic02,33689.3630112
Ene03,34217.2011636
Feb03,35763.8694156
Mar03,36237.0751211
Abr03,36180.1532474
May03,36259.806135
Jun03,34689.2972361
Jul03,34663.222511
Ago03,33891.9541344
Sep03,33948.9583092
Oct03,34039.0155579
Nov03,35853.8096328
Dic03,35272.294435
Ene04,36972.866105
Feb04,36445.4564633
Mar04,36022.3984918
Abr04,36439.1138604
May04,37775.0186542
Jun04,37666.1810881
Jul04,37813.4795916
Ago04,36833.7372144
Sep04,37363.3271994
Oct04,40390.4636028
Nov04,40836.9562893
Dic04,41429.7466168
Ene05,42786.7253914
Feb05,43448.8594926
Mar05,44187.786382
Abr05,44429.7231092
May05,45552.5859425
Jun05,44908.1184175
Jul05,49668.3089175
Ago05,44690.972028
Sep05,45742.7525326
Oct05,45788.2506874
Nov05,46181.370499
Dic05,48352.9001935
Ene06,46801.1464196
Feb06,46022.6451097
Mar06,48627.1113552
Abr06,47971.7423181
May06,46832.6196191
Jun06,46994.0908454
Jul06,47425.8969972
Ago06,49828.5038664
Sep06,49309.65507
Oct06,50308.97217
Nov06,53044.4630506
Dic06,55279.42208
Ene07,57117.989536
Feb07,57853.1648046
Mar07,58598.069403
Abr07,62461.6159026
May07,67428.6965106
Jun07,68243.7199946
Jul07,73732.3158976
Ago07,76059.6150072
Sep07,70536.6482016
Oct07,74669.10132
Nov07,79042.78149
Dic07,83066.28312
Ene08,90058.1755324
Feb08,93364.3819628
Mar08,92335.102805
Abr08,101531.828607
May08,99000.9001108
Jun08,105489.808974
Jul08,98256.1951116
Ago08,103006.599807
Sep08,103411.1484566
Oct08,98672.5350825
Nov08,96007.618326
Dic08,97955.0836728
Ene09,95711.043273
Feb09,95589.6994
Mar09,97737.0813076
Abr09,92926.0681544
May09,93253.8007388
Jun09,92679.2528144
Jul09,95945.2853879
Ago09,94266.187351
Sep09,92855.4946944
Oct09,95468.526089
Nov09,96273.47592
Dic09,95760.1937835
Ene10,98218.8803596
Feb10,99777.405486
Mar10,100162.918998
Abr10,99889.7916165
May10,98292.7999572
Jun10,100016.1471425
Jul10,108950.2333746
Ago10,112571.661804
Sep10,118475.6115789
Oct10,120275.980664
Nov10,124815.3873628
Dic10,123935.2384948
Ene11,123295.0443341
Feb11,128161.9030885
Mar11,129154.705204
Abr11,131164.8712176
May11,128270.4661473
Jun11,129667.1372425
Jul11,130625.7546392
Ago11,132446.7359943
Sep11,133147.7912636
Oct11,131967.2303958
Nov11,132434.903556
Dic11,131802.985188
Ene12,136731.6716668
Feb12,142884.8113348
Mar12,148956.5532108
Abr12,151772.3670144
May12,154150.1399737
Jun12,152790.428799
Jul12,152487.2582956
Ago12,156003.2403084
Sep12,159017.60225
Oct12,160332.0010509
Nov12,163096.1210124
Dic12,163178.175366
Ene13,172900.3004256
Feb13,175159.8222759
Mar13,175907.8832476
Abr13,180193.1151768
May13,182269.4383692
Jun13,185377.9861196
Jul13,188645.161986
Ago13,187244.9217788
Sep13,185507.3925898
Oct13,183903.3729826
Nov13,185582.107256
Dic13,183856.670256
Ene14,183508.1558184
Feb14,182494.227552
Mar14,182520.0446374
Abr14,181888.9912478
May14,179023.1352667
Jun14,180827.2067
Jul14,183500.284772
Ago14,184174.4317084
Sep14,186268.8410602
Oct14,185506.5795476
Nov14,184689.0570444
Dic14,185678.1450924
Ene15,191613.640761
Feb15,191259.6433848
Mar15,190102.043845
Abr15,192892.0494831
May15,190905.4523112
Jun15,190854.7433502
Jul15,190550.778935
Ago15,196385.0631444
Sep15,197835.0920476
Oct15,204544.8051241
Nov15,209602.1226372
Dic15,209663.4736724
Ene16,208135.7225528
Feb16,211896.9114944
Mar16,204064.5210102
Abr16,200977.035064
May16,204286.8791726
Jun16,195965.5291727
Jul16,205248.4328832
Ago16,209395.4631141
Sep16,209354.82966
Oct16,208349.7518256
Nov16,209250.1163368
Dic16,207263.4192048
Ene17,205236.95786
Feb17,203068.5920616
Mar17,203083.0657375
Abr17,204112.58526
May17,207363.2573232
Jun17,203453.7655475
Jul17,204282.4496472
Ago17,200896.7274072
Sep17,210456.1495125
Oct17,206570.87412
Nov17,203435.1062469
Dic17,206132.1953256
Ene18,207012.4180726
Feb18,201744.1954478
Mar18,200364.0357806
Abr18,195618.9726725
May18,196413.1943208
Jun18,193189.4696931
Jul18,198806.11806
Ago18,198906.91854
Sep18,191203.685607
Oct18,197118.7972053
Nov18,200728.2445818
Dic18,202608.673882
Ene19,207724.052264
Feb19,208737.642017
Mar19,209463.132847
Abr19,214760.55702
May19,223462.758415
Jun19,218826.359524
Jul19,220952.463284
Ago19,232114.189448
Sep19,229367.244728
Oct19,227754.103419
Nov19,227020.915031
Dic19,226125.611379
Ene20,231187.44273
Feb20,233256.769756
Mar20,233995.773255
Abr20,248877.254908
May20,251896.225532
Jun20,252931.980599
Jul20,262405.096053
Ago20,264324.007569
Sep20,260474.001247
Oct20,261610.326219
Nov20,258921.607491
Dic20,270439.018701
Ene21,278364.937403
Feb21,277505.213163
Mar21,299706.488964
Abr21,292072.851667
May21,279125.32181
Jun21,277504.554908
Jul21,287385.654012
Ago21,303653.442382
Sep21,314740.804367
Oct21,297250.81122
Nov21,317565.840425
Dic21,311627.095978
Ene22,296153.265543
Feb22,288960.386042
Mar22,277944.892397
Abr22,290961.623993
May22,281604.538117
Jun22,280139.468576
Jul22,290433.515977
Ago22,284024.544391
Sep22,295319.505513
Oct22,294572.613799
Nov22,282724.978594
Dic22,273875.621808
Ene23,282135.635454
Feb23,280761.180416
Mar23,273481.368925
Abr23,276733.78895
