ID,Nombre,Ano_de_publicacion,Min_jugadores,Max_jugadores,Min_tiempo_de_juego,Max_tiempo_de_juego,Min_edad,Min_comunidad,Max_comunidad,Dependencia_lenguaje,Nota,Complejidad,Cnt_partidas_jugadas,Premios,Categorias
174430,Gloomhaven,2017,1,4,60,120,12,3,4,4,8.85292,3.8078,230213,23,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
161936,Pandemic Legacy  Season 1,2015,2,4,60,60,13,4,4,4,8.62499,2.8301,196621,20,"['Environmental', 'Medical']"
167791,Terraforming Mars,2016,1,5,120,120,12,3,4,3,8.42299,3.2313,245997,20,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']"
182028,Through the Ages  A New Story of Civilization,2015,2,4,120,120,14,3,4,4,8.49419,4.385,54284,3,"['Card Game', 'Civilization', 'Economic']"
224517,Brass  Birmingham,2018,2,4,60,120,14,3,4,1,8.62031,3.9122,23336,6,"['Economic', 'Industry / Manufacturing', 'Transportation']"
233078,Twilight Imperium (Fourth Edition),2017,3,6,240,480,14,6,6,4,8.68965,4.1966,13303,2,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration']"
12333,Twilight Struggle,2005,2,2,120,180,13,2,2,4,8.31307,3.5724,95106,13,"['Modern Warfare', 'Political', 'Wargame']"
187645,Star Wars  Rebellion,2016,2,4,180,240,14,2,2,4,8.42602,3.6939,28271,12,"['Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
220308,Gaia Project,2017,1,4,60,150,12,3,4,1,8.50686,4.3131,37226,10,"['Civilization', 'Economic', 'Science Fiction', 'Space Exploration', 'Territory Building']"
169786,Scythe,2016,1,5,90,115,14,4,5,3,8.26056,3.381,151857,23,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']"
193738,Great Western Trail,2016,2,4,75,150,12,3,4,1,8.28272,3.6929,71897,18,"['American West', 'Animals']"
115746,War of the Ring (Second Edition),2012,2,4,150,180,13,2,2,4,8.44938,4.0746,16128,0,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building']"
162886,Spirit Island,2017,1,4,90,120,13,2,4,4,8.32434,3.9388,63992,10,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']"
120677,Terra Mystica,2012,2,5,60,150,12,4,5,1,8.17255,3.9518,103974,22,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']"
84876,The Castles of Burgundy,2011,2,4,30,90,12,2,4,1,8.12741,3.0014,170044,10,"['Dice', 'Medieval', 'Territory Building']"
173346,7 Wonders Duel,2015,2,2,30,30,10,2,2,1,8.10825,2.2202,175855,16,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
180263,The 7th Continent,2017,1,4,5,1000,14,1,3,4,8.36074,2.8606,41182,12,"['Adventure', 'Card Game', 'Exploration', 'Science Fiction']"
124361,Concordia,2013,2,5,100,100,13,4,5,3,8.11021,3.0568,75888,7,"['Ancient', 'Economic', 'Nautical']"
