Fecha UTC,Fecha,profundidad (km),magnitud (M)
01/01/1995,Ene-95,19,4.8
02/01/1995,Ene-95,12,4.9
03/01/1995,Ene-95,243,4.2
04/01/1995,Ene-95,23,4.8
05/01/1995,Ene-95,55,4.9
06/01/1995,Ene-95,79,4.9
06/01/1995,Ene-95,33,4.5
07/01/1995,Ene-95,39,4.7
08/01/1995,Ene-95,8,4.6
08/01/1995,Ene-95,102,5.6
10/01/1995,Ene-95,31,4.5
10/01/1995,Ene-95,171,5.2
10/01/1995,Ene-95,153,4.6
11/01/1995,Ene-95,28,4.5
11/01/1995,Ene-95,57,5.7
14/01/1995,Ene-95,18,4.9
15/01/1995,Ene-95,32,4.6
16/01/1995,Ene-95,21,5
17/01/1995,Ene-95,80,4.9
17/01/1995,Ene-95,99,4.5
17/01/1995,Ene-95,34,4.5
20/01/1995,Ene-95,25,5
21/01/1995,Ene-95,42,4.5
22/01/1995,Ene-95,43,4.6
23/01/1995,Ene-95,50,4.5
27/01/1995,Ene-95,174,4.7
28/01/1995,Ene-95,59,4.6
29/01/1995,Ene-95,27,4.9
29/01/1995,Ene-95,87,4.5
29/01/1995,Ene-95,143,4.4
31/01/1995,Ene-95,38,4.8
02/02/1995,Feb-95,100,4.4
04/02/1995,Feb-95,84,4.6
04/02/1995,Feb-95,35,4.7
04/02/1995,Feb-95,15,4.9
06/02/1995,Feb-95,22,4.6
08/02/1995,Feb-95,93,4.5
09/02/1995,Feb-95,23,5.3
09/02/1995,Feb-95,10,4.6
10/02/1995,Feb-95,32,4.5
10/02/1995,Feb-95,41,5.1
11/02/1995,Feb-95,22,4.9
11/02/1995,Feb-95,64,4.6
12/02/1995,Feb-95,31,5.9
12/02/1995,Feb-95,41,4.5
12/02/1995,Feb-95,87,4.5
12/02/1995,Feb-95,21,4.7
12/02/1995,Feb-95,173,4.9
13/02/1995,Feb-95,160,4.5
14/02/1995,Feb-95,6,5.2
15/02/1995,Feb-95,134,4.6
16/02/1995,Feb-95,36,5.6
16/02/1995,Feb-95,28,5
16/02/1995,Feb-95,9,4.9
17/02/1995,Feb-95,57,4.8
17/02/1995,Feb-95,129,4.5
18/02/1995,Feb-95,17,5
19/02/1995,Feb-95,36,4.9
19/02/1995,Feb-95,25,4.7
20/02/1995,Feb-95,135,4.6
20/02/1995,Feb-95,15,4.5
20/02/1995,Feb-95,40,4.9
20/02/1995,Feb-95,30,4.5
21/02/1995,Feb-95,13,4.6
21/02/1995,Feb-95,6,4.6
21/02/1995,Feb-95,27,4.5
21/02/1995,Feb-95,55,4.9
22/02/1995,Feb-95,102,5.7
22/02/1995,Feb-95,24,4.6
24/02/1995,Feb-95,28,4.9
25/02/1995,Feb-95,124,4.8
27/02/1995,Feb-95,57,4.5
27/02/1995,Feb-95,7,4.7
27/02/1995,Feb-95,89,4.7
28/02/1995,Feb-95,230,4.7
01/03/1995,Mar-95,139,4.5
02/03/1995,Mar-95,14,4.5
02/03/1995,Mar-95,99,4.5
04/03/1995,Mar-95,41,4.8
04/03/1995,Mar-95,27,4.8
06/03/1995,Mar-95,49,4.5
07/03/1995,Mar-95,10,5
08/03/1995,Mar-95,166,5.2
08/03/1995,Mar-95,47,4.7
09/03/1995,Mar-95,90,4.9
11/03/1995,Mar-95,144,4.7
13/03/1995,Mar-95,7,4.5
13/03/1995,Mar-95,35,4.6
13/03/1995,Mar-95,89,5.1
13/03/1995,Mar-95,134,4.8
14/03/1995,Mar-95,26,4.5
18/03/1995,Mar-95,8,4.5
18/03/1995,Mar-95,49,4.8
20/03/1995,Mar-95,110,4.8
20/03/1995,Mar-95,65,4.9
22/03/1995,Mar-95,34,4.5
24/03/1995,Mar-95,95,4.7
24/03/1995,Mar-95,172,4.3
25/03/1995,Mar-95,61,5.3
25/03/1995,Mar-95,33,5.2
26/03/1995,Mar-95,141,4.7
26/03/1995,Mar-95,19,4.5
27/03/1995,Mar-95,96,4.7
27/03/1995,Mar-95,10,4.9
27/03/1995,Mar-95,20,4.9
29/03/1995,Mar-95,126,4.8
30/03/1995,Mar-95,31,4.7
02/04/1995,Abr-95,9,4.6
02/04/1995,Abr-95,100,4.9
02/04/1995,Abr-95,32,5.2
02/04/1995,Abr-95,140,4.6
03/04/1995,Abr-95,93,4.6
03/04/1995,Abr-95,34,4.8
05/04/1995,Abr-95,49,4.7
05/04/1995,Abr-95,11,4.5
05/04/1995,Abr-95,20,4.6
06/04/1995,Abr-95,27,4.5
06/04/1995,Abr-95,22,5.1
06/04/1995,Abr-95,75,4.9
06/04/1995,Abr-95,17,4.5
07/04/1995,Abr-95,45,4.7
09/04/1995,Abr-95,57,4.8
11/04/1995,Abr-95,50,4.7
11/04/1995,Abr-95,61,4.8
14/04/1995,Abr-95,203,5.3
14/04/1995,Abr-95,137,4
15/04/1995,Abr-95,53,4.7
15/04/1995,Abr-95,11,4.8
18/04/1995,Abr-95,31,4.5
18/04/1995,Abr-95,71,4.8
18/04/1995,Abr-95,54,4.8
20/04/1995,Abr-95,137,4.8
21/04/1995,Abr-95,79,4.5
24/04/1995,Abr-95,158,4.6
24/04/1995,Abr-95,65,4.7
25/04/1995,Abr-95,21,4.6
27/04/1995,Abr-95,86,4.9
28/04/1995,Abr-95,33,5.1
30/04/1995,Abr-95,36,4.5
30/04/1995,Abr-95,18,4.7
01/05/1995,May-95,9,4.5
01/05/1995,May-95,137,4.9
