Marca temporal," Si ya llevaste el curso de ""Estadística y Probabilidades I"" o no es la 1ra vez que lo llevas responde ""Sí"", caso contrario responde ""No""",¿En qué carrera estabas cuando cursaste el curso? (USA EL SIGUIENTE FORMATO: ingenieria *tu_carrera*) (TODO EN MINÚSCULAS Y SIN TILDE),Sexo,¿En qué ciclo te encontrabas cuando cursaste el curso? ,¿Cómo te sentías anímicamente de manera regular durante el semestre en el cual tomaste el curso? (Tu estado de ánimo),¿Vivías solo durante ese ciclo académico? (vivir independientemente),¿Sufriste de alguna enfermedad durante ese periodo académico?,¿Qué tan activamente social fuiste durante ese periodo académico?,¿En qué año cursaste el curso? (ejem: 2017),"¿Qué edad tenías cuando cursaste el curso? (poner solo el valor numérico, ejem: 19)","¿Cuántas horas de actividad física realizabas semanalmente? (poner solo el valor numérico, ejem: 5.5)","¿Cuántas horas extraacadémicas  semanales le dedicabas al curso? (excluyendo las mentorías, asesorías y clases) (poner solo el valor numérico, ejem: 5.5)","¿Cantidad de horas recreativas semanales? (Ejemplo: salir con amigos, ir al cine, videojuegos, etc.) (poner solo el valor numérico, ejem: 4)","¿Cuántos cursos llevabas durante ese ciclo académico?(incluyendo el curso de estadística) (poner solo el valor numérico, ejem: 5)","¿Cuántas veces al día comías? (poner solo el valor numérico, ejem: 3)","Aprobaste, desaprobaste o te retiraste del curso durante ese ciclo? "
26/04/2022 22:13:11,No,,,,,,,,,,,,,,,
26/04/2022 22:25:38,No,,,,,,,,,,,,,,,
26/04/2022 22:47:19,No,,,,,,,,,,,,,,,
26/04/2022 22:57:42,Sí,ingenieria mecanica,Masculino,III,Normal,No,No,No muy sociable,2021,17,7,2,2,8,3,
26/04/2022 23:09:12,Sí,ingeniera electronica,Masculino,III,Normal,No,No,Sociable,2021,20,0,2,4,7,3,
27/04/2022 5:38:45,Sí,ingenieria quimica,Masculino,III,Bien,No,No,Sociable,2021,24,3,2,6,5,3,Desaprobado
27/04/2022 8:59:54,Sí,INGENIERIA MECATRONICA,Masculino,II,Triste o deprimido,No,Sí,No muy sociable,2020,17,0.5,3,0,8,3,Retirado
27/04/2022 22:24:58,Sí,ingenieria quimica,Masculino,III,Normal,No,No,Muy sociable,2018,18,5,4,25,5,3,Aprobado
28/04/2022 17:00:38,Sí,Ingenieria mecatronica ,Masculino,III,Mal,No,Sí,No muy sociable,2021,21,2,0,3,6,2,Retirado
29/04/2022 0:40:23,No,,,,,,,,,,,,,,,
29/04/2022 22:40:29,Sí,bioingenieria,Masculino,III,Normal,No,Sí,Sociable,2021,18,2,5,2,6,3,Aprobado
30/04/2022 11:28:28,Sí,ingenieria civil,Masculino,III,Normal,No,Sí,Sociable,2021,20,3,3,4,6,3,Retirado
30/04/2022 22:42:02,No,,,,,,,,,,,,,,,
1/05/2022 12:23:02,No,,,,,,,,,,,,,,,
1/05/2022 17:46:02,No,,,,,,,,,,,,,,,
2/05/2022 8:14:59,Sí,ingenieria mecanica,Masculino,IV,Bien,No,No,Sociable,2020,20,6,7,5,5,3,Aprobado
2/05/2022 15:35:17,Sí,bioingenieria,Femenino,IV,Triste o deprimido,No,No,No sociable,2021,19,0,3,6,6,3,Retirado
2/05/2022 17:25:49,Sí,ciencia de la computación,Femenino,II,Normal,No,No,No muy sociable,2017,17,0,4,5,5,3-4,Aprobado
2/05/2022 21:01:49,Sí,Ingeniería civil,Masculino,III,Normal,No,No,Sociable,2021,18,2,3,2,6,3,Aprobado
2/05/2022 21:33:04,No,,,,,,,,,,,,,,,
3/05/2022 19:38:12,No,,,,,,,,,,,,,,,
3/05/2022 19:51:55,No,,,,,,,,,,,,,,,
3/05/2022 23:35:25,No,,,,,,,,,,,,,,,
3/05/2022 23:37:11,No,,,,,,,,,,,,,,,
4/05/2022 1:11:23,No,,,,,,,,,,,,,,,
4/05/2022 13:39:03,Sí,ciencia de la computacion,Masculino,III,Normal,No,No,Sociable,2020,18,3,20,10,6,3,Aprobado
4/05/2022 14:04:06,Sí,ciencia de la computacion,Masculino,VI,Bien,No,Sí,No muy sociable,2021,19,0,5,10,6,3,Desaprobado
4/05/2022 14:06:01,Sí,cs,Masculino,VII,Excelente,Sí,No,Sociable,2021,19,5,9,4,6,2,Aprobado
4/05/2022 15:59:56,No,,,,,,,,,,,,,,,
4/05/2022 22:16:39,Sí,ingenieria civil,Masculino,III,Normal,Sí,No,No muy sociable,2021,18,5,3,4,6,3,Aprobado
4/05/2022 22:35:08,No,,,,,,,,,,,,,,,
4/05/2022 22:35:55,No,,,,,,,,,,,,,,,
4/05/2022 22:36:59,Sí,ingenieria industrial,Femenino,II,Excelente,Sí,No,Sociable,2018,19,6,2,6,7,3,Retirado
4/05/2022 22:37:23,Sí,Mecatronica,Masculino,III,Normal,No,No,Sociable,2021,22,5,12,3,5,3,Aprobado
4/05/2022 22:41:31,Sí,mecanica,Masculino,III,Mal,No,No,Sociable,2021,21,4,5,8,6,3,Retirado
4/05/2022 22:43:37,Sí,ingenieria de la energia,Femenino,IV,Mal,No,No,No muy sociable,2020,18,3,4,7,5,4,Desaprobado
5/05/2022 9:04:22,Sí,bioingenieria,Masculino,IV,Normal,No,No,No muy sociable,2020,18,3,6,4,6,4,Aprobado
5/05/2022 9:08:45,Sí,ciencia de la computacion,Masculino,IV,Mal,Sí,Sí,No muy sociable,2021,18,4,6,4,5,3,Desaprobado
5/05/2022 9:31:29,Sí,ingenieria electronica,Femenino,III,Excelente,No,No,Muy sociable,2021,19,2,7,2,5,5,Aprobado
5/05/2022 9:37:40,Sí,Energia,Masculino,IV,Excelente,No,No,Muy sociable,2020,20,12,8,7,4,3,Aprobado
5/05/2022 9:37:49,Sí,ingenieria mecanica,Femenino,II,Normal,No,No,Sociable,2018,18,3,4,3,6,4,Aprobado
5/05/2022 9:41:51,Sí,ingenieria civil,Masculino,V,Bien,No,Sí,Sociable,2020,19,3,3,2,6,4,Retirado
5/05/2022 9:48:14,Sí,industrial,Femenino,III,Excelente,No,Sí,No sociable,2021,18,2,8,6,4,3,Aprobado
5/05/2022 9:48:38,Sí,ciencia de datos,Femenino,III,Excelente,No,No,Sociable,2021,19,2,3,1,6,5,Aprobado
5/05/2022 9:52:58,Sí,ingenieria civil,Masculino,IV,Mal,Sí,No,No sociable,2019,18,4,2,4,5,5,Desaprobado
5/05/2022 9:56:31,Sí,computer science,Masculino,V,Bien,Sí,No,Sociable,2019,21,6,9,6,7,5,Retirado
5/05/2022 9:57:00,Sí,ingenieria mecatronica,Femenino,III,Bien,Sí,Sí,Sociable,2020,18,0,4,3,6,3,Aprobado
5/05/2022 9:58:59,Sí,mecatronica,Masculino,IV,Mal,Sí,No,No muy sociable,2019,21,3,9,3,5,2,Retirado
5/05/2022 10:01:06,Sí,mecanica,Femenino,IV,Normal,No,Sí,Sociable,2020,19,5,8,5,6,3,Aprobado
5/05/2022 10:02:35,Sí,mecanica,Masculino,VI,Normal,Sí,No,Sociable,2019,22,6,10,8,6,4,Aprobado
5/05/2022 10:03:15,Sí,ingenieria mecatronica,Masculino,III,Bien,No,No,Sociable,2020,19,2,5,3,6,3,Aprobado
5/05/2022 10:05:18,Sí,civil,Femenino,VI,Bien,No,Sí,No muy sociable,2019,21,3,9,7,4,2,Aprobado
5/05/2022 10:06:17,Sí,ingenieria electronica,Femenino,IV,Mal,Sí,Sí,No muy sociable,2021,18,1,2,4,6,4,Desaprobado
