"","Fecha","AGUAYTIA.Lote.31.C","CNPC.PERU.Lote.X","MONTERRICO.Lote.II","OLYMPIC.Lote.XIII","PETROPERÚ.Lote.I.T.","PLUSPETROL.Lote.56","PLUSPETROL.Lote.88","REPSOL.Lote.57","SAPET.Lote.VII_VI","SAVIA.Lote.Z.2B"
"2",2022-01-01,0,423592,60515,448214,77938,8548663,17220326,5644692,113239,271406
"3",2022-01-02,0,420987,46451,464603,77927,9739074,16887063,6589012,112956,318385
"4",2022-01-03,0,419004,50176,484841,79170,10736816,17716527,6603072,115419,319444
"5",2022-01-04,0,420760,58553,455579,75840,10745127,16307913,6617309,68980,320119
"6",2022-01-05,0,417673,58594,415076,84487,10779450,15876104,6650367,112106,319014
"7",2022-01-06,0,417702,68384,393148,77949,10125982,18524556,6691420,133514,312495
"8",2022-01-07,0,416711,70601,479871,80658,9794043,20376834,6576301,130371,315681
"9",2022-01-08,0,421553,57232,447485,78912,9792204,20682068,6612547,126123,318961
"10",2022-01-09,468759,422884,68086,410600,84685,10771265,19959926,6523071,120375,311848
"11",2022-01-10,126663,418325,69134,474329,82196,10802505,22503058,6484370,124962,317384
"12",2022-01-11,2973,419344,65311,475888,81165,10767721,22346834,6468779,120148,315977
"13",2022-01-12,576194,417504,70543,477706,83086,10761929,22496316,6496207,120573,311435
"14",2022-01-13,96459,421779,74670,367926,81837,10825862,22777673,6426924,111965,315152
"15",2022-01-14,0,419826,74985,453865,80196,10733058,22263305,6500347,122952,317664
"16",2022-01-15,0,418919,79121,401092,78265,10737711,21321250,6479446,122584,318480
"17",2022-01-16,0,418891,74144,481129,77880,10741787,22814436,6476263,122923,317181
"18",2022-01-17,0,406262,72584,495374,70045,10675822,23863549,6599221,126236,292113
"19",2022-01-18,0,415408,70718,478180,72168,9345267,23740074,6628345,125274,317199
"20",2022-01-19,0,418240,77494,478150,84204,10716216,21579714,6622845,125189,316869
"21",2022-01-20,0,421185,76212,523175,82031,10647069,21043801,6596916,114768,312504
"22",2022-01-21,0,417985,79980,513814,81271,10680977,20517832,6573778,126718,318361
"23",2022-01-22,0,419259,68900,488772,80365,10654715,21079688,6563292,124877,319736
"24",2022-01-23,3416,418948,71855,492490,80840,10660567,21982331,6515383,122074,300468
"25",2022-01-24,290,416201,79663,556210,81177,9588238,24500663,6510932,118591,300579
"26",2022-01-25,0,413907,66150,525606,79967,8680451,26290770,6508893,122131,316575
"27",2022-01-26,61276,409575,73449,540299,78812,10117683,24631289,6457656,119695,315285
"28",2022-01-27,685002,404619,76772,540504,79117,11485400,23479839,6524954,115419,318771
"29",2022-01-28,195603,408442,70498,539513,77924,12341374,20190760,6464630,114881,320362
"30",2022-01-29,3421,403487,60138,512951,76984,12364011,20042649,6456881,118223,342197
"31",2022-01-30,661556,402212,53898,518785,77491,10014189,21068555,5792653,117968,341913
"32",2022-01-31,706641,406460,57525,537969,77879,12314252,24831771,6447961,123093,343591
"34",2022-02-01,2294,414644,13712,491570,53782,14655313,18554746,3654831,127879,168696
"35",2022-02-02,2520,413822,21925,496350,51433,14635637,18883495,3693978,128757,150099
"36",2022-02-03,540310,414955,18955,520487,49023,14501926,19080872,3739418,130342,164611
"37",2022-02-04,70580,414360,23173,499843,63025,14837487,17980393,3670254,130116,165696
"38",2022-02-05,57,417277,26677,515839,74415,14853294,16794192,3663823,122385,328062
"39",2022-02-06,0,414304,24705,480342,77661,14900236,16145688,3665986,115504,172033
"40",2022-02-07,0,416796,27671,457407,69838,13886543,18516577,3769493,119186,147106
"41",2022-02-08,0,415521,39712,475932,64854,14643734,18875513,3721434,115788,177251
"42",2022-02-09,0,408980,40288,464476,76347,11771355,18707761,6762513,122131,196175
"43",2022-02-10,0,413284,35065,466886,72216,11678413,18575250,6854610,122074,182829
"44",2022-02-11,0,401788,42307,440192,77881,11867870,18375465,6838356,120941,218120
"45",2022-02-12,0,416173,42912,457867,77753,12771129,18167001,5089987,115759,177336
"46",2022-02-13,10588,416229,41936,480575,76432,12744873,16025667,6265178,121762,304995
"47",2022-02-14,565813,419684,41676,533222,77467,12528559,18047362,6320413,115306,161528
"48",2022-02-15,346724,409263,39756,560110,76916,12464868,18382646,6377429,124792,133439
"49",2022-02-16,0,410169,40833,591657,77372,12120166,17517729,6704644,121593,146392
"50",2022-02-17,2577,408386,39705,581401,76502,9611075,20060775,6683534,121111,141356
"51",2022-02-18,2917,405242,40511,555223,74567,9396424,18937672,6693133,119355,136436
"52",2022-02-19,296883,401618,5177,568278,76408,11559791,16109777,6743212,130201,142140
"53",2022-02-20,246957,402750,0,546258,75126,11537746,15258645,6724953,124736,149200
"54",2022-02-21,454673,405667,28593,553732,71466,9285134,21131301,6576462,125812,130431
"55",2022-02-22,154445,403657,39340,547676,74835,12057264,18468394,6724633,128020,119366
"56",2022-02-23,2832,404336,44083,570908,63942,11889835,20023128,6669916,129238,275017
"57",2022-02-24,0,403883,34263,584846,77337,11920203,20754163,6747465,127228,275388
"58",2022-02-25,0,403968,33800,575454,75384,12071956,21064083,5089384,124169,106588
"59",2022-02-26,0,410934,40606,563593,73950,12117337,18694729,6559874,121423,101765
"60",2022-02-27,0,399494,13711,525051,74343,11512530,18784873,6794409,120403,99894
"61",2022-02-28,0,402977,30849,559268,74238,11816900,18775936,6789595,119101,90852
"63",2022-03-01,0,408499,32433,573696,76048,11654518,16711497,6825484,122612,98443
"64",2022-03-02,28,410198,40748,590383,75826,11888330,17043876,6832733,125160,100110
"65",2022-03-03,311,405554,39180,586113,70684,12079738,18527623,6390984,119157,251628
"66",2022-03-04,2095,416173,32258,599370,74586,12152298,16736576,6800468,124821,98237
"67",2022-03-05,3341,416824,53623,569571,75687,12154973,18701271,6812863,130003,91929
"68",2022-03-06,28,414389,14172,491072,75109,9308223,18058010,6878937,114796,106154
"69",2022-03-07,523341,414757,16871,490542,74705,11835772,20853890,6842697,112984,274513
"70",2022-03-08,255693,415295,22925,426784,75402,11751519,17093777,6812177,104093,105381
"71",2022-03-09,0,390574,26683,427569,78957,11696375,17071050,6777517,124537,270103
"72",2022-03-10,431558,399919,24649,388719,77282,11841985,16495352,6653955,127369,292785
"73",2022-03-11,400686,402496,41827,446379,81433,11798292,17364750,6807913,116864,261170
"74",2022-03-12,0,407196,40945,477947,80366,10977325,16911488,6895885,116467,80134
"75",2022-03-13,0,402326,39228,445366,81577,11918219,16718136,4882798,123660,106312
"76",2022-03-14,481728,399522,28744,472056,77872,17156512,19371241,224759,120375,279018
"77",2022-03-15,360364,395700,26792,499688,78787,15553907,17152266,3561322,121083,119220
"78",2022-03-16,25,402099,55878,500552,80228,15072618,18221387,3659624,122159,262022
"79",2022-03-17,0,403458,36196,554088,74696,14123549,20506426,3705579,123008,137153
"80",2022-03-18,0,402524,68678,546765,79431,14058150,20271999,3706825,125189,94862
"81",2022-03-19,0,406290,32252,557891,78972,14017293,17611403,3712721,125670,82328
"82",2022-03-20,2860,410169,20635,507912,78454,14192837,17808991,3679652,123999,82751
"83",2022-03-21,474888,411189,11741,565398,81476,14062651,18215785,3724401,116071,87977
"84",2022-03-22,287499,395530,23192,518354,79259,7970758,12751235,4694904,119214,108791
"85",2022-03-23,1586,391424,28118,536501,74595,6742723,8886820,3588609,118364,101078
"86",2022-03-24,0,403855,40527,523649,82436,7912957,18424664,4002376,119950,99504
"87",2022-03-25,0,410509,38472,531977,83542,5935826,17529853,4289530,118874,96764
"88",2022-03-26,0,410594,25879,535396,82379,6540986,19051199,4303310,122272,139930
"89",2022-03-27,0,409178,25459,492940,80166,5060815,17453841,6111418,117062,112831
"90",2022-03-28,0,405639,7101,472569,80721,8035468,20931331,6943208,120035,280285
"91",2022-03-29,0,406262,26203,529054,80326,10058111,17828721,6909810,120941,130101
"92",2022-03-30,0,402552,12100,547549,79749,10300275,18065244,6919687,119242,157139
"93",2022-03-31,519360,403430,19572,555610,81070,9783792,18975980,6853948,110719,112595
"95",2022-04-01,73558,404365,41453,568959,80439,7087197,21983929,6794148,112475,209706
"96",2022-04-02,0,406630,27046,582051,79876,11864746,17270597,6803767,108878,259710
"97",2022-04-03,0,405837,39261,517681,79235,12346851,14279550,6794638,109020,281896
"98",2022-04-04,0,403288,5266,344455,80428,12402908,16579065,6805567,108538,225539
"99",2022-04-05,1048,405554,17371,380598,78617,12376978,13805771,6850819,104517,95013
"100",2022-04-06,2973,410594,26615,532544,80292,12497990,16144580,7044916,110945,256569
"101",2022-04-07,127238,410311,36417,559076,80103,12353523,17613915,6981161,114485,294577
"102",2022-04-08,442580,410877,47035,587166,77657,11760285,18386820,6868432,107293,259338
"103",2022-04-09,259,413143,33170,572428,76966,12349432,18244379,6832911,101997,280857
"104",2022-04-10,125735,411784,28249,475741,77381,12274275,18074223,6843136,101969,277282
"105",2022-04-11,430478,408697,10085,453972,78640,12171450,16520581,6735744,107632,287777
"106",2022-04-12,0,408669,24818,516371,78550,12077583,15450646,6764962,102111,292520
"107",2022-04-13,126442,412123,16785,560362,76349,11330084,15636639,6730212,106245,204190
"108",2022-04-14,446746,415550,20774,548563,78576,6271035,13717778,6813129,112616,267920
"109",2022-04-15,123662,413086,19297,521697,76762,7685099,13161219,6869558,121451,240351
"110",2022-04-16,559689,419372,8,523848,78246,11096668,14693968,6800140,123093,278949
"111",2022-04-17,444394,411104,0,526442,77620,11350284,16271882,6739859,122584,232978
"112",2022-04-18,310095,420194,19661,560919,79087,10899581,17689167,6745197,122952,285242
"113",2022-04-19,430039,403883,16902,521881,79212,10619653,19706108,6786636,125642,302000
"114",2022-04-20,0,395275,30395,529310,79469,12554323,21633850,3089283,125274,311797
"115",2022-04-21,0,406375,50143,472046,80210,13666444,20479197,2656969,124651,323592
"116",2022-04-22,0,408584,41177,499185,73636,14146967,17495532,3751784,104772,318941
"117",2022-04-23,1218,414644,59260,490911,75615,13961631,18082055,3799693,121139,334665
"118",2022-04-24,2718,415833,31016,435093,77998,13791397,19779347,3778894,120856,337809
"119",2022-04-25,2435,416286,18,496373,79540,13919372,18635940,3683140,118591,332549
"120",2022-04-26,0,412945,49937,504203,78482,14104676,18122278,3688973,122895,336265
"121",2022-04-27,495750,404931,50837,532978,78083,15151333,17344377,3701931,111455,334766
"122",2022-04-28,122831,417673,44654,506979,78400,15004911,16864279,3733340,114853,313968
"123",2022-04-29,0,420080,59367,513208,78146,16037785,16257766,2113671,119809,313080
"124",2022-04-30,0,419457,67977,499152,79438,17248323,14426325,0,116524,315030
"126",2022-05-01,0,423592,60515,448214,77938,8548663,17220326,5644692,113239,271406
"127",2022-05-02,0,420987,46451,464603,77927,9739074,16887063,6589012,112956,318385
"128",2022-05-03,0,419004,50176,484841,79170,10736816,17716527,6603072,115419,319444
"129",2022-05-04,0,420760,58553,455579,75840,10745127,16307913,6617309,68980,320119
