,,Edad en años cumplidos ( ejemplo: 19 ) ,Género (elegir solo una opción) ,¿A qué generación pertenece ? (importante: elegir solo una opción) ,¿Cantidad de redes sociales que utiliza actualmente? ( Ejemplo: 4),¿Desde hace cuánto tiempo (en años) utiliza redes sociales?  (Inserte un número entero o decimal),¿Cuántos seguidores tiene en sus redes sociales aproximadamente o la red social que utiliza más seguido?  (Inserte un número) ,¿En qué momento del día utiliza más seguido redes Sociales? (elegir solo una opción) ,¿Cuántos caracteres en promedio tienen sus contraseñas de redes sociales? (Inserte un número) Ejemplo: 5,¿Qué caracteres contiene generalmente sus contraseñas de redes sociales? (puede seleccionar más de una opción),¿Considera que la contraseñas de su cuenta de red social es segura? (siendo 1: No segura y 5: Muy segura),¿Prefiere utilizar una  misma contraseña para ingresar a todas sus redes sociales? (elija solo una opción),"Hace algunos días Facebook publicó en su blog oficial una infografía en la que se estima que a diario 600.00 cuentas de Facebook han estado en peligro de ser hackeadas . ¿Sabiendo esa noticia y sobre los peligros del hackeo en redes sociales, cada cuánto tiempo(en días) cambiarías tu contraseña? ",¿Su cuenta ha sido hackeada anteriormente? (elija solo una opción),¿Cada cuántas veces al día usted revisa las notificaciones que le llegan a su celular? (inserte un número) Ejemplo: 10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,7,500,En la noche,8,"mayúsculas, minúsculas, números",4,,1,Si,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,4,600,En la noche,9,"minúsculas, números",3,,60,No,15
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,3,75,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,,30,No,15
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,9,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,,300,No,20
,,46,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),7,20,250,En la noche,10,"mayúsculas, minúsculas, números",3,,7,No,30
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,2,2,En la mañana,5,mayúsculas,1,No,30,No,2
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,5,276,En la noche,8,números,4,Si,3,No,0
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,8,300,En la noche,12,"mayúsculas, minúsculas, números",4,Si,365,No,20
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,8,450,En la tarde,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,100
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,8.5,350,En la noche,13,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,25
,,23,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,8,300,En la tarde,9,"mayúsculas, minúsculas, números",4,No,60,No,9
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,6,318,En la noche,10,"mayúsculas, minúsculas, números",2,No,1000,No,10
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),10,7,730,En la noche,8,minúsculas,4,Si,0,No,10
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,8,25,En la tarde,41,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,7,No,15
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,9.5,200,En la tarde,12,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",2,Si,120,Si,2
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,180,En la tarde,9,"mayúsculas, minúsculas, números",5,Si,30,No,6
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,12,100,En la tarde,10,"símbolos(ejemplo: *;#;%,etc.)",4,Si,90,Si,0
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,10,720,En la noche,10,mayúsculas,3,Si,60,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,6,100,En la tarde,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,200,En la noche,10,"mayúsculas, minúsculas, números",3,Si,90,No,15
,,28,Femenino,Generación milenial  ( comprende un rango de edad entre los 28 - 41 años ),4,19,150,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,0,No,10
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,7,118,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,60,Si,1
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,20,En la noche,9,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,2,No,10
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,12,30,En la noche,9,números,5,Si,60,No,2
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,93,En la noche,8,"minúsculas, números",3,Si,3,No,5
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,5,216,En la noche,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,30,No,11
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),10,10,2451,En la tarde,13,"minúsculas, números",4,Si,7,No,10
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,8.5,150,En la noche,8,"minúsculas, números",4,Si,2,No,5
,,19,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,8,400,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,70,No,20
,,20,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,8.5,150,En la noche,8,"minúsculas, números",4,No,2,No,5
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,114,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,10,No,4
,,20,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,10,En la tarde,7,minúsculas,2,No,40,No,17
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),2,7,50,En la mañana,7,"minúsculas, números",4,No,150,No,2
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,10,200,En la noche,9,"minúsculas, números",3,Si,0,No,1
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,5,90,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,500,No,1
,,17,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),6,5,6,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,100,No,58
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),11,8,81,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,60,No,2
,,19,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),8,7,120,En la noche,20,"mayúsculas, minúsculas, números",4,No,30,No,12
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,5,65,En la tarde,5,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,No,30,No,6
,,21,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,8,420,En la noche,8,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,Si,20
,,44,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),5,13,100,En la noche,10,minúsculas,4,No,6,No,12
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),9,6,220,En la noche,8,minúsculas,4,Si,30,No,15
,,23,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,13,100,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",5,No,10,Si,20
,,21,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),7,8,368,En la noche,10,"minúsculas, números",3,Si,60,No,8
,,18,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),12,6,500,En la noche,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,100,No,40
,,22,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,8,1015,En la noche,9,"mayúsculas, minúsculas",2,Si,0,No,8
,,18,Femenino,Generación x ( comprende un rango de edad entre los 42 - 53 años ),9,1.1,1000000,En la tarde,32,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,1,Si,1000
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),4,5,340,En la noche,9,"mayúsculas, minúsculas, números",4,Si,60,Si,15
,,17,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,7,300,En la noche,8,"mayúsculas, minúsculas, números",5,No,120,No,8
,,16,Masculino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),3,4,120,En la noche,13,"minúsculas, números",5,No,180,No,7
,,26,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,6,625,En la noche,5,mayúsculas,5,Si,1,Si,10
,,18,Femenino,Generación centenial ( comprende un rango de edad entre los 12 - 27 años ),5,7,200,En la tarde,10,"mayúsculas, minúsculas, números",4,Si,90,No,20
