Estrato,Codigo,Nombre,Energia,Proteinas,Grasa,Carbohidratos,Zinc,Hierro,Caroteno,Retinol,Vitamina,Sodio,Plato,Orden
A,S0414,Aji De Pollo Con Arroz,137.14,5.43,2.77,20.47,61,0.81,28.52,19.89,12.58,131.32,10,1
A,S0419,Arroz A La Jardinera Con Pollo,127.33,5.7,2.28,19.9,65,0.83,163.12,37.43,31.38,202.63,1,2
A,S0421,Arroz Arabe Con Pollo,110.14,7.98,1.52,15.12,76,1.02,292,55.69,60.77,585.85,1,3
A,S0423,Arroz Chaufa Con Pollo Chijaukay,213.97,7.5,9.44,19.21,75,2.1,0,1.57,8.72,641.41,5,4
A,S0429,Arroz Chaufa Con Pollo Tamarindo,129.5,6.34,1.44,21.73,71,0.71,0,4.99,9.03,143.23,1,5
A,S0430,Arroz Chaufa Con Pollo Taypa Especial,123.97,8.94,4.44,10.04,100,0.9,0,6.22,13.01,247.71,1,6
A,S0436,Arroz Chaufa De Mariscos,123.36,6.16,1.69,19.42,71,0.46,2.28,6.14,11.03,217.73,1,7
A,S0439,Arroz Chaufa De Pollo,172.62,6.69,3.01,28.25,85,0.72,0,3.01,8.71,208.88,20,8
A,S0444,Arroz Chaufa De Res,253.87,6.27,14.92,23.09,116,1,3.63,8.58,12.84,1119.23,1,9
A,S0447,Arroz Con Mariscos,126.67,5.64,1.51,21.4,58,0.67,170.92,36.51,36.92,124.19,3,10
A,S0455,Arroz Con Pollo,143.59,6.9,2.21,22.91,78,0.9,227.37,49.39,51.41,240.94,45,11
A,S0467,Arroz Tapado,157.21,7.26,4.43,21.16,128,1.28,0,16.53,22.23,114.96,1,12
A,S0492,Asado De Res Con Pure Con Arroz,114.64,6.1,1.49,19.43,119,0.97,58.63,12.26,16.57,102.81,2,13
A,S0496,Bisteck De Res A Lo Pobre Con Arroz,167.19,7.57,5.74,20.26,122,1.73,0,16.67,18.62,251.28,1,14
A,S0501,Cabrito Con Frejoles Con Arroz,167.39,5.46,7.5,18.75,109,1.06,103.7,23.7,42.35,701.81,1,15
A,S0517,Carapulcra De Cerdo Con Arroz,180.43,8.85,3.34,29.27,83,1.24,0,8.52,2.96,541.31,1,16
A,S0522,Carne De Res Con Ensalada Con Arroz,214.71,6.95,10.54,22.42,133,1.27,100.81,22.12,52.62,446.71,1,17
A,S0523,Cau Cau Con Arroz,113.88,5.26,2.79,11.09,59,0.49,449.63,91.1,76.25,114.3,1,18
A,S0527,Cebiche Con Chicharron,163.57,9.13,7.92,13.77,49,0.83,238.69,43.75,48.41,246.43,1,19
A,S0541,Chicharron De Pescado Con Arroz,201.64,6.2,7.54,26.36,49,0.72,0,10.97,14.18,300.92,1,20
A,S0586,Combinado De Pollo,181.26,6.51,1.37,34.44,86,2.26,50.11,15.27,15.45,402.3,2,21
A,S0603,Escabeche De Pescado Con Arroz,125.86,5.73,1.76,21.01,45,0.61,356.57,63.49,61.4,96.74,2,22
A,S0605,Escabeche De Pollo Con Arroz,157.81,6.39,2.1,27.26,80,0.83,90.05,31.29,24.77,301.3,2,23
A,S0612,Estofado De Pollo Con Arroz,120.88,8.87,1.63,16.46,83,0.89,229,41.78,44.96,153.11,2,24
A,S0615,Estofado De Res Con Arroz,140.91,8.32,0.87,23.69,165,1.4,93.85,21.47,17.37,96.22,1,25
A,S0617,Estofado De Res Con Menestra Con Arroz,130.51,7.43,1.15,19.24,129,1.71,96.91,22.29,20.95,198.51,1,26
A,S0620,Fetuccini A Lo Alfredo,338.9,9.9,19.92,30.37,99,2.55,0,114.42,165.29,744.52,1,27
A,S0628,Filete De Pescado Con Papas Fritas Con Sarsa Criolla Con Arroz,138.12,5.45,1.25,21.3,47,0.73,0,19.98,0.99,338.01,1,28
A,S0632,Filete De Pollo Con Papas Fritas Con Arroz,121.88,7.23,2.93,15.67,71,0.71,0,8.21,12.35,251.52,1,29
A,S0644,Frejoles Con Pescado Con Arroz,160.54,7.05,4.45,20.22,61,1.19,0,0,0.01,68.37,1,30
A,S0650,Frejoles Con Seco A La Norteña Con Arroz,128.88,7.69,1.03,21.94,125,1.62,1.99,4.65,0.54,74.85,1,31
A,S0662,Garbanzo Con Pollo Con Arroz,130.37,5.83,3.54,14.04,70,2.04,72.04,17.92,16.44,344.93,1,32
A,S0691,Kam Lu Wantan Con Arroz Chaufa,94.16,5.36,0.94,15.27,58,0.69,10.75,4.96,9.45,56.58,1,33
A,S0693,Lasagna De Res,256.83,10.55,8.16,5,107,1.66,0,17.51,39.58,21.06,2,34
A,S0705,Lenteja Con Filete De Pechuga Con Arroz,130.82,8.24,1.14,17,120,1.21,78.68,15.58,18.12,186.35,1,35
A,S0712,Lenteja Con Lomito Con Arroz,136.91,7.19,1.5,19,145,1.36,4.47,1.98,2.88,100.51,1,36
A,S0714,Lenteja Con Milanesa Con Arroz,155.03,10.73,1.95,18.17,143,1.81,0,1.56,4.94,35.23,1,37
A,S0716,Lenteja Con Pescado Con Arroz,157.89,7.24,4.11,19.75,77,1.04,0.13,3.54,2.32,335.96,5,38
A,S0724,Locro De Zapallo Con Bisteck Con Arroz,116.35,3.11,4.06,16.9,45,0.75,36.37,56.23,38.48,218.51,1,39
A,S0728,Lomo A Lo Strogonof Con Arroz,148.83,9.31,1.94,21.72,177,1.72,0.78,5.22,12.69,54.86,1,40
A,S0733,Lomo Saltado Con Arroz,161.34,5.26,7.34,17.03,100,0.98,1.92,6.87,3.67,263.4,13,41
A,S0752,Milanesa Con Arroz,174.9,5.42,7.29,20.86,62,0.64,162.27,31.16,35.49,111.02,1,42
A,S0762,Mondonguito A La Italiana Con Arroz,138.94,5.34,1.33,25.01,72,0.68,350.35,78.86,59.93,71.23,1,43
A,S0769,Olluquito De Res Con Arroz,129.09,5.04,0.47,25.36,92,1.08,0,2.29,0,52.77,1,44
A,S0771,Pachamanca A La Olla Con Arroz,137.95,7.47,1.43,22.6,76,0.86,395.69,69.84,70.11,95.36,2,45
A,S0786,Pasta Otros,118.77,8.55,3,6.67,150,1.7,178.87,41.88,21.9,72.07,2,46
A,S0790,Pavita Al Horno Con Arroz,127.46,6.92,4.2,12.36,85,1.32,431.17,74.61,72.52,91.93,1,47
A,S0796,Pavita Con Menestra Con Arroz,136.62,5.96,3.1,15.68,90,2.73,204.54,34.5,34.89,107.88,1,48
A,S0805,Pechuga A La Plancha Con Ensalada Con Arroz,132.06,6.68,3.65,16.88,67,0.67,205.04,35.55,40.19,296.05,1,49
A,S0825,Pescado Con Arroz,155.45,7.29,5.09,16.78,46,0.9,265.1,45.69,145.95,236.01,2,50
A,S0826,Pescado Con Ensalada Con Arroz,155.41,7.64,2.61,24.5,47,1.36,0,1.01,2.04,52.2,1,51
A,S0828,Pescado Con Menestra Con Arroz,178.99,10.29,4.22,21.2,75,2.18,0,2.07,3.18,244.09,4,52
A,S0851,Pollo  A La Brasa Con Papas Fritas,184.99,9.43,10.79,11.02,77,0.95,0,95.07,34.5,399.78,7,53
A,S0852,Pollo  A La Braza + 1 Palito De Anticucho Con Papas Fritas,145.54,9.71,7.89,6.18,86,1.56,211.37,530.33,193.09,338.35,1,54
A,S0869,Pollo A La Chiclayana Con Arroz,136.51,8.75,1.54,20.77,87,0.87,0,7.84,9.4,110.62,1,55
A,S0876,Pollo A La Norteña Con Arroz,134.11,8.63,1.94,19.35,81,0.93,8.61,11.57,8.67,250.6,1,56
A,S0878,Pollo A La Norteña Con Menestra Con Arroz,122.55,9.59,2.43,11.89,95,1.46,1.25,7.17,6.69,31.06,1,57
A,S0879,Pollo A La Olla Con Arroz,149.67,7.33,2.38,23.1,78,0.79,0,10.75,4.56,350.55,1,58
A,S0880,Pollo A La Olla Con Ensalada Con Arroz,117.75,4.77,2.43,18.33,58,0.65,162.92,35.25,35.52,813.99,1,59
A,S0885,Pollo A La Parrilla Con Ensalada Con Arroz,161.05,3.27,3.33,28.12,59,0.53,0,5.27,4.79,817.41,1,60
A,S0893,Pollo A La Plancha Con Papas Doradas Con Arroz,157.93,3.11,4.05,26.34,57,0.44,0,7.08,7.19,411.04,1,61
A,S0898,Pollo Al Horno Con Arroz,143.14,8.25,1.36,23.16,86,0.85,0,6.82,5.46,181.43,2,62
A,S0899,Pollo Al Horno Con Ensalada Con Arroz,146.72,3.1,2.4,26.92,53,0.46,0,1.43,2.7,165.72,1,63
A,S0900,Pollo Al Horno Con Ensalada Rusa Con Arroz,133.69,9.65,3.04,15.32,88,0.92,516.75,92.37,93.06,151.04,4,64
A,S0901,Pollo Al Horno Con Menestra Con Arroz,131.02,8.42,2.01,16.46,90,1.28,0,0,3.45,265.49,1,65
A,S0905,Pollo Al Huacatay Con Arroz,145.13,10.45,1.27,19.67,111,1.62,0,2.79,4.61,86.97,1,66
A,S0913,Pollo Al Sillao Con Arroz,143.61,3.25,1.21,22.7,55,0.7,5.19,0.86,4.13,51.18,1,67
A,S0926,Pollo Con Mani Con Arroz,135.57,6.63,3.74,17.81,69,0.66,0,2.19,4.49,70.08,1,68
A,S0928,Pollo Con Verduras Con Arroz,173.67,7.75,6.86,18.4,63,2.48,65.41,12.49,19.17,314.47,1,69
A,S0937,Pollo Frito Con Ensalada Con Arroz,179.72,6.61,8.43,18.88,78,0.89,36.48,18.66,16.16,88.95,1,70
A,S0941,Pollo Frito Con Papas Fritas Con Arroz,193.1,3.12,6.66,28.94,54,0.49,0,8.29,2.32,391.78,1,71
A,S0943,Pollo Frito Con Pure Con Arroz,171.22,7.81,5.44,22.06,81,0.71,0,7.47,6.34,136.29,1,72
A,S0955,Pure Con Pollo Con Arroz,188.45,6.14,7.76,23.07,71,0.54,0,59.2,11.01,222.14,1,73
A,S0973,Seco De Res Con Arroz,107.04,7.12,1,16.81,148,1.3,564.08,99.47,100.78,168.14,2,74
A,S0976,Seco A La Norteña Con Arroz,127.84,5.32,1.08,22.84,83,0.86,525.43,92.12,92.33,72.14,1,75
A,S0978,Seco A La Norteña Con Menestra Con Arroz,133.89,8.5,0.93,18.95,147,1.96,12.58,5.17,2.19,314.39,2,76
A,S0987,Seco A La Norteña De Res Con Menestra Con Sarsa Criolla Con Arroz,108.03,3.78,0.83,19.01,57,1,2.26,6.49,2.36,321.99,1,77
A,S0991,Seco De Cabrito Con Menestra Con Arroz,108.89,8.08,1.35,14.12,152,1.5,16.89,5.31,3.57,111.64,1,78
A,S0992,Seco De Cabrito Con Menestra Con Sarsa Criolla Con Arroz,146.54,7.51,1.69,21.96,124,1.54,2.23,1.21,1.15,103.44,1,79
A,S0993,Seco De Cordero Con Arroz,171.87,7.22,5.44,22.77,36,0.74,5.12,6.93,3.59,72.39,1,80
A,S1002,Seco De Pollo Con Arroz,121.49,6.38,1.81,17.5,73,1.08,174.52,41.29,43.65,121.36,2,81
A,S1004,Seco De Pollo Con Menestra Con Arroz,135.58,8.15,2.13,17.82,88,1.36,34.75,13.74,11.05,285.82,6,82
A,S1008,Seco De Res A La Norteña Con Menestra Con Arroz,143.98,7.71,1.14,23.46,141,1.42,8.86,3.04,1.72,48.05,1,83
A,S1009,Seco De Res Con Menestra Con Arroz,149,7.51,2.17,21.24,123,1.76,62.91,18.62,16.36,272.5,9,84
A,S1011,Seco De Res Con Menestra Con Sarsa Criolla Con Arroz,130.26,7.28,0.81,19.68,123,1.69,2.83,7.59,0.56,305.78,1,85
A,S1019,Steak Al Tequila,108.27,5.64,0.52,18.37,112,1.46,188.34,32.24,32.49,73.01,1,86
A,S1031,Tacu Tacu Con Churrasco,159.7,7.05,3.77,21.32,117,1.74,0,32.8,4.22,919.04,1,87
A,S1032,Tacu Tacu Con Lomito,129.87,7.7,2.88,15.12,102,1.43,0.2,2.84,1.34,523.74,2,88
A,S1040,Tallarines Chifa,189.47,7.52,0.97,36.9,108,1.96,0,1.33,7.13,58.95,1,89
A,S1041,Tallarines Al Pesto Con Res,226.22,16.33,8.34,20.8,246,3.21,3.49,10.03,29.12,225.19,1,90
A,S1046,Tallarines Con Pollo Con Crema A La Huancaina,152.26,10.76,3.21,19.51,92,2,362.22,87.39,79.6,255.22,1,91
A,S1055,Tallarines Rojos Con Pollo,146.58,10.2,2.1,21.19,96,2.24,526.27,86.33,83.7,243.92,5,92
A,S1061,Tallarines Saltado Con Pollo,183,7.77,4.94,25.53,78,2.42,32.32,15.73,11.29,511.1,1,93
A,S1066,Tallarines Verdes Con Churrasco,198.06,8.86,8.23,21.96,135,3.64,0,108.17,150.17,108.08,1,94
A,S1069,Tallarines Verdes Con Pollo,181.87,8.27,10.77,12.68,78,2.17,0,63.52,71.36,444.81,1,95
A,S1072,Tallarines Verdes Con Res,223.76,11.68,5.17,32.29,196,3.99,0,33.8,37.83,488.39,5,96
A,S1085,Trigo Con Pollo Con Arroz,128.96,8.13,2.15,18.32,74,0.73,0,0.84,11.72,18.4,1,97
A,S1090,Trucha Con Menestra Con Arroz,141.84,5.18,4.72,16.34,62,1.2,0,3.98,3.07,529.13,1,98
A,S1099,Aeropuerto Tacon Pa,176.99,7.63,3.38,28.17,55,1.13,0,4,6.85,109.46,1,99
A,S1102,Cebiche De Pescado,76.02,9.22,0.97,6.44,8,0.84,11.04,11.37,2.95,960.51,1,100
A,S1111,Frejoles Con Seco Ensalada Con Arroz,135.43,7.62,3.85,14.26,103,1.48,0.98,15.15,4.45,276.27,1,101
A,S1145,Pure Con Asado Con Arroz,139.41,5.88,2.8,16.56,110,0.93,0,6.1,9.27,89.37,2,102
A,S1354,Garbanzo Con Arroz Y Chuleta Frita,193.05,8.33,3.8,20.99,122,1.55,0,3.72,4.69,104.2,1,103
A,S1402,Pollo Al Horno Con Pure Con Arroz,150.41,7.56,3.65,18.84,75,0.68,0,7.07,8.28,89.33,2,104
A,S1412,Anticucho Con Papa Con Arroz,113.63,9.31,3.19,5.74,95,1.95,0,45.98,11.58,119.56,1,105
A,S1691,Encebollado De Higado Con Frejoles Con Con Arroz,160.9,8.77,6.19,17.87,172,2.38,1.5,2844.75,1740.53,268.06,1,106
A,S1749,Tallarines Verdes Con Churrasco Con Crema A La Huancaina,184.75,7.45,3.96,26,103,2.88,0,35.4,39.86,148.78,1,107
A,S1809,Chicharron De Pescado Con Yuca Frita Con Arroz,319.37,7.46,28.16,9.77,26,0.59,0,4.75,5.95,287.31,1,108
A,S1857,Filete De Pescado En Salsa De Mariscos,136.12,6.39,0.76,24.5,55,0.61,101.91,20.33,18.02,69.25,1,109
A,S1900,Costillas Barbiquiu Y Arroz Y Camote,190.21,6.48,8.17,20.17,100,0.58,442.08,73.73,74.92,392.67,1,110
A,S1907,Arroz Con Frijol Y Seco De Res,120.18,6.29,1.68,17.11,104,1.43,65.4,14.8,12.19,247.29,10,111
A,S1908,Arroz Con Frijoles Y Seco De Pollo,130.18,6.84,2.4,17.41,81,1.23,43.47,12.48,13.95,129.11,4,112
B,S0414,Aji De Pollo Con Arroz,156.61,5.96,3.44,22.41,65,1.28,14.27,17.56,13.28,131.88,4,1
B,S0420,Arroz A La Jardinera Con Pollo Frito,167.39,4.12,5.27,25.37,61,0.63,366.12,79.78,63.43,116.12,1,2
B,S0436,Arroz Chaufa De Mariscos,165.99,7.21,4.63,22.7,78,1.15,0,6.14,15.63,75.54,1,3
B,S0439,Arroz Chaufa De Pollo,169.1,6.26,2.04,30.02,84,0.73,0,4.47,9.98,178.48,9,4
B,S0445,Arroz Chaufa Especial,205.17,10.53,7.5,22.75,95,0.83,11.44,6.43,13.97,114.13,1,5
