"","Género","Edad","Ciclo","Carrera","Curso","H.Estudio","Calificación","Peso","Estatura","H.Desayuno","H.Almuerzo","H.Cena","A.Desayuno","A.Almuerzo","A.Cena","Comer","Agua","Académicas","Enfermedad","Dormido","Alimentación","Rendimiento"
"1","F",19,"5","Ing. Industrial",5,4,"3",47,1.64,"7-8am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",30,1.75,"Sí","No","Nunca","4","2"
"2","F",19,"5","Ing. Industrial",4,3,"4",58,1.63,"9-10am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Sopas, Café o filtrantes","Alimentos basados en guisos","No suelo cenar",30,2,"Sí","No","En ocasiones","5","3"
"3","F",19,"3","Ing. Industrial",7,5,"3",50,1.6,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos","Alimentos basados en menestras","Pastas(tallarines, macarrones), Verduras, frutas",15,1.5,"Sí","No","En ocasiones","3","3"
"4","M",21,"5","Ing. Civil",5,4,"4",70,1.7,"9-10am","1:00-2:00 PM","10:00 a más","Verduras, frutas","Alimentos basados en frituras","Pastas(tallarines, macarrones)",20,1,"Sí","Sí","Con frecuencia","2","2"
"5","F",19,"2","Ing. Industrial",8,8,"3",54.8,1.5,"6-7am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Sopas",16,2.125,"Sí","No","En ocasiones","3","3"
"6","F",19,"3","Ing. Ambiental",7,8,"2",52,1.5,"10-11am","3:00 a más","10:00 a más","Cereales (arroz, pan, cebada, avena, etc), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes",30,1.25,"Sí","No","En ocasiones","3","5"
"7","F",19,"2","Ing. Industrial",6,7,"3",50,1.53,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Verduras, frutas","Alimentos basados en ensaladas","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Café o filtrantes",30,2,"Sí","No","Nunca","4","2"
"8","F",18,"2","Ing. Industrial",6,5,"4",50,1.6,"6-7am","12:00-1:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas",30,1.5,"Sí","No","Nunca","4","3"
"9","F",18,"2","Ing. Industrial",5,8,"4",53,1.6,"9-10am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en ensaladas","Sopas",40,1.5,"Sí","Sí","Nunca","3","3"
"10","M",18,"2","Ing. Industrial",6,6,"4",104,1.8,"8-9am","1:00-2:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Sopas, Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Sopas, Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",20,1,"Sí","No","En ocasiones","3","4"
"11","F",18,"2","Ciencias de Datos",6,8.5,"4",61.5,1.64,"7-8am","12:00-1:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Lácteos (Yogurt, leche, queso)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",30,1,"Sí","No","En ocasiones","3","2"
"12","M",19,"2","Ing. Industrial",6,2,"3",60,1.6,"8-9am","12:00-1:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en frituras","Sopas",60,1.5,"Sí","No","Nunca","3","3"
"13","M",21,"9","Ing. de la Energía",3,8,"4",60,1.6,"No suelo desayunar","1:00-2:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Sopas, Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Sopas, Lácteos (Yogurt, leche, queso)",30,1,"No","No","Con frecuencia","3","3"
"14","F",18,"2","Ing. Industrial",6,10,"4",58.5,1.58,"8-9am","1:00-2:00 PM","10:00 a más","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en guisos","Carnes, huevos o embutidos (Jamonada, hot dog, etc.)",60,2,"Sí","No","En ocasiones","3","3"
