Edad,Creditos,HE,HO,HT,PT,PF,PS,PE,PL,Afectacion,Animo,Estres,Desenvolvimiento,IRE,Promedio
22,21,7,5,10,No,No,No,Si,No,4,3,3,Si,0.8,14.15
19,12,14,3,5,Si,Si,No,No,No,4,4,3,No,0.98,13.65
17,22,10,2,5,No,Si,No,No,No,4,2,3,No,1.16,12.39
20,10,11,6,0,Si,Si,No,No,No,4,1,4,No,1.28,16.22
19,18,8,1,0,Si,No,No,No,No,2,5,3,Si,0.6,16.9
20,17,4,4,0,Si,No,Si,No,No,3,3,4,Si,1,15.81
18,20,12,3,0,Si,Si,Si,No,No,3,4,4,No,1.56,15
19,21,0,5,0,Si,Si,Si,No,No,5,5,5,Si,1.45,16.32
19,12,10,2,2,No,Si,No,Si,Si,5,3,4,No,2,16.66
19,21,8,2,0,No,No,No,No,No,3,2,4,Si,1.1,13.32
19,12,15,2,15,Si,Si,No,Si,No,4,3,4,No,1.3,15.13
18,22,7,2,0,Si,No,Si,Si,No,4,3,4,Si,1.26,16.36
22,23,9,3,15,Si,Si,Si,Si,No,2,4,4,Si,1.6,13.02
19,8,7,6,0,No,No,No,Si,No,3,3,3,Si,0.73,11.73
18,24,10,7,0,Si,Si,Si,Si,No,4,2,3,No,1.1,13.46
19,21,10,3,0,Si,Si,No,No,No,4,2,3,Si,1,16.93
18,22,12,3,0,Si,Si,No,No,No,4,4,3,No,1.05,11.7
18,17,12,3,0,Si,Si,Si,Si,No,4,4,4,Si,1.9,15.27
19,24,7,8,8,Si,No,Si,Si,Si,2,4,4,No,1.84,14.42
18,17,18,2,0,Si,Si,Si,No,No,3,2,5,Si,1.71,12.84
19,21,17,4,0,Si,Si,Si,Si,Si,5,1,3,No,1.78,13.49
19,20,5,8,0,Si,Si,Si,Si,Si,5,2,5,No,1.8,14.23
18,17,1,2,0,Si,Si,No,No,No,2,4,3,Si,1.1,16.8
18,21,13,2,0,No,No,Si,No,No,3,3,3,No,1.2,15.43
18,22,6,3,0,Si,Si,Si,Si,No,4,3,4,No,1.69,15.93
18,12,14,3,0,Si,Si,Si,Si,No,4,4,3,No,1.57,16.89
18,23,2,4,1,Si,No,No,No,No,2,3,4,No,1.27,15.96
20,22,10,6,0,Si,No,Si,No,No,5,5,5,No,1.91,14.41
20,18,11,4,0,Si,Si,Si,Si,No,5,3,5,No,2.1,13.22
18,23,7,1,0,Si,No,No,No,No,5,2,4,No,1.78,11.95
18,21,12,4,3,Si,Si,Si,No,No,5,3,5,Si,1.85,16.66
21,20,10,5,0,Si,Si,Si,No,No,3,3,4,Si,1.58,14.61
19,21,9,4,0,No,Si,Si,Si,No,5,3,5,Si,1.88,17.09
19,18,10,3,0,Si,Si,No,No,No,4,2,5,No,2,12.51
20,18,8,4,0,Si,Si,Si,Si,No,4,4,4,Si,1.68,15.19
20,22,15,3,0,Si,Si,No,No,No,2,3,4,No,1.7,16.5
20,16,10,6,6,Si,Si,Si,Si,Si,4,1,5,No,2.4,15.3
19,19,14,2,0,Si,Si,Si,Si,No,5,4,5,No,1.91,12.28
18,19,12,4,0,Si,Si,Si,No,No,4,2,5,No,1.89,13.69
20,21,8,2,0,No,Si,No,No,No,3,2,4,No,1.56,14.84
22,16,12,2,12,No,Si,No,Si,No,5,2,4,No,1.74,16.6
20,18,5,3,4,Si,Si,Si,No,No,5,1,5,No,2.05,13.88
25,23,10,2,24,No,No,No,No,Si,3,5,4,Si,1.53,14.92
20,18,9,3,2,Si,Si,Si,Si,Si,5,2,5,No,1.97,15.73
20,17,10,2,0,Si,No,No,Si,No,2,4,4,Si,1.57,16.57
20,21,7,1,0,Si,No,No,No,No,2,3,4,No,1.12,15.11
18,25,8,2,0,Si,Si,Si,Si,No,5,3,5,No,1.76,15.52
19,18,15,3,0,Si,Si,No,Si,No,4,4,3,Si,0.78,15.92
20,15,13,4,15,Si,Si,Si,No,No,4,1,5,No,1.97,17.11
18,3,1,3,0,Si,No,No,No,No,2,4,3,Si,0.66,12.72
19,25,7,6,4,Si,Si,Si,Si,Si,1,2,3,Si,0.7,11.96
20,19,9,2,0,Si,Si,Si,Si,No,3,2,4,No,1.74,12.44
17,22,10,2,25,Si,Si,Si,No,No,4,4,4,No,1.6,12.08
19,19,8,6,0,Si,Si,Si,No,No,3,2,5,Si,2.01,13.29
18,19,11,2,0,Si,Si,No,Si,No,2,3,2,No,0.68,12.75
19,22,10,8,0,Si,Si,No,Si,No,3,4,5,No,1.77,16.45
19,20,9,2,0,Si,Si,Si,Si,No,5,1,5,No,2.13,14.77
23,20,11,4,10,Si,Si,Si,Si,Si,5,4,5,No,1.89,14.16
19,16,12,2,0,Si,Si,Si,Si,No,4,5,5,No,1.82,11.65
18,23,10,6,9,No,Si,Si,Si,Si,3,4,4,No,1.53,13.98
22,15,3,4,5,Si,Si,No,No,No,4,3,4,No,1.45,14.42
18,22,8,1,0,Si,Si,Si,Si,No,3,2,4,No,1.51,11.68
21,19,10,4,0,Si,Si,Si,Si,No,4,2,4,No,1.57,12.03
21,20,10,4,0,Si,Si,Si,Si,No,4,2,4,No,1.65,16.09
22,16,12,2,20,No,Si,Si,Si,Si,5,1,5,No,1.83,12.84
23,21,10,4,0,Si,Si,No,No,No,5,1,5,No,1.79,13.27
24,8,8,3,20,Si,Si,No,No,Si,3,3,3,Si,0.75,12.68
17,21,9,4,0,Si,Si,No,Si,No,4,3,3,Si,1.11,13.55
20,19,9,4,0,Si,No,No,Si,No,4,2,4,No,1.67,12.61
20,21,7,4,0,Si,No,No,Si,No,4,2,4,No,1.6,13.61
18,21,12,1,0,Si,No,Si,No,No,3,3,5,Si,1.82,16.1
20,22,7,1,10,No,Si,Si,Si,Si,3,3,5,No,1.86,15.7
20,17,4,4,0,Si,Si,Si,No,No,3,3,3,No,1.25,12.47
18,23,7,3,2,Si,Si,Si,Si,No,4,3,4,Si,1.56,12.49
23,26,10,1,0,Si,Si,No,Si,No,4,3,4,No,1.5,12.72
18,26,7,2,0,Si,No,No,No,No,3,4,3,No,1.03,16.42
20,20,12,3,0,Si,Si,No,No,No,4,2,4,No,1.98,15.15
19,18,12,6,0,Si,Si,Si,No,No,5,1,5,No,2.59,15.3
20,24,15,2,0,Si,Si,Si,No,No,4,4,5,No,1.59,13
18,24,5,2,1,Si,Si,No,No,No,4,3,2,No,1.53,14.15
18,18,10,3,0,Si,No,No,No,No,3,3,3,Si,0.9,15.3
19,21,6,2,0,Si,Si,No,Si,No,4,1,5,No,1.56,14.4
20,15,8,3,4,No,Si,No,Si,No,3,3,3,Si,1.2,15.2
17,21,5,1,0,Si,Si,No,No,No,5,1,5,No,2.1,13.4
21,18,10,2,0,Si,Si,No,No,No,4,3,4,Si,1.68,16.4
19,15,9,2,0,Si,No,Si,Si,No,4,2,4,No,1.2,14.8
19,18,10,5,7,No,Si,No,No,No,4,4,4,Si,1.53,17.3
20,16,4,5,0,Si,Si,Si,No,No,4,3,3,Si,1.47,1.47
18,20,4,1,0,Si,No,Si,Si,No,5,5,5,No,2.5,11
18,22,8,3,0,Si,Si,Si,Si,No,4,2,4,No,1.97,16
18,22,6,21,0,Si,Si,Si,No,No,4,4,3,No,1.56,16.09
21,21,5,1,2,Si,Si,Si,Si,No,4,4,4,Si,0.81,14
19,24,8,1,10,Si,No,Si,Si,Si,4,3,4,No,1.06,14
21,21,11,2,0,Si,Si,Si,Si,No,4,3,4,No,1.34,14.6
18,21,10,2,0,Si,No,No,No,No,4,4,3,No,1.84,16
18,22,10,2,0,Si,Si,No,No,No,4,1,4,No,1.06,13
19,14,8,10,0,No,Si,No,No,No,3,3,3,Si,1.31,14.85
22,19,10,3,0,Si,Si,No,Si,No,4,2,4,No,0.94,14
24,26,5,10,7,Si,Si,Si,Si,Si,5,5,4,Si,1.19,14.01
19,22,10,3,0,Si,Si,No,No,No,4,2,4,No,1,15
19,16,10,3,4,Si,Si,Si,Si,Si,4,3,3,Si,1.97,14
19,17,4,6,7,Si,Si,No,No,No,3,4,4,Si,1.38,13.84
18,19,3,1,0,Si,Si,Si,Si,No,2,2,4,Si,0.81,15
19,16,15,2,4,Si,Si,Si,Si,Si,3,3,3,No,0.75,13
20,6,12,3,0,Si,Si,No,No,No,2,3,4,Si,1.13,14.71
20,18,15,2,2,Si,Si,Si,Si,No,4,4,4,No,0.56,17
21,18,8,2,7,Si,No,No,Si,Si,4,2,5,No,1.62,15.3
17,21,5,3,0,Si,No,Si,Si,No,4,2,4,Si,1.2,13.4
18,12,10,2,0,Si,No,No,No,No,3,3,3,Si,0.9,15.6
19,18,8,1,4,Si,Si,Si,Si,Si,5,1,5,No,2.3,14.7
20,16,11,2,0,Si,No,No,No,No,3,3,3,Si,1,16.8
21,12,9,3,0,Si,Si,No,Si,No,4,1,4,Si,1.4,13.8
18,16,12,3,0,Si,No,No,No,No,4,2,4,Si,1.4,14.3
20,20,7,3,0,Si,No,No,No,No,3,3,3,Si,0.8,15.3
19,15,6,4,0,Si,Si,No,No,No,4,2,4,No,1.8,13.2
18,23,11,3,0,Si,Si,Si,Si,No,5,1,5,No,2.2,15.4
19,18,10,2,0,Si,No,Si,No,No,4,2,4,Si,1.2,16.2
20,12,8,3,10,Si,No,No,Si,No,4,2,4,No,1.69,12.8
21,14,5,4,0,Si,No,No,No,No,3,3,3,Si,0.76,15.3
20,21,8,2,0,Si,Si,Si,No,No,5,1,5,No,1.9,14.7
19,5,6,3,0,No,No,No,No,No,2,3,4,Si,1.28,14
20,12,9,3,0,Si,No,No,No,No,4,3,4,Si,1.2,14.7
21,15,7,2,0,Si,Si,No,No,No,4,2,5,No,1.7,15.2
19,23,8,5,2,No,No,Si,No,No,3,5,4,Si,1,15.4
19,20,10,10,5,Si,Si,Si,No,No,5,2,5,No,2.09,8.87
19,21,10,3,0,Si,Si,Si,Si,No,4,2,4,Si,0.94,14
20,15,2,4,0,Si,No,No,No,No,2,1,5,Si,0.28,13
19,18,5,4,0,Si,Si,No,No,No,4,2,5,Si,1.4,15
20,20,6,4,0,Si,No,Si,No,No,5,3,4,Si,1.7,13
21,12,12,2,0,Si,Si,Si,Si,Si,5,1,5,No,2,16
20,14,8,4,0,No,No,No,No,No,2,2,2,No,1.31,12.23
18,16,4,4,4,Si,No,No,No,Si,3,2,3,Si,0.7,13
20,19,7,3,0,Si,No,No,No,No,4,2,4,No,1.2,14
19,12,9,2,7,Si,No,No,Si,Si,4,1,5,No,1.4,13
18,20,9,2,0,Si,Si,Si,No,No,5,2,5,No,2,15.3
21,18,6,3,0,Si,No,No,No,No,5,2,4,No,1.1,12.6
21,15,12,1,0,Si,Si,No,No,No,4,1,4,Si,1.3,14.5
18,14,8,3,0,No,No,No,No,No,4,2,3,Si,0.9,13.8
22,16,9,2,0,Si,No,No,No,No,4,2,4,No,1.15,13.9
18,20,7,3,0,Si,No,No,No,No,4,2,5,No,1.4,15
19,24,5,4,2,Si,No,Si,No,No,4,1,5,Si,1,17.4
19,23,11,3,6,Si,No,Si,No,Si,5,2,4,No,1.25,15
20,25,6,5,1,Si,No,Si,No,No,5,1,5,No,2,16.4
18,12,18,5,30,Si,Si,Si,Si,Si,3,1,5,No,1.82,13
19,16,7,4,5,Si,No,No,No,Si,4,2,4,No,1.1,16
21,16,5,3,10,Si,Si,No,No,No,2,3,3,No,1.12,14
22,15,13,3,0,Si,No,Si,No,No,3,3,3,Si,0.87,15.7
21,20,6,3,6,Si,Si,Si,Si,No,5,1,5,No,2,17
19,18,9,3,3,No,No,Si,No,Si,3,3,4,Si,1.2,15.7
