,Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,Gold%,WPM,WCPM,Split
2,Attila,Vitality,ADC,18,56,48,30,77,4.2,60.1,14.9,11,-112,-22,-3.9,10.2,33.4,458,25.6,316.7,26.9,0.35,0.39,Spring Regular
8,Crownshot,SK Gaming,ADC,19,53,73,44,85,3.6,74.5,16.9,11,-43,-52,0.9,9.9,33.4,519,28.9,327.1,28.7,0.37,0.36,Spring Regular
9,Dreams,SK Gaming,Support,19,53,22,66,116,2.1,65.1,25.4,11,-19,-23,1,1.5,4.7,112,6.5,127.2,11.1,1.36,0.22,Spring Regular
14,GorillA,Misfits,Support,18,44,13,58,118,2.3,68.2,25.9,33,68,13,-0.8,1.4,5,136,8.3,124.8,10.9,1.45,0.28,Spring Regular
15,Hans Sama,Misfits,ADC,18,44,55,32,70,3.9,65.1,14.3,28,175,154,2.5,9.3,29.7,461,27,300.9,26.4,0.42,0.3,Spring Regular
16,HeaQ,Rogue,ADC,18,11,27,39,54,2.1,55.9,15.5,6,-230,38,-7.4,8.6,28.4,368,24.8,243.7,24.6,0.45,0.2,Spring Regular
18,Hylissang,Fnatic,Support,18,61,12,49,141,3.1,71.8,28.2,44,-67,145,-4.6,1.3,4.2,158,9.3,137,11.6,1.32,0.24,Spring Regular
19,IgNar,Schalke 04,Support,19,47,12,43,122,3.1,70.5,21.9,21,-69,65,-1.6,1.6,5.3,129,7.6,128,10.9,1.49,0.35,Spring Regular
20,Jactroll,Vitality,Support,18,56,8,43,114,2.8,58.7,21.3,11,-86,-20,1.1,1.4,4.6,161,9.2,128,10.8,1.37,0.19,Spring Regular
22,Jeskla,Excel Esports,ADC,18,28,44,40,75,3,65.4,19.2,17,-192,-82,-3.7,9.2,31,422,27.5,276,26.2,0.43,0.26,Spring Regular
25,kaSing,Excel Esports,Support,14,21,8,28,81,3.2,65.4,17.6,7,-156,-74,1.9,1.5,5.6,112,7.6,117.8,11.2,1.51,0.37,Spring Regular
27,Kobbe,Splyce,ADC,18,61,81,24,93,7.3,68.2,11.2,35,-34,-72,-3.4,10,32.2,521,28.6,330.5,27.6,0.36,0.35,Spring Regular
31,Mikyx,G2 Esports,Support,16,81,17,48,182,4.1,71.1,26.1,25,101,59,-0.7,1.2,4.1,188,8.6,143.9,10.8,1.6,0.33,Spring Regular
32,Mithy,Origen,Support,18,67,15,40,112,3.2,64.5,25.8,39,95,151,-0.5,1.5,5.1,121,7.7,131.8,11.2,1.35,0.27,Spring Regular
36,Norskeren,Splyce,Support,18,61,16,52,159,3.4,68.6,24.3,47,101,-86,1.6,1.9,6.7,147,8.6,152.1,12.5,1.53,0.38,Spring Regular
40,Patrik,Origen,ADC,18,67,69,22,68,6.2,69.5,14.2,39,59,-43,1.7,9.9,31.7,502,31.8,328.6,28.1,0.47,0.33,Spring Regular
41,Perkz,G2 Esports,ADC,18,72,82,36,112,5.4,62.6,16.2,33,133,-9,3.3,9.9,32.4,593,26.9,344,26.8,0.38,0.26,Spring Regular
45,Rekkles,Fnatic,ADC,18,61,69,31,70,4.5,65.3,17.8,28,182,84,7,10.5,34,446,25.4,337.5,28.6,0.37,0.51,Spring Regular
51,Upset,Schalke 04,ADC,19,47,60,16,69,8.1,67.9,8.2,21,57,0,2.5,10.4,32.9,482,28.5,319.1,27.9,0.45,0.31,Spring Regular
54,Wadid,Rogue,Support,12,0,8,39,61,1.8,71.9,21.9,8,79,-264,4.6,1.5,5.2,107,7.9,107.2,11.1,1.33,0.3,Spring Regular
68,Hylissang,Fnatic,Support,11,64,10,34,99,3.2,66.1,25,9,5,-195,-7.4,1.1,3.5,157,8.9,137.4,10.8,1.35,0.29,Spring Playoffs
