CSPM,DMG%,Gold%
9,24.6,22.5
8,21.8,20.9
10.2,25.6,26.9
5,14.9,17.1
7.6,25.5,20.4
8.8,25.3,25.2
4.8,15.8,17.4
8.5,25.8,22.6
9.9,28.9,28.7
1.5,6.5,11.1
8.1,24.5,21.6
8.1,22,22.6
9,26,24.3
7.5,23.7,22
1.4,8.3,10.9
9.3,27,26.4
8.6,24.8,24.6
9,27.7,22.9
1.3,9.3,11.6
1.6,7.6,10.9
1.4,9.2,10.8
5.4,16.3,17.4
9.2,27.5,26.2
8.5,26.2,21.8
9.7,27.2,23.3
1.5,7.6,11.2
4.9,17.5,17.1
10,28.6,27.6
5.3,12.9,17
5.2,14.8,17.5
4.9,11.9,15.9
1.2,8.6,10.8
1.5,7.7,11.2
4.5,13.5,14.9
0.7,8.8,11.7
8.9,24.8,22.4
1.9,8.6,12.5
9.1,25.8,22.8
8.3,27.4,22.7
9.7,20.8,22.8
9.9,31.8,28.1
9.9,26.9,26.8
8.4,25.7,21.3
7.9,23,22.5
1.4,5.4,9.7
10.5,25.4,28.6
9.3,27.4,24.7
5.2,17.1,17.7
8.7,27,25
7.7,23.9,20.8
8.6,28.7,23.3
10.4,28.5,27.9
2.1,6.8,10.6
7.6,21,20.6
1.5,7.9,11.1
7.7,21.8,21.2
8.7,22.7,22.5
5.1,14,16.3
7.4,27.1,21.9
8.3,24.5,24.3
5.9,17.1,18.8
7.3,23.8,20
8.6,24.9,26.8
8.7,25.2,24.4
2.2,14.9,15.1
9.7,31.3,30.2
1.7,6.2,9.6
9.6,28.6,24.7
1.1,8.9,10.8
1.4,9,10.3
5.1,15,16.2
8.6,27.1,22.1
9.9,30.2,27.5
4.6,13.3,17
0.8,9.9,12.5
1.7,8,10.7
2.5,8.4,11.4
3.7,14.5,16.6
9.2,27.5,23.9
1.6,6.7,10.4
8.8,26.1,25.6
7.6,25,24.1
8.8,25.4,25.1
11,26.3,27.6
8.1,25.2,21.5
9.8,22.7,26.5
5.3,14.5,17.4
7.4,22.3,21.2
7.3,22.8,21.3
8.5,27,23.9
4.8,12.2,16.2
8.8,27.7,24.2
8.7,27.2,24.4
9.7,26.1,26.8
4.6,14.8,15.9
7.7,23.5,22.2
8.9,19,21.2
8.2,21.6,23.5
1.5,11.3,11.9
4.8,12.1,16.7
8.6,27.8,23.8
5.6,19.1,16.4
9.9,30.7,28.4
9.1,19.4,23.5
0.8,8.6,8.9
1.3,7.8,9.7
5.7,17.4,21.8
7.4,22.7,21.8
9.7,24.4,25.1
6.7,25.4,20.6
1.6,10.8,9.3
1.5,8.8,9.6
9.3,26.9,27.2
8.8,24,23.5
10,28.6,28.5
9.6,27,24.6
3.3,12.4,15.3
5.4,12.7,15.8
1,11.5,11.2
1.4,8.8,10.7
4.6,13.3,17.2
1.1,11.2,9.8
5.3,15.9,18.2
8.3,24.8,24.4
6.2,21.9,19
8.7,28,25.2
9.1,28.9,25.2
1.2,10,9.4
4.4,19.3,16
10.6,27.2,29.3
4.5,11.9,14.9
8.9,28.2,25.7
8.7,25.7,25
4.3,10.9,15
8.9,27.9,26
6,26.3,17.2
0.8,13.3,11.6
1.5,8.4,9.2
4.4,12.2,14.7
1.3,9.2,9.7
9.3,27.7,29
9.3,26.6,26.1
8.9,22.4,24.1
9.1,24.7,25.8
1.2,10,10
9.1,24.4,25
7.4,20.5,19.7
9.2,28.1,26.4
9.8,24.5,26.6
8.5,25.5,22.5
7.5,20.7,20.8
9.9,23.9,25.1
1.4,11.4,13.7
8.2,22.2,22.4
4.8,14,16.3
8,25.1,22.6
9,25.6,25.2
4.6,11.7,15.9
10.5,31.3,29.5
1.5,9.7,10.6
7.8,22.6,20.9
8.4,26.8,26.1
7.9,19.4,20.1
8.8,16,25.9
4.7,13.2,15.1
8.7,27.2,25.1
9,18.3,25.4
4.3,15.7,15.9
7.3,23.8,20.7
8,25.8,24.9
7.8,25.8,21.7
7.5,26.3,21.9
9.3,23.4,24.3
1.5,9.8,12.3
1.1,7.1,9.4
5,12.2,17
0.8,12.8,10.1
4.6,14.4,16.7
8.2,31.9,26.2
9.8,22.4,27.4
9.3,29,25.9
1,7.7,10.9
3.9,11.2,13.5
8.3,22.5,23.1
1.7,7.8,8.9
7.2,23.4,20.3
9.8,29.5,27.8
10.1,28.2,28
4.3,14.6,16
10,27.6,29.3
1.2,8.3,9.9
7.7,26.8,21.7
8.9,24.2,25.3
8.3,22.5,23
4.8,19.5,17.7
7.1,25.5,20.5
8,19.8,23.9
4.7,9.1,15.9
7.4,29,19.4
10,25.6,25.1
1.6,10.8,11.5
0.9,8.2,11.6
9.6,24.5,27.4
1,7.8,10.1
9.3,28.6,27.5
1.4,8.9,9.1
8.3,24,22.7
6.9,27.7,18.6
10,34.6,29.6
9.6,22.5,25.7
4.6,16.2,16.5
8.1,26.1,23.2
4.4,15,15.2
4.2,13.8,13.8
