FECHA,HORA,REGION,MODALIDAD,FALLECIDOS,HERIDOS
20200101,05:40,LIMA,DESPISTE,0,0
20200101,18:40,LIMA,DESPISTE,0,5
20200101,16:30,ICA,CHOQUE,0,1
20200101,16:35,ICA,CHOQUE,1,1
20200101,23:50,PIURA,CHOQUE,0,6
20200101,23:40,AREQUIPA,CHOQUE,0,0
20200101,17:45,LA LIBERTAD,DESPISTE,0,5
20200101,10:30,LA LIBERTAD,DESPISTE,0,2
20200101,20:50,MOQUEGUA,CHOQUE,0,0
20200101,18:15,PUNO,CHOQUE,0,0
20200102,12:50,AREQUIPA,DESPISTE,2,16
20200102,16:30,AREQUIPA,CHOQUE,0,0
20200102,16:30,AREQUIPA,CHOQUE,0,3
20200102,11:00,AREQUIPA,ESPECIAL,0,0
20200102,10:10,LIMA,ATROPELLO,1,0
20200102,00:40,LIMA,CHOQUE,0,1
20200102,08:25,LIMA,DESPISTE,0,0
20200102,11:20,LIMA,DESPISTE,0,1
20200102,16:00,AREQUIPA,CHOQUE,4,3
20200102,13:00,JUNIN,CHOQUE,0,3
20200102,21:52,ANCASH,CHOQUE,0,0
20200102,17:45,LIMA,DESPISTE,0,0
20200102,23:50,PUNO,DESPISTE,3,41
20200102,00:40,ANCASH,CHOQUE,2,6
20200102,21:20,AREQUIPA,CHOQUE,0,0
20200103,18:30,LIMA,DESPISTE,0,2
20200103,06:50,LIMA,CHOQUE,0,2
20200103,02:25,LIMA,CHOQUE,0,4
20200103,11:40,LIMA,CHOQUE,0,0
20200103,19:00,LAMBAYEQUE,CHOQUE,0,3
20200103,23:45,LIMA,CHOQUE,0,1
20200103,11:29,JUNIN,CHOQUE,0,0
20200103,16:00,LIMA,CHOQUE,0,2
20200103,07:30,ICA,DESPISTE,0,2
20200103,06:50,PUNO,CHOQUE,0,1
20200103,10:10,ANCASH,DESPISTE,0,1
20200103,01:20,AREQUIPA,CHOQUE,0,2
20200103,23:50,PIURA,DESPISTE,1,0
20200103,21:30,PUNO,CHOQUE,0,4
20200104,11:10,ANCASH,DESPISTE,0,0
20200104,12:30,AREQUIPA,CHOQUE,0,0
20200104,21:40,LIMA,DESPISTE,0,2
20200104,23:50,JUNIN,DESPISTE,0,4
20200104,01:50,JUNIN,CHOQUE,0,0
20200104,11:25,LIMA,DESPISTE,0,0
20200104,09:30,LIMA,DESPISTE,0,1
20200104,12:45,LIMA,DESPISTE,0,2
20200104,16:00,LAMBAYEQUE,DESPISTE,0,2
20200105,19:50,ICA,CHOQUE,0,6
20200105,19:50,LIMA,CHOQUE,0,2
20200105,13:30,LIMA,CHOQUE,0,2
20200105,13:40,JUNIN,CHOQUE,0,0
20200105,10:54,LIMA,DESPISTE,0,2
20200105,14:30,LIMA,CHOQUE,0,5
20200105,16:50,LAMBAYEQUE,CHOQUE,0,1
20200105,04:55,LIMA,CHOQUE,0,3
20200105,14:10,LIMA,CHOQUE,0,2
20200105,07:20,LIMA,CHOQUE,0,0
20200105,23:30,AREQUIPA,DESPISTE,0,0
20200105,13:40,ANCASH,CHOQUE,3,4
20200105,18:30,MOQUEGUA,DESPISTE,0,0
20200105,17:00,PUNO,DESPISTE,0,5
20200105,10:20,AREQUIPA,CHOQUE,0,0
20200106,15:40,LIMA,CHOQUE,0,0
20200106,06:00,LA LIBERTAD,DESPISTE,0,7
20200106,22:30,PUNO,CHOQUE,1,0
20200106,16:00,ICA,DESPISTE,0,0
20200106,02:30,ICA,ATROPELLO,1,0
20200106,11:20,ICA,ATROPELLO,1,0
20200106,00:20,AREQUIPA,CHOQUE,16,46
20200106,12:30,AREQUIPA,DESPISTE,0,1
20200106,14:20,AREQUIPA,CHOQUE,2,5
20200107,15:00,LIMA,CHOQUE,0,1
20200107,16:30,AREQUIPA,DESPISTE,0,1
20200107,06:15,ANCASH,DESPISTE,0,3
20200107,17:15,ANCASH,DESPISTE,0,1
20200107,03:15,ICA,DESPISTE,0,1
20200107,08:10,ANCASH,CHOQUE,0,2
20200107,16:30,AREQUIPA,DESPISTE,0,0
20200108,11:35,JUNIN,DESPISTE,0,1
20200108,16:30,AREQUIPA,DESPISTE,2,4
20200108,07:35,JUNIN,DESPISTE,0,1
20200108,21:00,LIMA,CHOQUE,0,0
20200108,03:30,PIURA,CHOQUE,0,0
20200108,14:40,AREQUIPA,DESPISTE,0,2
20200108,10:00,PUNO,DESPISTE,0,2
20200108,04:20,ICA,CHOQUE,2,5
20200108,05:30,ANCASH,ATROPELLO,1,0
20200109,12:20,ANCASH,DESPISTE,0,25
20200109,05:30,LA LIBERTAD,DESPISTE,0,0
20200109,18:20,AREQUIPA,CHOQUE,0,1
20200109,21:30,LAMBAYEQUE,CHOQUE,0,1
20200109,22:15,AREQUIPA,CHOQUE,0,4
20200109,07:20,JUNIN,CHOQUE,0,0
20200109,23:00,ANCASH,ESPECIAL,0,1
20200109,09:40,LA LIBERTAD,DESPISTE,0,5
20200109,10:30,AREQUIPA,ATROPELLO,1,0
20200110,23:15,LIMA,DESPISTE,0,5
20200110,12:00,ICA,DESPISTE,2,0
