Carrera,Ciclo,Promedio,Edad,Ocio,Transporte,Creditos,Tiempo_libre,Nivel_estres,Recreativos,Competencia,Sobrecarga,Caracter_profesor,Evaluaciones,Trabajo_profesores,Tiempo_limitado,No_entender_temas,Asesorias,Horas_asesorias,Ayuda_asesorias,Satisfaccion_asesorias,Valor_estres
Ing Civil,IV Ciclo,15.139999999999999,20,2,2,22,6,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,3,4,4,4,4,3,4,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Ing Mecatronica,III Ciclo,15.34,19,3,0,16,6,Semana de examenes parciales,Feliz y relajado,4,4,4,4,4,4,4,Si,8,Regular,"Satisfecho, las asesorias me salvaron",0.8
Ing Industrial,I Ciclo,17.5,18,3,2,22,5,Semana de exámenes finales,Feliz y relajado,2,3,2,2,4,2,4,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.5428571428571428
Ing Industrial,II Ciclo,13.5,19,2,0,20,5,Semana de exámenes finales,Feliz y relajado,3,5,2,4,4,3,5,Si,4,Poco,"Satisfecho, las asesorias me salvaron",0.7428571428571429
Ing Ambiental,IV Ciclo,12,21,5,1,10,3,Todas las semanas me causan estrés por la cantidad de tareas,Con ideas claras para mis proyectos,1,4,2,4,4,4,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6857142857142857
Ing Ambiental,II Ciclo,15,21,2,3,19,5,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,4,4,4,4,4,4,5,No,0,No asistí a asesorías,No asistí a asesorías,0.8285714285714286
Bioingenieria,V Ciclo,14,18,4,0,21,4,Semana de examenes parciales,Feliz y relajado,1,2,3,2,1,4,4,No,0,No asistí a asesorías,No asistí a asesorías,0.4857142857142857
Ing Industrial,III Ciclo,14.1,18,2,0,20,2,Todas las semanas me causan estrés por la cantidad de tareas,Enérgico capaz de todo,1,2,5,4,3,2,5,Si,4,Regular,"Frustrado, pude hacerlo mejor",0.6285714285714286
Ing Industrial,II Ciclo,15,19,2,0,20,3,Todas las semanas me causan estrés por la cantidad de tareas,Feliz y relajado,2,4,3,3,3,3,2,Si,3,Regular,"Satisfecho, las asesorias me salvaron",0.5714285714285714
Ing Quimica,II Ciclo,17.2,17,2,0,20,5,Entrega de trabajos finales,Feliz y relajado,5,4,4,4,4,4,2,Si,4,Regular,"Satisfecho, las asesorias me salvaron",0.7714285714285715
