title,artist,top genre,bpm,dB,dur,top year
It's A Vibe,2 Chainz,atl hip hop,73,-7,210,2017
Bank Account,21 Savage,atl hip hop,75,-8,220,2017
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,129,-5,209,2017
Plain Jane,A$AP Ferg,gangster rap,170,-5,174,2017
Weak,AJR,modern rock,124,-5,201,2017
Caroline,Aminé,hip hop,120,-10,210,2017
More Than You Know,Axwell /\ Ingrosso,dance pop,123,-5,203,2017
Rolex,Ayo & Teo,social media pop,145,-3,239,2017
Bounce Back,Big Sean,detroit hip hop,82,-6,222,2017
Man's Not Hot,Big Shaq,london rap,135,-4,186,2017
Bored,Billie Eilish,art pop,120,-13,181,2017
do re mi,blackbear,electropop,111,-6,212,2017
That's What I Like,Bruno Mars,dance pop,134,-5,207,2017
24K Magic,Bruno Mars,dance pop,107,-4,226,2017
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,101,-3,223,2017
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,104,-3,231,2017
Havana (feat. Young Thug),Camila Cabello,dance pop,105,-4,217,2017
Bodak Yellow,Cardi B,dance pop,125,-6,224,2017
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,113,-7,223,2017
Redbone,Childish Gambino,atl hip hop,160,-11,327,2017
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,102,-4,251,2017
Sorry Not Sorry,Demi Lovato,dance pop,144,-7,204,2017
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,81,-4,289,2017
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,98,-3,205,2017
Passionfruit,Drake,canadian hip hop,112,-11,299,2017
Fake Love,Drake,canadian hip hop,134,-9,211,2017
Perfect,Ed Sheeran,pop,95,-6,263,2017
Shape of You,Ed Sheeran,pop,96,-3,234,2017
Sit Next to Me,Foster The People,indietronica,97,-5,243,2017
Unforgettable,French Montana,gangster rap,98,-5,234,2017
Mask Off,Future,atl hip hop,150,-9,205,2017
Him & I (with Halsey),G-Eazy,indie pop rap,88,-6,269,2017
No Limit,G-Eazy,indie pop rap,176,-4,245,2017
Most Girls,Hailee Steinfeld,dance pop,103,-7,204,2017
Now Or Never,Halsey,dance pop,110,-5,215,2017
NUMB,Hayden James,aussietronica,148,-7,217,2017
Believer,Imagine Dragons,modern rock,125,-4,204,2017
Thunder,Imagine Dragons,modern rock,168,-5,187,2017
Whatever It Takes,Imagine Dragons,modern rock,135,-5,201,2017
HUMBLE.,Kendrick Lamar,conscious hip hop,150,-7,177,2017
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,126,-7,213,2017
DNA.,Kendrick Lamar,conscious hip hop,140,-7,186,2017
ELEMENT.,Kendrick Lamar,conscious hip hop,190,-5,209,2017
Young Dumb & Broke,Khalid,pop,137,-6,203,2017
Location,Khalid,pop,80,-11,219,2017
Tunnel Vision,Kodak Black,florida rap,172,-8,268,2017
iSpy (feat. Lil Yachty),KYLE,pop,75,-7,253,2017
Lust For Life (with The Weeknd),Lana Del Rey,art pop,100,-9,264,2017
Strip That Down (feat. Quavo),Liam Payne,dance pop,106,-5,202,2017
Save That Shit,Lil Peep,emo rap,106,-9,232,2017
Gucci Gang,Lil Pump,emo rap,120,-7,124,2017
XO Tour Llif3,Lil Uzi Vert,melodic rap,155,-6,183,2017
Touch (feat. Kid Ink),Little Mix,dance pop,102,-4,203,2017
1-800-273-8255,Logic,conscious hip hop,100,-8,250,2017
Liability,Lorde,art pop,76,-11,172,2017
Green Light,Lorde,art pop,129,-8,235,2017
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,art pop,107,-5,214,2017
broken,lovelytheband,indie poptimism,123,-6,205,2017
Despacito,Luis Fonsi,latin,178,-5,229,2017
Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,138,-5,239,2017
Glorious (feat. Skylar Grey),Macklemore,pop rap,140,-5,220,2017
Cold (feat. Future),Maroon 5,pop,100,-6,234,2017
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,100,-6,214,2017
Little Dark Age,MGMT,alternative dance,98,-6,300,2017
Bad and Boujee (feat. Lil Uzi Vert),Migos,atl hip hop,127,-5,343,2017
Slippery (feat. Gucci Mane),Migos,atl hip hop,142,-6,304,2017
