title,artist,top genre,bpm,dB,dur,top year
She Looks So Perfect,5 Seconds of Summer,boy band,160,-4,202,2014
Amnesia,5 Seconds of Summer,boy band,102,-5,237,2014
Heroes (we could be),Alesso,dance pop,126,-4,210,2014
The Man,Aloe Blacc,pop soul,82,-7,255,2014
Best Day Of My Life,American Authors,indie poptimism,100,-2,194,2014
Love Me Harder,Ariana Grande,dance pop,99,-4,236,2014
Problem,Ariana Grande,dance pop,103,-5,194,2014
Break Free,Ariana Grande,dance pop,130,-5,215,2014
Hey Brother,Avicii,dance pop,125,-5,255,2014
Shower,Becky G,dance pop,120,-8,206,2014
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,140,-7,323,2014
Hot N*gga,Bobby Shmurda,nyc rap,168,-7,195,2014
Summer,Calvin Harris,dance pop,128,-4,223,2014
Blame (feat. John Newman),Calvin Harris,dance pop,128,-4,213,2014
Under Control (feat. Hurts),Calvin Harris,dance pop,126,-3,184,2014
Boom Clap,Charli XCX,art pop,92,-2,170,2014
Loyal (feat. Lil Wayne & Tyga),Chris Brown,dance pop,99,-6,265,2014
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,142,-4,244,2014
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,121,-7,228,2014
First,Cold War Kids,alternative rock,78,-4,200,2014
Magic,Coldplay,permanent wave,93,-9,285,2014
A Sky Full of Stars,Coldplay,permanent wave,125,-6,268,2014
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,128,-4,171,2014
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,125,-3,204,2014
Latch,Disclosure,edm,122,-5,256,2014
Turn Down for What,DJ Snake,dance pop,100,-4,214,2014
You Know You Like It,DJ Snake,dance pop,196,-5,247,2014
I Got U,Duke Dumont,destroy techno,121,-8,286,2014
Cool Kids,Echosmith,dance pop,130,-6,238,2014
Don't,Ed Sheeran,pop,95,-7,220,2014
Sing,Ed Sheeran,pop,120,-4,235,2014
Ugly Heart,G.R.L.,dance pop,125,-5,198,2014
Budapest,George Ezra,folk-pop,128,-8,201,2014
Blame It on Me,George Ezra,folk-pop,104,-3,196,2014
Ready For Your Love,Gorgon City,deep groove house,122,-7,199,2014
Fancy,Iggy Azalea,australian hip hop,95,-4,200,2014
Black Widow,Iggy Azalea,australian hip hop,164,-4,209,2014
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,100,-7,178,2014
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,82,-7,193,2014
Trumpets,Jason Derulo,dance pop,82,-5,217,2014
Don't Tell 'Em,Jeremih,chicago rap,98,-5,267,2014
Bang Bang,Jessie J,dance pop,150,-3,199,2014
All of Me,John Legend,neo soul,120,-7,270,2014
Not a Bad Thing,Justin Timberlake,dance pop,86,-9,688,2014
Dark Horse,Katy Perry,dance pop,132,-6,216,2014
Show Me (feat. Chris Brown),Kid Ink,dance pop,98,-7,218,2014
Hideaway,Kiesza,electropop,123,-4,252,2014
Jubel - Radio Edit,Klingande,deep house,125,-7,202,2014
Jealous,Labrinth,indie poptimism,117,-9,288,2014
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,123,-6,189,2014
Team,Lorde,art pop,100,-7,193,2014
Rude,MAGIC!,reggae fusion,144,-5,225,2014
Maps,Maroon 5,pop,120,-6,190,2014
Animals,Maroon 5,pop,190,-6,231,2014
Sugar,Maroon 5,pop,120,-7,235,2014
All About That Bass,Meghan Trainor,dance pop,134,-4,188,2014
Stolen Dance,Milky Chance,german pop,114,-9,314,2014
Classic,MKTO,dance pop,102,-5,175,2014
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,120,-9,208,2014
Somebody,Natalie La Rose,chicago rap,105,-9,190,2014
Jealous - Remix,Nick Jonas,dance pop,93,-4,222,2014
Anaconda,Nicki Minaj,dance pop,130,-6,260,2014
Am I Wrong,Nico & Vinz,pop rap,120,-6,246,2014
CoCo,O.T. Genasis,pop rap,120,-6,240,2014
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,125,-5,165,2014
Wrapped Up,Olly Murs,dance pop,122,-5,186,2014
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,97,-6,227,2014
Night Changes,One Direction,boy band,120,-8,227,2014
Steal My Girl,One Direction,boy band,77,-6,228,2014
Counting Stars,OneRepublic,dance pop,122,-5,258,2014
Love Runs Out,OneRepublic,dance pop,120,-4,224,2014
Only Love Can Hurt Like This,Paloma Faith,british soul,91,-5,233,2014
Ain't It Fun,Paramore,candy pop,104,-4,297,2014
High (feat. Nicole Millar),Peking Duk,aussietronica,100,-4,228,2014
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,160,-5,233,2014
Timber (feat. Ke$ha),Pitbull,dance pop,130,-4,204,2014
Me And My Broken Heart,Rixton,pop,174,-4,194,2014
My Love (feat. Jess Glynne),Route 94,deep groove house,120,-8,260,2014
Stay With Me,Sam Smith,dance pop,84,-6,173,2014
Money On My Mind,Sam Smith,dance pop,134,-5,193,2014
Collard Greens,ScHoolboy Q,gangster rap,154,-5,300,2014
Man Of The Year,ScHoolboy Q,gangster rap,112,-5,216,2014
Geronimo,Sheppard,australian indie,142,-6,218,2014
Chandelier,Sia,australian dance,117,-3,216,2014
Elastic Heart,Sia,australian dance,130,-5,257,2014
Nobody To Love,Sigma,dance pop,88,-3,190,2014
Style,Taylor Swift,pop,95,-6,231,2014
Bad Blood,Taylor Swift,pop,170,-6,212,2014
Shake It Off,Taylor Swift,pop,160,-5,219,2014
#SELFIE,The Chainsmokers,dance pop,128,-3,184,2014
Superheroes,The Script,celtic rock,167,-4,245,2014
Wasted,Tiësto,big room,112,-6,190,2014
Red Lights,Tiësto,big room,125,-5,262,2014
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,101,-8,227,2014
Habits (Stay High),Tove Lo,art pop,110,-4,209,2014
Talking Body,Tove Lo,art pop,120,-5,238,2014
Na Na,Trey Songz,dance pop,97,-6,232,2014
Riptide,Vance Joy,folk-pop,102,-7,204,2014
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,128,-3,217,2014
Faded,ZHU,edm,125,-7,223,2014
